ms,mV,µA,p_mW
# meta, firmware=TXSD_ModeC2prime_1210, trial_index=auto, adv_interval_ms=0, subject=modeC2prime_1210
2491,3212,54600,175.4
2501,3216,56200,180.7
2511,3212,55200,177.3
2521,3216,55800,179.5
2531,3216,55300,177.8
2541,3216,55600,178.8
2551,3216,55800,179.5
2561,3212,54900,176.3
2571,3216,56100,180.4
2581,3212,54700,175.7
2591,3216,56200,180.7
2601,3212,54600,175.4
2611,3216,56200,180.7
2621,3212,54700,175.7
2631,3216,56200,180.7
2641,3212,54600,175.4
2651,3216,56200,180.7
2661,3212,55000,176.7
2671,3216,55700,179.1
2681,3212,55300,177.6
2691,3080,139900,430.9
2701,3212,55700,178.9
2711,3216,55100,177.2
2721,3212,56200,180.5
2731,3212,54700,175.7
2741,3216,56100,180.4
2751,3212,54700,175.7
2761,3216,56200,180.7
2771,3212,54600,175.4
2781,3216,56200,180.7
2791,3212,55900,179.6
2801,3216,56300,181.1
2811,3212,54900,176.3
2821,3216,55900,179.8
2831,3212,55200,177.3
2841,3216,55600,178.8
2851,3216,55500,178.5
2861,3216,55400,178.2
2871,3212,56100,180.2
2881,3212,54700,175.7
2891,3216,56200,180.7
2901,3072,176800,543.1
2911,3216,56200,180.7
2921,3212,54600,175.4
2931,3216,56200,180.7
2941,3212,54600,175.4
2951,3216,56200,180.7
2961,3212,54800,176.0
2971,3216,56000,180.1
2981,3212,55200,177.3
2991,3216,55600,178.8
3001,3216,57400,184.6
3011,3216,55700,179.1
3021,3216,56100,180.4
3031,3212,54800,176.0
3041,3216,56200,180.7
3051,3212,54600,175.4
3061,3204,55700,178.5
3071,3212,54700,175.7
3081,3216,56200,180.7
3091,3212,54600,175.4
3101,3216,56200,180.7
3111,3028,146800,444.5
3121,3216,56200,180.7
3131,3212,55200,177.3
3141,3216,55700,179.1
3151,3212,55200,177.3
3161,3212,55500,178.3
3171,3216,56000,180.1
3181,3212,54800,176.0
3191,3216,56200,180.7
3201,3212,54700,175.7
3211,3064,142800,437.5
3221,3212,54600,175.4
3231,3216,56100,180.4
3241,3212,54600,175.4
3251,3216,56100,180.4
3261,3212,54600,175.4
3271,3216,56200,180.7
3281,3212,55200,177.3
3291,3216,55700,179.1
3301,3212,55300,177.6
3311,3216,55600,178.8
3321,3144,56400,177.3
3331,3212,55000,176.7
3341,3216,56200,180.7
3351,3212,54700,175.7
3361,3216,56200,180.7
3371,3212,54700,175.7
3381,3216,56200,180.7
3391,3212,54600,175.4
3401,3216,56200,180.7
3411,3212,54700,175.7
3421,3064,145900,447.0
3431,3212,55100,177.0
3441,3216,55800,179.5
3451,3212,55200,177.3
3461,3212,55700,178.9
3471,3212,55800,179.2
3481,3216,55200,177.5
3491,3212,56200,180.5
3501,3212,54700,175.7
3511,3216,56200,180.7
3521,3212,54700,175.7
3531,3004,139900,420.3
3541,3212,54700,175.7
3551,3216,56200,180.7
3561,3212,54700,175.7
3571,3216,56200,180.7
3581,3212,55100,177.0
3591,3216,55800,179.5
3601,3212,55200,177.3
3611,3212,55600,178.6
3621,3212,55600,178.6
3631,3080,148900,458.6
3641,3216,56100,180.4
3651,3212,54800,176.0
3661,3216,56200,180.7
3671,3212,54700,175.7
3681,3216,56200,180.7
3691,3212,54700,175.7
3701,3216,56200,180.7
3711,3212,54700,175.7
3721,3216,56200,180.7
3731,3080,180100,554.7
3741,3216,56000,180.1
3751,3212,55200,177.3
3761,3216,55700,179.1
3771,3212,55400,177.9
3781,3212,55500,178.3
3791,3216,56100,180.4
3801,3212,54700,175.7
3811,3216,56100,180.4
3821,3212,54600,175.4
3831,3004,138800,417.0
3841,3212,54700,175.7
3851,3216,56200,180.7
3861,3212,54600,175.4
3871,3216,56100,180.4
3881,3212,54800,176.0
3891,3216,56100,180.4
3901,3212,55200,177.3
3911,3212,55700,178.9
3921,3216,55300,177.8
3931,3216,55600,178.8
3941,3004,155000,465.6
3951,3212,54800,176.0
3961,3216,56200,180.7
3971,3212,54600,175.4
3981,3216,56200,180.7
3991,3212,54500,175.1
4001,3216,56200,180.7
4011,3212,54700,175.7
4021,3216,56200,180.7
4031,3212,54700,175.7
4041,3216,56200,180.7
4051,3216,55200,177.5
4061,3216,68200,219.3
4071,3216,55300,177.8
4081,3212,55600,178.6
4091,3212,56000,179.9
4101,3212,54900,176.3
4111,3216,56200,180.7
4121,3212,54600,175.4
4131,3216,56200,180.7
4141,3212,54700,175.7
4151,3064,143000,438.2
4161,3212,54600,175.4
4171,3216,56200,180.7
4181,3212,54600,175.4
4191,3216,56200,180.7
4201,3212,55100,177.0
4211,3216,55700,179.1
4221,3216,55300,177.8
4231,3212,55600,178.6
4241,3212,55900,179.6
4251,3212,55000,176.7
4261,3164,56500,178.8
4271,3216,54700,175.9
4281,3216,56200,180.7
4291,3212,54700,175.7
4301,3216,56200,180.7
4311,3212,54600,175.4
4321,3216,56200,180.7
4331,3212,54600,175.4
