trial_id,session,interval_ms,mode,pdr_raw,pdr_unique,pout_1s,pout_2s,pout_3s,tl_mean_s,tl_p95_s,tl_clamp_high_rate,E_per_adv_uJ,avg_power_mW,rx_dup_factor
042,S1,100,FIXED_100,0.800189,0.800189,0.1,0.1,0.1,12.020067,133.23755,0.0,20076.9,200.7673133513955,1.000000
043,S1,500,FIXED_500,1.0,1.0,0.05,0.05,0.05,6.114117,42.0585,0.0,101334.7,202.67522421772227,4.003940
044,S1,1000,FIXED_1000,1.0,1.0,0.066667,0.066667,0.066667,8.390517,49.5388,0.0,200939.4,200.9551999369035,8.151420
045,S1,2000,FIXED_2000,1.0,1.0,0.066667,0.066667,0.066667,7.74665,49.5853,0.0,400149.4,200.41421114000687,16.091195
046,S4,100,FIXED_100,0.814166,0.814166,0.304965,0.29078,0.269504,13.572234,88.8787,0.0,20031.3,200.28257005181428,1.000000
047,S4,500,FIXED_500,1.0,1.0,0.255319,0.248227,0.219858,10.286142,69.7413,0.0,100001.5,200.04756736119546,4.082019
048,S4,1000,FIXED_1000,1.0,1.0,0.177305,0.177305,0.163121,6.840617,56.0104,0.0,200484.1,200.53753603089783,8.092913
049,S4,2000,FIXED_2000,1.0,1.0,0.191489,0.191489,0.170213,9.218681,77.1431,0.0,399423.9,200.08969774163523,16.009434
