trial_id,session,interval_ms,step_count,missed_transitions,total_transitions,miss_rate,clamp_high_events
042,S1,100,1,1,60,0.016666666666666666,0
043,S1,500,5,2,60,0.03333333333333333,0
044,S1,1000,10,3,60,0.05,0
045,S1,2000,20,6,60,0.1,0
046,S4,100,1,2,141,0.014184397163120567,0
047,S4,500,5,6,141,0.0425531914893617,0
048,S4,1000,10,11,141,0.07801418439716312,0
049,S4,2000,20,28,141,0.19858156028368795,0
