trial_id,session,interval_ms,missed_transitions,total_transitions,miss_rate
042,S1,100,0,60,0.0
043,S1,500,45,60,0.75
044,S1,1000,53,60,0.8833333333333333
045,S1,2000,57,60,0.95
046,S4,100,0,141,0.0
047,S4,500,116,141,0.8226950354609929
048,S4,1000,130,141,0.9219858156028369
049,S4,2000,135,141,0.9574468085106383
