mode,acc,tl_mean,pout_1.0s,pout_2.0s,pout_3.0s
CCS,1.0,0.0,0.0,0.0,0.0
FIXED_100,1.0,0.0,0.0,0.0,0.0
FIXED_1000,0.934823677581864,5.2603132321216775,0.06395077778795522,0.061841073146605,0.061841073146605
FIXED_2000,0.8697260705289672,9.401128003253731,0.49230412239870036,0.11917465517337082,0.1170649505320206
FIXED_500,0.971531276238455,2.9160352507325644,0.036495507181800724,0.03438580254045052,0.03298524231636088
