ms,event,rssi,addr,mfd
# meta, firmware=RX_BLE_to_SD_SYNC_C, trial_index=14, adv_interval_ms=100, buf_size=512
762,ADV,-40,e0:5a:1b:15:c4:ca,MF003B
1265,ADV,-45,e0:5a:1b:15:c4:ca,MF003C
2275,ADV,-39,e0:5a:1b:15:c4:ca,MF003F
2784,ADV,-46,e0:5a:1b:15:c4:ca,MF0040
3279,ADV,-41,e0:5a:1b:15:c4:ca,MF0041
3785,ADV,-39,e0:5a:1b:15:c4:ca,MF0042
4801,ADV,-39,e0:5a:1b:15:c4:ca,MF0044
5301,ADV,-44,e0:5a:1b:15:c4:ca,MF0045
5811,ADV,-41,e0:5a:1b:15:c4:ca,MF0046
6315,ADV,-38,e0:5a:1b:15:c4:ca,MF0047
7316,ADV,-41,e0:5a:1b:15:c4:ca,MF0049
7823,ADV,-38,e0:5a:1b:15:c4:ca,MF004A
8329,ADV,-44,e0:5a:1b:15:c4:ca,MF004B
8842,ADV,-38,e0:5a:1b:15:c4:ca,MF004C
9850,ADV,-41,e0:5a:1b:15:c4:ca,MF004E
10358,ADV,-38,e0:5a:1b:15:c4:ca,MF004F
10866,ADV,-45,e0:5a:1b:15:c4:ca,MF0050
11374,ADV,-40,e0:5a:1b:15:c4:ca,MF0051
11885,ADV,-39,e0:5a:1b:15:c4:ca,MF0052
12385,ADV,-44,e0:5a:1b:15:c4:ca,MF0053
12904,ADV,-38,e0:5a:1b:15:c4:ca,MF0054
13402,ADV,-43,e0:5a:1b:15:c4:ca,MF0055
13904,ADV,-41,e0:5a:1b:15:c4:ca,MF0056
14434,ADV,-38,e0:5a:1b:15:c4:ca,MF0057
14926,ADV,-44,e0:5a:1b:15:c4:ca,MF0058
15425,ADV,-40,e0:5a:1b:15:c4:ca,MF0059
15935,ADV,-39,e0:5a:1b:15:c4:ca,MF005A
17950,ADV,-42,e0:5a:1b:15:c4:ca,MF005E
18465,ADV,-39,e0:5a:1b:15:c4:ca,MF005F
18949,ADV,-48,e0:5a:1b:15:c4:ca,MF0060
19450,ADV,-42,e0:5a:1b:15:c4:ca,MF0061
19962,ADV,-39,e0:5a:1b:15:c4:ca,MF0062
20458,ADV,-44,e0:5a:1b:15:c4:ca,MF0063
20965,ADV,-42,e0:5a:1b:15:c4:ca,MF0064
21474,ADV,-40,e0:5a:1b:15:c4:ca,MF0065
21981,ADV,-44,e0:5a:1b:15:c4:ca,MF0066
22486,ADV,-41,e0:5a:1b:15:c4:ca,MF0067
22984,ADV,-40,e0:5a:1b:15:c4:ca,MF0068
23485,ADV,-45,e0:5a:1b:15:c4:ca,MF0069
24501,ADV,-43,e0:5a:1b:15:c4:ca,MF006B
25000,ADV,-41,e0:5a:1b:15:c4:ca,MF006C
25526,ADV,-40,e0:5a:1b:15:c4:ca,MF006D
26007,ADV,-43,e0:5a:1b:15:c4:ca,MF006E
26523,ADV,-41,e0:5a:1b:15:c4:ca,MF006F
27026,ADV,-40,e0:5a:1b:15:c4:ca,MF0070
27518,ADV,-44,e0:5a:1b:15:c4:ca,MF0071
28026,ADV,-40,e0:5a:1b:15:c4:ca,MF0072
28534,ADV,-38,e0:5a:1b:15:c4:ca,MF0073
29049,ADV,-40,e0:5a:1b:15:c4:ca,MF0074
29558,ADV,-39,e0:5a:1b:15:c4:ca,MF0075
30060,ADV,-42,e0:5a:1b:15:c4:ca,MF0076
30566,ADV,-40,e0:5a:1b:15:c4:ca,MF0077
31078,ADV,-38,e0:5a:1b:15:c4:ca,MF0078
31576,ADV,-43,e0:5a:1b:15:c4:ca,MF0079
32076,ADV,-40,e0:5a:1b:15:c4:ca,MF007A
32585,ADV,-38,e0:5a:1b:15:c4:ca,MF007B
33082,ADV,-43,e0:5a:1b:15:c4:ca,MF007C
33586,ADV,-40,e0:5a:1b:15:c4:ca,MF007D
34101,ADV,-43,e0:5a:1b:15:c4:ca,MF007E
35119,ADV,-40,e0:5a:1b:15:c4:ca,MF0080
35601,ADV,-44,e0:5a:1b:15:c4:ca,MF0081
36113,ADV,-41,e0:5a:1b:15:c4:ca,MF0082
36617,ADV,-39,e0:5a:1b:15:c4:ca,MF0083
37120,ADV,-45,e0:5a:1b:15:c4:ca,MF0084
37630,ADV,-41,e0:5a:1b:15:c4:ca,MF0085
38130,ADV,-39,e0:5a:1b:15:c4:ca,MF0086
38635,ADV,-42,e0:5a:1b:15:c4:ca,MF0087
39157,ADV,-39,e0:5a:1b:15:c4:ca,MF0088
39644,ADV,-42,e0:5a:1b:15:c4:ca,MF0089
40164,ADV,-40,e0:5a:1b:15:c4:ca,MF008A
40670,ADV,-39,e0:5a:1b:15:c4:ca,MF008B
41179,ADV,-42,e0:5a:1b:15:c4:ca,MF008C
41669,ADV,-41,e0:5a:1b:15:c4:ca,MF008D
42179,ADV,-39,e0:5a:1b:15:c4:ca,MF008E
42683,ADV,-43,e0:5a:1b:15:c4:ca,MF008F
43185,ADV,-41,e0:5a:1b:15:c4:ca,MF0090
44694,ADV,-39,e0:5a:1b:15:c4:ca,MF0093
45195,ADV,-42,e0:5a:1b:15:c4:ca,MF0094
45703,ADV,-43,e0:5a:1b:15:c4:ca,MF0095
46235,ADV,-40,e0:5a:1b:15:c4:ca,MF0096
46709,ADV,-42,e0:5a:1b:15:c4:ca,MF0097
47213,ADV,-42,e0:5a:1b:15:c4:ca,MF0098
47715,ADV,-40,e0:5a:1b:15:c4:ca,MF0099
48216,ADV,-43,e0:5a:1b:15:c4:ca,MF009A
48731,ADV,-42,e0:5a:1b:15:c4:ca,MF009B
49227,ADV,-38,e0:5a:1b:15:c4:ca,MF009C
49735,ADV,-44,e0:5a:1b:15:c4:ca,MF009D
50742,ADV,-43,e0:5a:1b:15:c4:ca,MF009F
51250,ADV,-41,e0:5a:1b:15:c4:ca,MF00A0
51761,ADV,-39,e0:5a:1b:15:c4:ca,MF00A1
52251,ADV,-45,e0:5a:1b:15:c4:ca,MF00A2
52750,ADV,-41,e0:5a:1b:15:c4:ca,MF00A3
53253,ADV,-39,e0:5a:1b:15:c4:ca,MF00A4
53767,ADV,-44,e0:5a:1b:15:c4:ca,MF00A5
54259,ADV,-41,e0:5a:1b:15:c4:ca,MF00A6
54776,ADV,-40,e0:5a:1b:15:c4:ca,MF00A7
55272,ADV,-44,e0:5a:1b:15:c4:ca,MF00A8
55768,ADV,-42,e0:5a:1b:15:c4:ca,MF00AA
56279,ADV,-40,e0:5a:1b:15:c4:ca,MF00AB
56778,ADV,-42,e0:5a:1b:15:c4:ca,MF00AC
57283,ADV,-42,e0:5a:1b:15:c4:ca,MF00AD
57794,ADV,-42,e0:5a:1b:15:c4:ca,MF00AE
58302,ADV,-42,e0:5a:1b:15:c4:ca,MF00AF
58833,ADV,-40,e0:5a:1b:15:c4:ca,MF00B0
59311,ADV,-44,e0:5a:1b:15:c4:ca,MF00B1
59833,ADV,-40,e0:5a:1b:15:c4:ca,MF00B2
60329,ADV,-38,e0:5a:1b:15:c4:ca,MF00B3
60827,ADV,-47,e0:5a:1b:15:c4:ca,MF00B4
61332,ADV,-42,e0:5a:1b:15:c4:ca,MF00B5
61831,ADV,-38,e0:5a:1b:15:c4:ca,MF00B6
62330,ADV,-44,e0:5a:1b:15:c4:ca,MF00B7
62843,ADV,-38,e0:5a:1b:15:c4:ca,MF00B8
63349,ADV,-45,e0:5a:1b:15:c4:ca,MF00B9
63856,ADV,-41,e0:5a:1b:15:c4:ca,MF00BA
64370,ADV,-39,e0:5a:1b:15:c4:ca,MF00BB
64863,ADV,-43,e0:5a:1b:15:c4:ca,MF00BC
65374,ADV,-42,e0:5a:1b:15:c4:ca,MF00BD
65880,ADV,-39,e0:5a:1b:15:c4:ca,MF00BE
66900,ADV,-39,e0:5a:1b:15:c4:ca,MF00C0
67404,ADV,-46,e0:5a:1b:15:c4:ca,MF00C1
67909,ADV,-41,e0:5a:1b:15:c4:ca,MF00C2
68418,ADV,-39,e0:5a:1b:15:c4:ca,MF00C3
68915,ADV,-46,e0:5a:1b:15:c4:ca,MF00C4
69426,ADV,-40,e0:5a:1b:15:c4:ca,MF00C5
69932,ADV,-39,e0:5a:1b:15:c4:ca,MF00C6
70431,ADV,-43,e0:5a:1b:15:c4:ca,MF00C7
70931,ADV,-41,e0:5a:1b:15:c4:ca,MF00C8
71439,ADV,-43,e0:5a:1b:15:c4:ca,MF00C9
71944,ADV,-41,e0:5a:1b:15:c4:ca,MF00CA
72450,ADV,-39,e0:5a:1b:15:c4:ca,MF00CB
72954,ADV,-43,e0:5a:1b:15:c4:ca,MF00CC
73966,ADV,-39,e0:5a:1b:15:c4:ca,MF00CE
74469,ADV,-43,e0:5a:1b:15:c4:ca,MF00CF
74979,ADV,-41,e0:5a:1b:15:c4:ca,MF00D0
75997,ADV,-42,e0:5a:1b:15:c4:ca,MF00D2
76505,ADV,-38,e0:5a:1b:15:c4:ca,MF00D3
77007,ADV,-43,e0:5a:1b:15:c4:ca,MF00D4
77512,ADV,-41,e0:5a:1b:15:c4:ca,MF00D5
78014,ADV,-38,e0:5a:1b:15:c4:ca,MF00D6
78516,ADV,-43,e0:5a:1b:15:c4:ca,MF00D7
