interval_bucket_ms,trials,pdr_raw_mean,pdr_unique_mean,E_per_adv_uJ_mean
100,9,0.7881,0.7881,19872.3
500,10,3.9777,0.9846,96739.4
1000,10,8.0800,0.9953,197036.0
2000,9,16.2000,0.9944,394849.8
