condition,n_trials,pout_1s_mean,pout_1s_std,tl_mean_s_mean,tl_mean_s_std,pdr_unique_mean,pdr_unique_std,rx_tag_share100_time_est_mean,rx_tag_share100_time_est_std,avg_power_mW_mean,avg_power_mW_std,adv_count_mean,adv_count_std,share100_power_mix_mean
S4_fixed100,10,0.07561,0.024254,1.06512,0.30636,0.157244,0.025576,1.0,0.0,312.639,3.829,1789.5,0.527,
S4_fixed500,10,0.307317,0.068215,1.971031,0.401893,0.481033,0.075115,0.0,0.0,284.342,1.825,357.5,0.527,
S4_policy,10,0.097561,0.022995,1.024771,0.153758,0.195487,0.031399,0.348893,0.013935,301.241,2.535,1225.6,0.516,0.597201
