rx_trial_id,condition,repeat_idx,mode,rx_count,rx_unique,adv_count,pdr_unique,rx_tag_share100_time_est,tl_mean_s,tl_p95_s,pout_1s,pout_2s,pout_3s,tl_time_offset_ms,tl_time_offset_n,txsd_ms_total,E_total_mJ,avg_power_mW,txsd_mtime_s,txsd_path,rx_path
14,S4_fixed500,4,FIXED_500,219,219,358,0.611732,0.0,2.522,20.4693,0.317073,0.121951,0.121951,146.0,219,178521.0,50776.706,284.42987659715106,315502470.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_006_c3_s4_policy.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_014.csv
15,S4_policy,4,POLICY,276,276,1226,0.225122,0.361702,1.110375,9.8423,0.121951,0.097561,0.097561,355.0,276,178945.0,53682.139,299.9923943111012,315503212.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_004_c4_unk.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_015.csv
16,S4_fixed100,5,FIXED_100,316,316,1790,0.176536,1.0,0.891171,9.1453,0.04878,0.04878,0.04878,357.0,316,178924.0,55790.311,311.8101037311931,315502842.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_007_c2_s4_fixed500.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_016.csv
17,S4_fixed500,5,FIXED_500,192,192,358,0.536313,0.0,1.399192,9.6825,0.146341,0.121951,0.121951,190.5,192,178512.0,50501.31,282.9014856144125,315503026.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_007_c3_s4_policy.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_017.csv
18,S4_policy,5,POLICY,219,219,1226,0.17863,0.33121,0.644487,1.01,0.097561,0.073171,0.073171,393.0,219,178949.0,54880.491,306.6823005437303,315502098.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_005_c3_s4_policy.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_018.csv
19,S4_fixed100,6,FIXED_100,243,243,1789,0.13583,1.0,1.078805,9.398,0.073171,0.04878,0.04878,395.0,243,178902.0,56480.431,315.7059786922449,315503398.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_008_c2_s4_fixed500.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_019.csv
20,S4_fixed500,6,FIXED_500,148,148,357,0.414566,0.0,1.924756,15.6192,0.341463,0.121951,0.097561,255.0,148,178497.0,50431.212,282.5325467654918,315503584.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_008_c3_s4_policy.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_020.csv
21,S4_policy,6,POLICY,220,220,1226,0.179445,0.337607,1.086949,9.726,0.121951,0.097561,0.097561,440.0,220,178927.0,53631.078,299.7372000871864,315503770.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_005_c4_unk.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_021.csv
22,S4_fixed100,7,FIXED_100,254,254,1789,0.141979,1.0,1.2036,9.65815,0.097561,0.073171,0.073171,450.5,254,178897.0,55373.824,309.5290809795581,315503954.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_009_c2_s4_fixed500.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_022.csv
23,S4_fixed500,7,FIXED_500,138,138,357,0.386555,0.0,2.02155,16.9138,0.390244,0.170732,0.121951,282.0,138,178482.0,50543.129,283.183340616981,315504140.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_009_c3_s4_policy.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_023.csv
24,S4_policy,7,POLICY,195,195,1225,0.159184,0.367089,0.937463,3.6474,0.073171,0.04878,0.04878,487.0,195,178902.0,54124.629,302.5378643055975,315504326.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_006_c4_unk.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_024.csv
25,S4_fixed100,8,FIXED_100,236,236,1789,0.131917,1.0,1.483683,15.5203,0.073171,0.073171,0.073171,491.0,236,178872.0,56162.115,313.9793539514289,315504512.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_010_c2_s4_fixed500.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_025.csv
26,S4_fixed500,8,FIXED_500,168,168,357,0.470588,0.0,2.110705,20.8735,0.317073,0.146341,0.121951,345.5,168,178462.0,50779.671,284.54052403312755,315504698.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_010_c3_s4_policy.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_026.csv
27,S4_policy,8,POLICY,225,225,1225,0.183673,0.34968,1.052175,9.70255,0.073171,0.073171,0.073171,538.0,225,178894.0,53809.865,300.79189352353904,315504882.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_007_c4_unk.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_027.csv
28,S4_fixed100,9,FIXED_100,240,240,1789,0.134153,1.0,1.56975,16.07775,0.097561,0.097561,0.097561,549.0,240,178849.0,57481.329,321.39586466796015,315505068.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_011_c2_s4_fixed500.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_028.csv
29,S4_fixed500,9,FIXED_500,151,151,357,0.422969,0.0,1.314359,9.7,0.268293,0.097561,0.097561,391.0,151,178442.0,50658.608,283.8939711502897,315505254.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_011_c3_s4_policy.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_029.csv
30,S4_policy,9,POLICY,205,205,1225,0.167347,0.341801,1.154154,10.267,0.121951,0.097561,0.097561,590.0,205,178862.0,53793.932,300.7566280148942,315505440.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_008_c4_unk.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_030.csv
31,S4_fixed100,10,FIXED_100,228,228,1789,0.127446,1.0,1.053282,9.977,0.121951,0.097561,0.097561,655.0,228,178828.0,55639.716,311.135370299953,315505626.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_012_c2_s4_fixed500.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_031.csv
32,S4_fixed500,10,FIXED_500,144,144,357,0.403361,0.0,2.571449,20.9335,0.365854,0.195122,0.170732,455.5,144,178419.0,51559.004,288.97709324679545,315505810.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_012_c3_s4_policy.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_032.csv
33,S4_policy,10,POLICY,202,202,1225,0.164898,0.371921,1.197225,9.89785,0.121951,0.097561,0.097561,654.0,202,178840.0,54424.739,304.3208398568553,315505996.0,uccs_d3_scan70\data\02_n10_run01\TX\trial_009_c4_unk.csv,uccs_d3_scan70\data\02_n10_run01\RX\rx_trial_033.csv
