rx_trial_id,condition,repeat_idx,mode,rx_count,rx_unique,adv_count,pdr_unique,rx_tag_share100_time_est,tl_mean_s,tl_p95_s,pout_1s,pout_2s,pout_3s,tl_time_offset_ms,tl_time_offset_n,txsd_ms_total,E_total_mJ,avg_power_mW,txsd_mtime_s,txsd_path,rx_path
10,S4_fixed100,1,FIXED_100,568,568,1796,0.316258,1.0,1.35225,14.4065,0.097561,0.073171,0.073171,-1148.0,567,181426.0,37975.314,209.31572101021905,315500596.0,uccs_d3_scan70/data/01/TX/trial_006_c2_s4_fixed500.csv,uccs_d3_scan70/data/01/RX/rx_trial_010.csv
11,S4_fixed500,1,FIXED_500,237,237,359,0.660167,0.000847,3.391575,20.44275,0.292683,0.121951,0.121951,-631.0,237,179594.0,34076.595,189.74239117119726,315500782.0,uccs_d3_scan70/data/01/TX/trial_004_c3_s4_policy.csv,uccs_d3_scan70/data/01/RX/rx_trial_011.csv
12,S4_policy,1,POLICY,439,439,1227,0.357783,0.440252,1.426366,14.1972,0.097561,0.073171,0.073171,-828.0,439,180869.0,36553.523,202.09943660881632,315500968.0,uccs_d3_scan70/data/01/TX/trial_004_c4_unk.csv,uccs_d3_scan70/data/01/RX/rx_trial_012.csv
13,S4_fixed100,2,FIXED_100,559,559,1796,0.311247,1.0,1.36078,13.7353,0.04878,0.04878,0.04878,-1133.0,559,181415.0,38167.396,210.38721164181575,315501156.0,uccs_d3_scan70/data/01/TX/trial_007_c2_s4_fixed500.csv,uccs_d3_scan70/data/01/RX/rx_trial_013.csv
14,S4_fixed500,2,FIXED_500,232,232,359,0.64624,0.0,1.709275,15.2669,0.219512,0.097561,0.097561,-586.0,232,179580.0,34098.496,189.87914021605968,315501342.0,uccs_d3_scan70/data/01/TX/trial_005_c3_s4_policy.csv,uccs_d3_scan70/data/01/RX/rx_trial_014.csv
15,S4_policy,2,POLICY,425,425,1227,0.346373,0.413233,1.453275,14.6777,0.121951,0.073171,0.073171,-789.0,425,180855.0,36536.55,202.02123247905783,315501528.0,uccs_d3_scan70/data/01/TX/trial_005_c4_unk.csv,uccs_d3_scan70/data/01/RX/rx_trial_015.csv
16,S4_fixed100,3,FIXED_100,511,511,1796,0.284521,1.0,1.313976,13.838,0.04878,0.04878,0.04878,-1129.0,511,181398.0,38081.228,209.93190663623636,315501716.0,uccs_d3_scan70/data/01/TX/trial_008_c2_s4_fixed500.csv,uccs_d3_scan70/data/01/RX/rx_trial_016.csv
17,S4_fixed500,3,FIXED_500,233,233,359,0.649025,0.000861,3.683317,20.2645,0.341463,0.121951,0.121951,-561.0,233,179564.0,33937.529,188.99962687398366,315501902.0,uccs_d3_scan70/data/01/TX/trial_006_c3_s4_policy.csv,uccs_d3_scan70/data/01/RX/rx_trial_017.csv
18,S4_policy,3,POLICY,398,398,1227,0.324368,0.406332,1.319695,14.3289,0.04878,0.04878,0.04878,-750.5,398,180837.0,36570.752,202.23047274617474,315502088.0,uccs_d3_scan70/data/01/TX/trial_006_c4_unk.csv,uccs_d3_scan70/data/01/RX/rx_trial_018.csv
