ms,event,rssi,seq,label,addr,mfd,program_id
# meta, firmware=RX_UCCS_D3_SCAN70, buf_size=512
# meta, scan_interval_ms=100.0, scan_window_ms=70.0
# condition_label=F4-01-500
226,ADV,-61,5,F4-01-500,e0:5a:1b:15:b2:ee,5_F4-01-500,RX_UCCS_D3_SCAN70_v1
1243,ADV,-61,15,F4-00-500,e0:5a:1b:15:b2:ee,15_F4-00-500,RX_UCCS_D3_SCAN70_v1
1731,ADV,-61,20,F4-00-500,e0:5a:1b:15:b2:ee,20_F4-00-500,RX_UCCS_D3_SCAN70_v1
3247,ADV,-36,35,F4-00-500,e0:5a:1b:15:b2:ee,35_F4-00-500,RX_UCCS_D3_SCAN70_v1
3750,ADV,-36,40,F4-00-500,e0:5a:1b:15:b2:ee,40_F4-00-500,RX_UCCS_D3_SCAN70_v1
4255,ADV,-36,45,F4-00-500,e0:5a:1b:15:b2:ee,45_F4-00-500,RX_UCCS_D3_SCAN70_v1
4761,ADV,-36,50,F4-00-500,e0:5a:1b:15:b2:ee,50_F4-00-500,RX_UCCS_D3_SCAN70_v1
6781,ADV,-35,70,F4-00-500,e0:5a:1b:15:b2:ee,70_F4-00-500,RX_UCCS_D3_SCAN70_v1
7797,ADV,-35,80,F4-00-500,e0:5a:1b:15:b2:ee,80_F4-00-500,RX_UCCS_D3_SCAN70_v1
9825,ADV,-62,100,F4-11-500,e0:5a:1b:15:b2:ee,100_F4-11-500,RX_UCCS_D3_SCAN70_v1
10818,ADV,-61,110,F4-11-500,e0:5a:1b:15:b2:ee,110_F4-11-500,RX_UCCS_D3_SCAN70_v1
13337,ADV,-36,135,F4-10-500,e0:5a:1b:15:b2:ee,135_F4-10-500,RX_UCCS_D3_SCAN70_v1
16363,ADV,-35,165,F4-10-500,e0:5a:1b:15:b2:ee,165_F4-10-500,RX_UCCS_D3_SCAN70_v1
16867,ADV,-34,170,F4-10-500,e0:5a:1b:15:b2:ee,170_F4-10-500,RX_UCCS_D3_SCAN70_v1
17876,ADV,-35,180,F4-10-500,e0:5a:1b:15:b2:ee,180_F4-10-500,RX_UCCS_D3_SCAN70_v1
18386,ADV,-34,185,F4-10-500,e0:5a:1b:15:b2:ee,185_F4-10-500,RX_UCCS_D3_SCAN70_v1
19399,ADV,-62,195,F4-10-500,e0:5a:1b:15:b2:ee,195_F4-10-500,RX_UCCS_D3_SCAN70_v1
20417,ADV,-62,205,F4-10-500,e0:5a:1b:15:b2:ee,205_F4-10-500,RX_UCCS_D3_SCAN70_v1
21428,ADV,-61,215,F4-10-500,e0:5a:1b:15:b2:ee,215_F4-10-500,RX_UCCS_D3_SCAN70_v1
22931,ADV,-36,230,F4-10-500,e0:5a:1b:15:b2:ee,230_F4-10-500,RX_UCCS_D3_SCAN70_v1
24454,ADV,-36,245,F4-06-500,e0:5a:1b:15:b2:ee,245_F4-06-500,RX_UCCS_D3_SCAN70_v1
25980,ADV,-34,260,F4-06-500,e0:5a:1b:15:b2:ee,260_F4-06-500,RX_UCCS_D3_SCAN70_v1
26474,ADV,-35,265,F4-06-500,e0:5a:1b:15:b2:ee,265_F4-06-500,RX_UCCS_D3_SCAN70_v1
27501,ADV,-34,275,F4-06-500,e0:5a:1b:15:b2:ee,275_F4-06-500,RX_UCCS_D3_SCAN70_v1
29495,ADV,-62,295,F4-06-500,e0:5a:1b:15:b2:ee,295_F4-06-500,RX_UCCS_D3_SCAN70_v1
29998,ADV,-62,300,F4-06-500,e0:5a:1b:15:b2:ee,300_F4-06-500,RX_UCCS_D3_SCAN70_v1
30514,ADV,-62,305,F4-06-500,e0:5a:1b:15:b2:ee,305_F4-06-500,RX_UCCS_D3_SCAN70_v1
32521,ADV,-36,325,F4-06-500,e0:5a:1b:15:b2:ee,325_F4-06-500,RX_UCCS_D3_SCAN70_v1
33028,ADV,-36,330,F4-06-500,e0:5a:1b:15:b2:ee,330_F4-06-500,RX_UCCS_D3_SCAN70_v1
34035,ADV,-36,340,F4-07-500,e0:5a:1b:15:b2:ee,340_F4-07-500,RX_UCCS_D3_SCAN70_v1
36052,ADV,-35,360,F4-07-500,e0:5a:1b:15:b2:ee,360_F4-07-500,RX_UCCS_D3_SCAN70_v1
37057,ADV,-35,370,F4-11-500,e0:5a:1b:15:b2:ee,370_F4-11-500,RX_UCCS_D3_SCAN70_v1
39087,ADV,-62,390,F4-04-500,e0:5a:1b:15:b2:ee,390_F4-04-500,RX_UCCS_D3_SCAN70_v1
39578,ADV,-61,395,F4-04-500,e0:5a:1b:15:b2:ee,395_F4-04-500,RX_UCCS_D3_SCAN70_v1
40587,ADV,-62,405,F4-04-500,e0:5a:1b:15:b2:ee,405_F4-04-500,RX_UCCS_D3_SCAN70_v1
41090,ADV,-61,410,F4-04-500,e0:5a:1b:15:b2:ee,410_F4-04-500,RX_UCCS_D3_SCAN70_v1
42604,ADV,-36,425,F4-04-500,e0:5a:1b:15:b2:ee,425_F4-04-500,RX_UCCS_D3_SCAN70_v1
43623,ADV,-36,435,F4-10-500,e0:5a:1b:15:b2:ee,435_F4-10-500,RX_UCCS_D3_SCAN70_v1
44116,ADV,-36,440,F4-10-500,e0:5a:1b:15:b2:ee,440_F4-10-500,RX_UCCS_D3_SCAN70_v1
44628,ADV,-36,445,F4-10-500,e0:5a:1b:15:b2:ee,445_F4-10-500,RX_UCCS_D3_SCAN70_v1
46133,ADV,-34,460,F4-10-500,e0:5a:1b:15:b2:ee,460_F4-10-500,RX_UCCS_D3_SCAN70_v1
47137,ADV,-34,470,F4-10-500,e0:5a:1b:15:b2:ee,470_F4-10-500,RX_UCCS_D3_SCAN70_v1
49161,ADV,-62,490,F4-10-500,e0:5a:1b:15:b2:ee,490_F4-10-500,RX_UCCS_D3_SCAN70_v1
50165,ADV,-62,500,F4-10-500,e0:5a:1b:15:b2:ee,500_F4-10-500,RX_UCCS_D3_SCAN70_v1
51175,ADV,-60,510,F4-10-500,e0:5a:1b:15:b2:ee,510_F4-10-500,RX_UCCS_D3_SCAN70_v1
52689,ADV,-36,525,F4-10-500,e0:5a:1b:15:b2:ee,525_F4-10-500,RX_UCCS_D3_SCAN70_v1
53215,ADV,-36,530,F4-10-500,e0:5a:1b:15:b2:ee,530_F4-10-500,RX_UCCS_D3_SCAN70_v1
