interval_bucket_ms,trials,pdr_raw_mean,pdr_unique_mean,E_per_adv_uJ_mean
100,35,0.5369,0.3622,20557.7
500,38,2.5173,0.9824,102174.0
1000,39,4.8691,0.9703,202738.8
2000,33,9.4804,0.9934,403166.5
