interval_bucket_ms,trials,pdr_raw_mean,pdr_unique_mean,E_per_adv_uJ_mean
100,35,0.5358,0.3606,20557.7
500,38,2.5174,0.9823,102174.0
1000,39,4.8691,0.9702,202738.8
2000,33,9.4809,0.9939,403166.5
