trial,trial_idx,interval_ms_est,start_ms,end_ms,duration_ms,rx_raw,rx_unique,pdr_raw,pdr_unique
trial_073_on.csv,73,1980.21,16904036.0,17498099.0,594063.0,2712,298,9.04,0.9933
trial_074_on.csv,74,1980.07,17498099.0,18092119.0,594020.0,2770,298,9.2333,0.9933
trial_075_on.csv,75,1986.58,18092119.0,18688094.0,595975.0,2757,299,9.19,0.9967
trial_076_on.csv,76,1986.46,18688094.0,19284033.0,595939.0,2787,300,9.29,1.0
trial_077_on.csv,77,1986.32,19284033.0,19879928.0,595895.0,2766,299,9.22,0.9967
trial_078_on.csv,78,1986.14,19879928.0,20475771.0,595843.0,2735,299,9.1167,0.9967
trial_079_on.csv,79,1986.01,20475771.0,21071573.0,595802.0,2778,299,9.26,0.9967
trial_080_on.csv,80,1073.86,21071573.0,21393732.0,322159.0,1481,162,4.9367,0.54
trial_081_on.csv,81,99.05,21393732.0,21423447.0,29715.0,137,16,0.4567,0.0533
trial_082_on.csv,82,99.24,21423447.0,21453218.0,29771.0,135,16,0.45,0.0533
trial_083_on.csv,83,99.06,21453218.0,21482937.0,29719.0,131,16,0.4367,0.0533
trial_084_on.csv,84,99.25,21482937.0,21512711.0,29774.0,130,16,0.4333,0.0533
trial_085_on.csv,85,99.09,21512711.0,21542439.0,29728.0,135,54,0.45,0.18
trial_086_on.csv,86,99.26,21542439.0,21572216.0,29777.0,139,139,0.4633,0.4633
trial_087_on.csv,87,99.11,21572216.0,21601949.0,29733.0,137,137,0.4567,0.4567
trial_088_on.csv,88,99.27,21601949.0,21631730.0,29781.0,140,140,0.4667,0.4667
trial_089_on.csv,89,183.11,21631730.0,21686663.0,54933.0,250,207,0.8333,0.69
trial_090_on.csv,90,495.94,21686663.0,21835446.0,148783.0,702,287,2.34,0.9567
trial_091_on.csv,91,495.78,21835446.0,21984179.0,148733.0,676,297,2.2533,0.99
trial_092_on.csv,92,495.6,21984179.0,22132860.0,148681.0,693,298,2.31,0.9933
trial_093_on.csv,93,495.43,22132860.0,22281489.0,148629.0,697,297,2.3233,0.99
trial_094_on.csv,94,495.24,22281489.0,22430060.0,148571.0,690,298,2.3,0.9933
trial_095_on.csv,95,495.08,22430060.0,22578583.0,148523.0,685,298,2.2833,0.9933
trial_096_on.csv,96,496.57,22578583.0,22727553.0,148970.0,679,297,2.2633,0.99
trial_097_on.csv,97,496.39,22727553.0,22876469.0,148916.0,681,298,2.27,0.9933
trial_098_on.csv,98,496.21,22876469.0,23025332.0,148863.0,688,298,2.2933,0.9933
trial_099_on.csv,99,691.01,23025332.0,23232634.0,207302.0,942,299,3.14,0.9967
trial_100_on.csv,100,992.54,23232634.0,23530395.0,297761.0,1350,299,4.5,0.9967
