interval_bucket_ms,trials,pdr_raw_mean,pdr_unique_mean,E_per_adv_uJ_mean
100,35,0.5384,0.3641,20557.7
500,38,2.5165,0.9825,102174.0
1000,39,4.8694,0.9703,202738.8
2000,33,9.4793,0.9937,403166.5
