interval_bucket_ms,trials,pdr_raw_mean,pdr_unique_mean,E_per_adv_uJ_mean
100,35,0.5374,0.3628,20557.7
500,38,2.5169,0.9829,102174.0
1000,39,4.8691,0.9703,202738.8
2000,33,9.4802,0.9940,403166.5
