event,ms,E,Runiq,PDR,IDR,TL_ms,Pout1s,Pout2s,Pout3s,rssi,addr,mfd
TL,90,,,,90,0,0,0,-42,e0:5a:1b:15:c4:ca,MF6BF2
TICK,1000,10,9,0.900,0.100,,,,,,,
TICK,2000,20,19,0.950,0.050,,,,,,,
TICK,3000,30,27,0.900,0.100,,,,,,,
TICK,4000,40,35,0.875,0.125,,,,,,,
TICK,5000,50,44,0.880,0.120,,,,,,,
TICK,6000,60,52,0.867,0.133,,,,,,,
TICK,7000,70,61,0.871,0.129,,,,,,,
TICK,8000,80,70,0.875,0.125,,,,,,,
TICK,9000,90,78,0.867,0.133,,,,,,,
TICK,10000,100,88,0.880,0.120,,,,,,,
TICK,11000,110,96,0.873,0.127,,,,,,,
TICK,12000,120,104,0.867,0.133,,,,,,,
TICK,13000,130,114,0.877,0.123,,,,,,,
TICK,14000,140,123,0.879,0.121,,,,,,,
TICK,15000,150,131,0.873,0.127,,,,,,,
TICK,16000,160,140,0.875,0.125,,,,,,,
TICK,17000,170,150,0.882,0.118,,,,,,,
TICK,18000,180,158,0.878,0.122,,,,,,,
TICK,19000,190,166,0.874,0.126,,,,,,,
TICK,20000,200,174,0.870,0.130,,,,,,,
TICK,21000,210,183,0.871,0.129,,,,,,,
TICK,22000,220,192,0.873,0.127,,,,,,,
TICK,23000,230,199,0.865,0.135,,,,,,,
TICK,24000,240,208,0.867,0.133,,,,,,,
TICK,25000,250,217,0.868,0.132,,,,,,,
TICK,26000,260,225,0.865,0.135,,,,,,,
TICK,27000,270,233,0.863,0.137,,,,,,,
TICK,28000,280,243,0.868,0.132,,,,,,,
TICK,29000,290,251,0.866,0.134,,,,,,,
TICK,30000,300,260,0.867,0.133,,,,,,,
TICK,31000,310,268,0.865,0.135,,,,,,,
TICK,32000,320,276,0.863,0.137,,,,,,,
TICK,33000,330,285,0.864,0.136,,,,,,,
TICK,34000,340,293,0.862,0.138,,,,,,,
TICK,35000,350,302,0.863,0.137,,,,,,,
TICK,36000,360,310,0.861,0.139,,,,,,,
TICK,37000,370,320,0.865,0.135,,,,,,,
TICK,38000,380,329,0.866,0.134,,,,,,,
TICK,39000,390,338,0.867,0.133,,,,,,,
TICK,40000,400,346,0.865,0.135,,,,,,,
TICK,41000,410,353,0.861,0.139,,,,,,,
TICK,42000,420,362,0.862,0.138,,,,,,,
TICK,43000,430,371,0.863,0.137,,,,,,,
TICK,44000,440,380,0.864,0.136,,,,,,,
TICK,45000,450,388,0.862,0.138,,,,,,,
TICK,46000,460,397,0.863,0.137,,,,,,,
TICK,47000,470,406,0.864,0.136,,,,,,,
TICK,48000,480,416,0.867,0.133,,,,,,,
TICK,49000,490,424,0.865,0.135,,,,,,,
TICK,50000,500,433,0.866,0.134,,,,,,,
TICK,51000,510,442,0.867,0.133,,,,,,,
TICK,52000,520,452,0.869,0.131,,,,,,,
TICK,53000,530,461,0.870,0.130,,,,,,,
TICK,54000,540,470,0.870,0.130,,,,,,,
TICK,55000,550,477,0.867,0.133,,,,,,,
TICK,56000,560,486,0.868,0.132,,,,,,,
TICK,57000,570,496,0.870,0.130,,,,,,,
TICK,58000,580,505,0.871,0.129,,,,,,,
TICK,59000,590,514,0.871,0.129,,,,,,,
TICK,60000,600,523,0.872,0.128,,,,,,,
FINAL,60000,600,523,0.872,0.128,,,,,,,
