ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2B_SCAN90, cond_id=6, tag=s4_policy, subject=uccs_d2_scan90_d2b
# meta, policy=actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true preamble_guard_ms=100
11,3260,55700,181.6
20,3256,54200,176.5
30,3260,55800,181.9
40,3260,54200,176.7
50,3260,55700,181.6
60,3260,54100,176.4
70,3260,55700,181.6
80,3260,54200,176.7
90,3260,55700,181.6
100,3260,54100,176.4
110,3260,55700,181.6
120,3260,54300,177.0
130,3260,55700,181.6
140,3260,54800,178.6
150,3260,55100,179.6
160,3260,54800,178.6
170,3260,55100,179.6
180,3260,55400,180.6
190,3264,54600,178.2
200,3260,55700,181.6
210,3260,54200,176.7
220,3260,55700,181.6
230,3260,54200,176.7
240,3260,55700,181.6
250,3260,54100,176.4
260,3260,55700,181.6
270,3260,54200,176.7
280,3260,55700,181.6
290,3260,54100,176.4
300,3260,55800,181.9
310,3260,54600,178.0
320,3260,55300,180.3
330,3260,54700,178.3
340,3260,55100,179.6
350,3260,54800,178.6
360,3260,55000,179.3
370,3260,55600,181.3
380,3260,54300,177.0
390,3260,55700,181.6
400,3260,54200,176.7
410,3260,55700,181.6
420,3260,54100,176.4
430,3260,55800,181.9
440,3260,69000,224.9
450,3260,62600,204.1
460,3260,54100,176.4
470,3260,55700,181.6
480,3260,54200,176.7
490,3260,55700,181.6
500,3260,54800,178.6
510,3260,55100,179.6
520,3260,54800,178.6
530,3260,55000,179.3
540,3260,55000,179.3
550,3260,55000,179.3
560,3260,55700,181.6
570,3260,54200,176.7
580,3260,55700,181.6
590,3260,54100,176.4
600,3260,55700,181.6
610,3260,54200,176.7
620,3260,55800,181.9
630,3260,54200,176.7
640,3260,55700,181.6
650,3260,54100,176.4
660,3260,55800,181.9
670,3260,54300,177.0
680,3260,55700,181.6
690,3260,54800,178.6
700,3260,55100,179.6
710,3256,54800,178.4
720,3260,55100,179.6
730,3260,55500,180.9
740,3260,54500,177.7
750,3260,55700,181.6
760,3260,54200,176.7
770,3260,55700,181.6
780,3260,54200,176.7
790,3260,55700,181.6
800,3260,54100,176.4
810,3260,55700,181.6
820,3260,54100,176.4
830,3260,55700,181.6
840,3260,54100,176.4
850,3260,55800,181.9
860,3260,54700,178.3
870,3260,55300,180.3
880,3260,54700,178.3
890,3260,55100,179.6
900,3260,54800,178.6
910,3260,55100,179.6
920,3264,55700,181.8
930,3260,54200,176.7
940,3236,56000,181.2
950,3260,54200,176.7
960,3180,135100,429.6
970,3256,54200,176.5
980,3260,55700,181.6
990,3260,54100,176.4
1000,3260,55700,181.6
1010,3260,54200,176.7
1020,3260,55700,181.6
1030,3260,54100,176.4
1040,3260,55700,181.6
1050,3260,54800,178.6
1060,3260,55100,179.6
1070,3260,54800,178.6
1080,3260,55100,179.6
1090,3260,55100,179.6
1100,3260,54900,179.0
1110,3260,55700,181.6
1120,3256,54200,176.5
1130,3260,55800,181.9
1140,3260,54200,176.7
1150,3260,55700,181.6
1160,3260,54200,176.7
1170,3260,55700,181.6
1180,3260,54100,176.4
1190,3260,55700,181.6
1200,3256,54100,176.1
1210,3260,55700,181.6
1220,3260,54500,177.7
1230,3260,55600,181.3
1240,3260,54900,179.0
1250,3260,55100,179.6
1260,3260,54800,178.6
