session,interval_ms,n,pdr_raw_mean,pdr_raw_median,pdr_raw_std,pdr_unique_mean,pdr_unique_median,pdr_unique_std,pout_1s_mean,pout_1s_median,pout_1s_std,tl_mean_s_mean,tl_mean_s_median,tl_mean_s_std,tl_p95_s_mean,tl_p95_s_median,tl_p95_s_std,E_per_adv_uJ_mean,E_per_adv_uJ_median,E_per_adv_uJ_std,avg_power_mW_mean,avg_power_mW_median,avg_power_mW_std,pout1s_excess,tl_mean_norm
S1,500,1,1.0,1.0,0.0,0.500787,0.500787,0.0,0.05,0.05,0.0,6.164233,6.164233,0.0,42.80245,42.80245,0.0,99954.6,99954.6,0.0,200.0276258067769,200.0276258067769,0.0,0,12.328466
S1,1000,1,1.0,1.0,0.0,0.500787,0.500787,0.0,0.216667,0.216667,0.0,7.95885,7.95885,0.0,49.61385,49.61385,0.0,199327.4,199327.4,0.0,199.44990624162872,199.44990624162872,0.0,0,7.95885
S1,2000,2,0.8817035,0.8817035,0.0047315,0.8817035,0.8817035,0.0047315,0.8916665,0.8916665,0.09166649999999998,33.253275,33.253275,20.717142,130.9739,130.9739,41.14185,361619.75,361619.75,115.15000000002328,180.97215732624943,180.97215732624943,0.06035812158789611,0.39166650000000003,16.6266375
S1   # old 100ms (pdr_u≈0.20),100,1,0.822278,0.822278,0.0,0.200095,0.200095,0.0,0.05,0.05,0.0,6.1111,6.1111,0.0,42.4226,42.4226,0.0,20059.0,20059.0,0.0,200.57808418591608,200.57808418591608,0.0,0,61.111000000000004
S4,100,1,0.804444,0.804444,0.0,0.199968,0.199968,0.0,0.085106,0.085106,0.0,4.033489,4.033489,0.0,19.6578,19.6578,0.0,20023.9,20023.9,0.0,200.21496446223827,200.21496446223827,0.0,0,40.33489
S4,500,1,1.0,1.0,0.0,0.500787,0.500787,0.0,0.056738,0.056738,0.0,2.033085,2.033085,0.0,8.8936,8.8936,0.0,100768.6,100768.6,0.0,201.6760431982325,201.6760431982325,0.0,0,4.06617
S4,1000,1,1.0,1.0,0.0,0.500787,0.500787,0.0,0.255319,0.255319,0.0,8.836241,8.836241,0.0,65.6606,65.6606,0.0,198948.3,198948.3,0.0,199.09037628418383,199.09037628418383,0.0,0,8.836241
S4,2000,1,0.858491,0.858491,0.0,0.858491,0.858491,0.0,0.673759,0.673759,0.0,16.592624,16.592624,0.0,111.53,111.53,0.0,359182.1,359182.1,0.0,180.36553660450772,180.36553660450772,0.0,0.173759,8.296312
