Subject,Operational_Acc,Stationary_Acc,Locomotion_Acc,Transition_Acc,Stationary_Misclass_Rate
Sub01,0.7881844380403458,0.7348066298342542,0.7520661157024794,0.9707112970711297,0.26373626373611886
Sub02,0.6079545454545454,0.735632183908046,1.0,0.8867924528301887,0.12568306010922095
Sub03,0.9928366762177651,1.0,1.0,1.0,0.0
Sub04,0.7776183644189383,0.5413533834586466,1.0,1.0,0.3370165745854492
Sub05,0.953662182361734,1.0,1.0,0.9629629629629629,0.0
Sub06,0.9195583596214512,1.0,0.9482758620689655,0.9526315789473684,0.0
Sub07,0.8880597014925373,1.0,1.0,0.9948186528497409,0.0
Sub08,0.5978755690440061,0.5714285714285714,0.7375,0.7733990147783252,0.2486187845302494
Sub09,0.8197932053175776,0.9868421052631579,1.0,1.0,0.005524861878449987
Sub10,0.9654654654654655,1.0,0.9094650205761317,0.995850622406639,0.0
