interval_bucket_ms,trials,pdr_raw_mean,pdr_unique_mean,E_per_adv_uJ_mean
100,10,0.8110,0.8027,21035.9
500,10,0.8987,0.8737,94603.0
1000,5,0.8986,0.8880,186872.0
2000,4,0.8933,0.8883,368677.5
