condition,n_trials,pout_1s_mean,pout_1s_std,tl_mean_s_mean,tl_mean_s_std,pdr_unique_mean,pdr_unique_std,rx_tag_share100_time_est_mean,rx_tag_share100_time_est_std,avg_power_mW_mean,avg_power_mW_std,adv_count_mean,adv_count_std
S1_fixed100,6,0.075,0.027386,3.762342,1.460561,0.788554,0.016172,1.0,0.0,204.128,1.432,1795.5,1.225
S1_fixed500,6,0.141667,0.04916,5.292488,0.017934,0.815692,0.018174,0.000229,0.000354,184.655,1.51,359.0,0.0
S1_policy,6,0.125,0.027386,5.23865,0.049278,0.802924,0.022176,0.330727,0.004309,191.499,1.931,855.0,0.0
S4_fixed100,6,0.052845,0.009958,1.247736,0.007745,0.791945,0.009301,0.998239,0.00193,204.444,2.119,1796.0,0.0
S4_fixed500,6,0.146341,0.030852,2.483906,1.107727,0.817084,0.019983,0.000232,0.000359,184.547,1.492,359.0,0.0
S4_policy,6,0.069106,0.028513,1.575309,0.500407,0.792719,0.020853,0.594671,0.007795,196.593,1.587,1227.0,0.0
