ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2, trial_index=6, adv_interval_ms=100
2340,3304,07!600,0.0
2350,3316,069400,230.1
2360,3316,05'000,0.0
2370,3316,05'400,0.0
2380,3320,059500,197.5
2390,3316,05&400,0.0
2400,3320,06"400,0.0
2410,3320,05&400,0.0
2420,3320,06&800,0.0
2430,3316,05&400,0.0
2440,3196,15&200,0.0
2450,3320,05'200,0.0
2460,3316,05&800,0.0
2470,3320,06 500,0.0
2480,3320,05&300,0.0
2490,3320,06#500,0.0
2500,3316,05&300,0.0
2510,3320,06'800,0.0
2520,3316,05&600,0.0
2530,3320,069500,230.7
2540,3292,06!900,0.0
2550,3316,06"200,0.0
2560,3320,06!500,0.0
2570,3316,05&400,0.0
2580,3320,06%100,0.0
2590,3316,05&300,0.0
2600,3320,06'800,0.0
2610,3316,05&900,0.0
2620,3320,07!200,0.0
2630,3316,05'500,0.0
2640,3316,10%400,0.0
2650,3204,18'500,0.1
2660,3316,05&400,0.0
2670,3320,06'300,0.0
2680,3320,05&400,0.0
2690,3316,068700,227.8
2700,3316,05&900,0.0
2710,3316,05'300,0.0
2720,3320,059200,196.5
2730,3316,056400,187.0
2740,3296,06"700,0.0
2750,3192,148000,472.4
2760,3320,06'900,0.0
2770,3320,05&900,0.0
2780,3320,07!400,0.0
2790,3316,05'600,0.0
2800,3316,05&600,0.0
2810,3320,06 900,0.0
2820,3316,05&400,0.0
2830,3320,06$000,0.0
2840,3308,07&500,0.0
2850,3320,06'900,0.0
2860,3216,179300,576.6
2870,3316,07!500,0.0
2880,3320,058900,195.5
2890,3316,05&400,0.0
2900,3320,06!600,0.0
2910,3320,05&300,0.0
2920,3320,06%500,0.0
2930,3316,05&300,0.0
2940,3308,07&600,0.0
2950,3320,05&900,0.0
2960,3244,14'200,0.0
2970,3320,059700,198.2
2980,3316,05&400,0.0
2990,3320,06"700,0.0
3000,3316,05&400,0.0
3010,3316,06'200,0.0
3020,3320,05&400,0.0
3030,3320,068500,227.4
3040,3296,06$800,0.0
3050,3320,05'200,0.0
