ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=1, cond_id_raw=1, tag=s4_fixed100, subject=uccs_d4b_scan70
138601,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
138611,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
138621,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
138631,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
138641,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
138651,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
138661,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
138671,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
138681,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
138691,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
138701,4928,55900,275.5,TXSD_UCCS_D4B_SCAN70_v1
138711,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
138721,4924,55900,275.3,TXSD_UCCS_D4B_SCAN70_v1
138731,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
138741,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
138751,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
138761,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
138771,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
138781,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
138791,4776,210100,1003.4,TXSD_UCCS_D4B_SCAN70_v1
138801,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
138811,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
138821,4928,56500,278.4,TXSD_UCCS_D4B_SCAN70_v1
138831,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
138841,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
138851,4924,56200,276.7,TXSD_UCCS_D4B_SCAN70_v1
138861,4932,56400,278.2,TXSD_UCCS_D4B_SCAN70_v1
138871,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
138881,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
138891,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
138901,4668,136300,636.2,TXSD_UCCS_D4B_SCAN70_v1
138911,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
138921,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
138931,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
138941,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
138951,4924,55800,274.8,TXSD_UCCS_D4B_SCAN70_v1
138961,4928,56800,279.9,TXSD_UCCS_D4B_SCAN70_v1
138971,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
138981,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
138991,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
139001,4784,169800,812.3,TXSD_UCCS_D4B_SCAN70_v1
139011,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
