ms,mV,uA,p_mW,program_id
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=4, cond_id_raw=4, tag=s4_ablation_ccs_off, subject=uccs_d4b_scan70
# meta, ablation=ccs_off policy=U_only actions{100,500} u_mid=0.20 u_high=0.35 hyst=0.02 ema_alpha=0.20
53820,4928,56000,276.0,TXSD_UCCS_D4B_SCAN70_v1
53830,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
53840,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
53850,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
53860,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
53870,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
53880,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
53890,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
53900,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
53910,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
53920,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
53930,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
53940,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
53954,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
53960,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
53970,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
53980,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
53990,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54000,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
54010,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54020,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54030,4928,55600,274.0,TXSD_UCCS_D4B_SCAN70_v1
54040,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
54050,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54060,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54070,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54080,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54090,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
54100,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54110,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
54120,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
54130,4924,56200,276.7,TXSD_UCCS_D4B_SCAN70_v1
54140,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54150,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
54160,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54170,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
54180,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54190,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54200,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54210,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54220,4928,55800,275.0,TXSD_UCCS_D4B_SCAN70_v1
54230,4928,56600,278.9,TXSD_UCCS_D4B_SCAN70_v1
54240,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54250,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54260,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54270,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54280,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54290,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54300,4760,58300,277.5,TXSD_UCCS_D4B_SCAN70_v1
54310,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54320,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
54330,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54340,4928,56400,277.9,TXSD_UCCS_D4B_SCAN70_v1
54350,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54360,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54370,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
54380,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54390,4924,55600,273.8,TXSD_UCCS_D4B_SCAN70_v1
54400,4932,56700,279.6,TXSD_UCCS_D4B_SCAN70_v1
54410,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54420,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54430,4928,55700,274.5,TXSD_UCCS_D4B_SCAN70_v1
54440,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54450,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
54460,4928,56700,279.4,TXSD_UCCS_D4B_SCAN70_v1
54470,4924,55700,274.3,TXSD_UCCS_D4B_SCAN70_v1
54480,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54490,4928,56300,277.4,TXSD_UCCS_D4B_SCAN70_v1
54500,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54510,4928,56200,277.0,TXSD_UCCS_D4B_SCAN70_v1
54520,4928,56100,276.5,TXSD_UCCS_D4B_SCAN70_v1
54530,4928,56500,278.4,TXSD_UCCS_D4B_SCAN70_v1
