prog_id,ms,mV,uA,p_mW
# meta, firmware=TXSD_DeltaE_V3_OFF, program_id=TXSD_DELTAE_V3_OFF_20260114, trial_index=auto, adv_interval_ms=0
TXSD_DELTAE_V3_OFF_20260114,11,3148,52200,164.3
TXSD_DELTAE_V3_OFF_20260114,20,3144,51100,160.7
TXSD_DELTAE_V3_OFF_20260114,30,3148,52200,164.3
TXSD_DELTAE_V3_OFF_20260114,40,3144,51000,160.3
TXSD_DELTAE_V3_OFF_20260114,50,3148,52300,164.6
TXSD_DELTAE_V3_OFF_20260114,60,3144,51200,161.0
TXSD_DELTAE_V3_OFF_20260114,70,3148,52100,164.0
TXSD_DELTAE_V3_OFF_20260114,80,3148,51400,161.8
TXSD_DELTAE_V3_OFF_20260114,90,3148,51900,163.4
TXSD_DELTAE_V3_OFF_20260114,100,3148,51700,162.8
TXSD_DELTAE_V3_OFF_20260114,110,3148,51500,162.1
TXSD_DELTAE_V3_OFF_20260114,120,3148,51900,163.4
TXSD_DELTAE_V3_OFF_20260114,130,3144,51300,161.3
TXSD_DELTAE_V3_OFF_20260114,140,3148,52100,164.0
TXSD_DELTAE_V3_OFF_20260114,150,3144,51100,160.7
TXSD_DELTAE_V3_OFF_20260114,160,3148,52100,164.0
TXSD_DELTAE_V3_OFF_20260114,170,3144,51000,160.3
TXSD_DELTAE_V3_OFF_20260114,180,3148,52200,164.3
TXSD_DELTAE_V3_OFF_20260114,190,3144,51100,160.7
TXSD_DELTAE_V3_OFF_20260114,200,3148,52100,164.0
TXSD_DELTAE_V3_OFF_20260114,210,3144,51300,161.3
TXSD_DELTAE_V3_OFF_20260114,220,3148,52000,163.7
TXSD_DELTAE_V3_OFF_20260114,230,3148,51500,162.1
TXSD_DELTAE_V3_OFF_20260114,240,3148,51800,163.1
TXSD_DELTAE_V3_OFF_20260114,250,3148,51800,163.1
TXSD_DELTAE_V3_OFF_20260114,260,3148,51500,162.1
TXSD_DELTAE_V3_OFF_20260114,270,3148,52100,164.0
TXSD_DELTAE_V3_OFF_20260114,280,3148,51200,161.2
TXSD_DELTAE_V3_OFF_20260114,290,3152,52200,164.5
TXSD_DELTAE_V3_OFF_20260114,300,3144,51100,160.7
TXSD_DELTAE_V3_OFF_20260114,310,3148,52200,164.3
TXSD_DELTAE_V3_OFF_20260114,320,3148,51000,160.5
TXSD_DELTAE_V3_OFF_20260114,330,3152,52200,164.5
TXSD_DELTAE_V3_OFF_20260114,340,3144,51200,161.0
TXSD_DELTAE_V3_OFF_20260114,350,3148,52000,163.7
TXSD_DELTAE_V3_OFF_20260114,360,3144,51300,161.3
TXSD_DELTAE_V3_OFF_20260114,370,3148,51900,163.4
TXSD_DELTAE_V3_OFF_20260114,380,3148,51600,162.4
TXSD_DELTAE_V3_OFF_20260114,390,3148,51600,162.4
TXSD_DELTAE_V3_OFF_20260114,400,3148,51800,163.1
TXSD_DELTAE_V3_OFF_20260114,410,3148,51300,161.5
