ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_MODEC2P_1202, buf_size=512
470534,ADV,-60,48,2,e0:5a:1b:15:c4:ca,0048_2
470635,ADV,-51,49,0,e0:5a:1b:15:c4:ca,0049_0
470846,ADV,-51,49,0,e0:5a:1b:15:c4:ca,0049_0
470954,ADV,-59,49,0,e0:5a:1b:15:c4:ca,0049_0
471091,ADV,-51,49,0,e0:5a:1b:15:c4:ca,0049_0
471287,ADV,-58,50,0,e0:5a:1b:15:c4:ca,0050_0
471489,ADV,-49,50,0,e0:5a:1b:15:c4:ca,0050_0
471699,ADV,-58,51,1,e0:5a:1b:15:c4:ca,0051_1
471816,ADV,-51,51,1,e0:5a:1b:15:c4:ca,0051_1
472008,ADV,-58,51,1,e0:5a:1b:15:c4:ca,0051_1
472241,ADV,-50,52,2,e0:5a:1b:15:c4:ca,0052_2
472434,ADV,-54,52,2,e0:5a:1b:15:c4:ca,0052_2
472748,ADV,-61,53,0,e0:5a:1b:15:c4:ca,0053_0
472849,ADV,-51,53,0,e0:5a:1b:15:c4:ca,0053_0
473066,ADV,-62,53,0,e0:5a:1b:15:c4:ca,0053_0
473281,ADV,-49,54,1,e0:5a:1b:15:c4:ca,0054_1
473487,ADV,-54,54,1,e0:5a:1b:15:c4:ca,0054_1
473696,ADV,-49,55,2,e0:5a:1b:15:c4:ca,0055_2
473813,ADV,-61,55,2,e0:5a:1b:15:c4:ca,0055_2
474013,ADV,-49,55,2,e0:5a:1b:15:c4:ca,0055_2
474220,ADV,-51,56,0,e0:5a:1b:15:c4:ca,0056_0
474426,ADV,-61,56,0,e0:5a:1b:15:c4:ca,0056_0
474629,ADV,-48,57,1,e0:5a:1b:15:c4:ca,0057_1
474947,ADV,-51,57,1,e0:5a:1b:15:c4:ca,0057_1
475169,ADV,-60,58,2,e0:5a:1b:15:c4:ca,0058_2
475375,ADV,-48,58,2,e0:5a:1b:15:c4:ca,0058_2
475903,ADV,-61,59,0,e0:5a:1b:15:c4:ca,0059_0
476112,ADV,-48,60,0,e0:5a:1b:15:c4:ca,0060_0
476317,ADV,-54,60,0,e0:5a:1b:15:c4:ca,0060_0
476527,ADV,-62,60,0,e0:5a:1b:15:c4:ca,0060_0
