theta_low,theta_high,w_100,w_500,w_2000,muC_event_uJ,Pout_1s,Pout_2s,Pout_3s,energy_saving_vs_100,N_events,total_time_s,pareto
0.7,0.82,0.0,0.0010342789598108747,0.9989657210401891,3258651.9707317078,0.9989889923167848,0.1498453817597518,0.14984486993711216,0.1252890476888724,41,6768.0,True
0.7,0.86,0.0,0.0010342789598108747,0.9989657210401891,3258651.9707317078,0.9989889923167848,0.1498453817597518,0.14984486993711216,0.1252890476888724,41,6768.0,True
0.7,0.9,0.0,0.0010342789598108747,0.9989657210401891,3258651.9707317078,0.9989889923167848,0.1498453817597518,0.14984486993711216,0.1252890476888724,41,6768.0,True
0.7,0.94,0.0,0.0010342789598108747,0.9989657210401891,3258651.9707317078,0.9989889923167848,0.1498453817597518,0.14984486993711216,0.1252890476888724,41,6768.0,True
0.75,0.82,0.0,0.00014775413711583924,0.9998522458628841,3258684.2712195124,0.9998555703309693,0.14997791167996455,0.14997783856244462,0.12528037735810327,41,6768.0,False
0.75,0.86,0.0,0.00014775413711583924,0.9998522458628841,3258684.2712195124,0.9998555703309693,0.14997791167996455,0.14997783856244462,0.12528037735810327,41,6768.0,False
0.75,0.9,0.0,0.00014775413711583924,0.9998522458628841,3258684.2712195124,0.9998555703309693,0.14997791167996455,0.14997783856244462,0.12528037735810327,41,6768.0,False
0.75,0.94,0.0,0.00014775413711583924,0.9998522458628841,3258684.2712195124,0.9998555703309693,0.14997791167996455,0.14997783856244462,0.12528037735810327,41,6768.0,False
0.8,0.9,0.0,0.0,1.0,3258689.6546341465,1.0,0.15000000000000002,0.15000000000000002,0.12527893230297515,41,6768.0,False
0.8,0.94,0.0,0.0,1.0,3258689.6546341465,1.0,0.15000000000000002,0.15000000000000002,0.12527893230297515,41,6768.0,False
0.85,0.94,0.0,0.0,1.0,3258689.6546341465,1.0,0.15000000000000002,0.15000000000000002,0.12527893230297515,41,6768.0,False
