theta_low,theta_high,w_100,w_500,w_2000,muC_event_uJ,Pout_1s,Pout_2s,Pout_3s,energy_saving_vs_100,N_events,total_time_s,pareto
0.001,0.16,0.2962470449172577,0.6168735224586288,0.08687943262411348,3374476.742439024,0.10075908858774237,0.013344207114361713,0.013038941468583778,0.09419852397805817,41,6768.0,True
0.001,0.28,0.14258274231678486,0.7705378250591016,0.08687943262411348,3297160.6058536586,0.10421653451014722,0.013421999667553197,0.013040691801030587,0.11495228107425304,41,6768.0,True
0.001,0.4,0.04861111111111111,0.8645094562647754,0.08687943262411348,3249878.8146341466,0.10633089567038709,0.013469572805851067,0.01304176219664229,0.1276440017600029,41,6768.0,True
0.004,0.16,0.2962470449172577,0.45005910165484636,0.25369385342789597,3380554.6175609753,0.2638201849234397,0.038281920434397175,0.03805920446863919,0.09256705673832222,41,6768.0,False
0.004,0.28,0.14258274231678486,0.6037234042553191,0.25369385342789597,3303238.4809756097,0.2672776308458446,0.03835971298758866,0.038060954801086,0.11332081383451698,41,6768.0,False
0.004,0.4,0.04861111111111111,0.6976950354609929,0.25369385342789597,3255956.6897560977,0.2693919920060845,0.03840728612588653,0.0380620251966977,0.12601253452026684,41,6768.0,False
0.01,0.16,0.2962470449172577,0.30437352245862886,0.39937943262411346,3385862.664390244,0.40622783858774236,0.06006100398936172,0.05991038189827128,0.09114223238191843,41,6768.0,False
0.01,0.28,0.14258274231678486,0.4580378250591017,0.39937943262411346,3308546.5278048776,0.4096852845101472,0.0601387965425532,0.05991213223071809,0.11189598947811341,41,6768.0,False
0.01,0.4,0.04861111111111111,0.5520094562647754,0.39937943262411346,3261264.736585366,0.41179964567038707,0.06018636968085107,0.05991320262632979,0.12458771016386316,41,6768.0,False
0.05,0.16,0.2962470449172577,0.11096335697399527,0.5927895981087471,3392909.5541463415,0.5952862753489717,0.08897461491578018,0.08891970365830011,0.08925065521910669,41,6768.0,False
0.05,0.28,0.14258274231678486,0.2646276595744681,0.5927895981087471,3315593.4175609755,0.5987437212713765,0.08905240746897167,0.08892145399074693,0.11000441231530156,41,6768.0,False
0.05,0.4,0.04861111111111111,0.35859929078014185,0.5927895981087471,3268311.6263414635,0.6008580824316164,0.08909998060726954,0.08892252438635863,0.12269613300105142,41,6768.0,False
0.1,0.16,0.2962470449172577,0.04949763593380615,0.6542553191489362,3395149.0546341464,0.6553690176657566,0.09816335605053195,0.09813886168134976,0.08864951228577611,41,6768.0,False
0.1,0.28,0.14258274231678486,0.20316193853427897,0.6542553191489362,3317832.91804878,0.6588264635881614,0.09824114860372343,0.09814061201379656,0.1094032693819712,41,6768.0,False
0.1,0.4,0.04861111111111111,0.2971335697399527,0.6542553191489362,3270551.1268292684,0.6609408247484013,0.0982887217420213,0.09814168240940827,0.12209499006772095,41,6768.0,False
