ms,voltage,current,power
685,3.340,6.0,0.0
688,3.340,6.0,0.0
691,3.348,6.0,0.0
694,3.348,6.0,0.0
697,3.348,6.0,0.0
700,3.340,6.0,0.0
703,3.340,6.0,0.0
706,3.344,6.0,0.0
709,3.344,6.0,0.0
712,3.348,6.0,0.0
715,3.344,6.0,0.0
718,3.340,6.0,0.0
721,3.340,6.0,0.0
725,3.328,6.0,0.0
728,3.340,6.0,0.0
730,3.340,6.0,0.0
733,3.344,6.0,0.0
736,3.344,6.0,0.0
740,3.344,1.0,0.0
743,3.280,1.0,0.0
746,3.268,1.0,0.0
748,3.340,6.0,0.0
751,3.348,6.0,0.0
754,3.344,6.0,0.0
757,3.344,68.3,215.0
760,3.340,6.0,0.0
763,3.340,6.0,0.0
766,3.348,6.0,0.0
769,3.344,6.0,0.0
772,3.344,6.0,0.0
775,3.340,6.0,0.0
778,3.340,6.0,0.0
781,3.340,6.0,0.0
784,3.344,6.0,0.0
787,3.344,6.0,0.0
790,3.348,69.6,215.0
793,3.340,6.0,0.0
796,3.340,6.0,0.0
799,3.344,6.0,0.0
802,3.344,6.0,0.0
805,3.344,6.0,0.0
808,3.344,6.0,0.0
811,3.340,6.0,0.0
814,3.340,6.0,0.0
817,3.348,6.0,0.0
820,3.328,6.0,0.0
823,3.340,6.0,0.0
827,3.348,6.0,0.0
829,3.344,6.0,0.0
832,3.344,6.0,0.0
835,3.344,6.0,0.0
838,3.340,6.0,0.0
841,3.344,1.0,0.0
844,3.284,1.0,0.0
847,3.292,1.0,0.0
850,3.348,68.3,215.0
853,3.340,6.0,0.0
856,3.340,6.0,0.0
859,3.348,6.0,0.0
862,3.344,6.0,0.0
865,3.344,6.0,0.0
868,3.340,6.0,0.0
871,3.340,6.0,0.0
874,3.340,6.0,0.0
877,3.344,6.0,0.0
880,3.344,6.0,0.0
883,3.344,6.0,0.0
886,3.340,6.0,0.0
889,3.340,6.0,0.0
892,3.344,6.0,0.0
895,3.344,6.0,0.0
898,3.344,6.0,0.0
901,3.344,6.0,0.0
904,3.340,6.0,0.0
907,3.340,6.0,0.0
910,3.344,6.0,0.0
913,3.344,6.0,0.0
916,3.348,7.0,0.0
919,3.344,6.0,0.0
922,3.344,6.0,0.0
925,3.348,6.0,0.0
928,3.340,6.0,0.0
931,3.340,6.0,0.0
934,3.348,6.0,0.0
937,3.348,6.0,0.0
940,3.344,6.0,0.0
943,3.344,6.0,0.0
946,3.340,6.0,0.0
949,3.280,1.0,0.0
952,3.272,1.0,0.0
955,3.288,6.0,0.0
958,3.344,6.0,0.0
961,3.344,6.0,0.0
964,3.340,6.0,0.0
967,3.340,6.0,0.0
970,3.348,6.0,0.0
973,3.344,6.0,0.0
976,3.348,6.0,0.0
979,3.344,6.0,0.0
982,3.340,6.0,0.0
985,3.344,6.0,0.0
988,3.348,6.0,0.0
991,3.348,6.0,0.0
994,3.344,68.9,216.0
997,3.340,6.0,0.0
1000,3.340,6.0,0.0
1003,3.344,6.0,0.0
1006,3.344,6.0,0.0
1009,3.348,6.0,0.0
1012,3.340,6.0,0.0
1015,3.344,6.0,0.0
1018,3.344,6.0,0.0
1021,3.340,6.0,0.0
1024,3.340,6.0,0.0
1027,3.344,6.0,0.0
1030,3.344,6.0,0.0
1033,3.344,6.0,0.0
1036,3.344,68.7,215.0
1039,3.340,6.0,0.0
1042,3.340,6.0,0.0
1045,3.348,6.0,0.0
1048,3.344,6.0,0.0
1051,3.348,6.0,0.0
1054,3.340,6.0,0.0
1057,3.280,1.0,0.0
1060,3.276,1.0,0.0
1063,3.292,6.0,0.0
1066,3.344,6.0,0.0
1069,3.348,6.0,0.0
1072,3.340,6.0,0.0
1075,3.340,6.0,0.0
1078,3.344,6.0,0.0
1081,3.344,6.0,0.0
1084,3.344,63.4,211.0
1087,3.344,68.3,215.0
1090,3.340,61.8,206.0
1093,3.340,6.0,0.0
1096,3.348,6.0,0.0
1099,3.348,6.0,0.0
1102,3.348,6.0,0.0
1105,3.344,6.0,0.0
1108,3.336,1.0,0.0
1111,3.344,6.0,0.0
1114,3.344,6.0,0.0
1117,3.340,6.0,0.0
1120,3.348,6.0,0.0
1123,3.344,6.0,0.0
1126,3.344,6.0,0.0
1129,3.344,68.9,215.0
1132,3.340,6.0,0.0
1135,3.340,6.0,0.0
1138,3.344,6.0,0.0
1141,3.344,6.0,0.0
1144,3.348,6.0,0.0
1147,3.344,6.0,0.0
1150,3.340,6.0,0.0
1153,3.340,6.0,0.0
1156,3.344,6.0,0.0
1159,3.344,6.0,0.0
1162,3.348,6.0,0.0
1165,3.344,6.0,0.0
1168,3.280,1.0,0.0
1171,3.252,1.0,0.0
1174,3.280,6.0,0.0
1177,3.344,6.0,0.0
1180,3.344,7.0,0.0
1183,3.340,6.0,0.0
1186,3.340,6.0,0.0
1189,3.344,6.0,0.0
1192,3.344,6.0,0.0
1195,3.348,6.0,0.0
1198,3.344,6.0,0.0
1201,3.340,6.0,0.0
1211,3.332,7.0,0.0
1211,3.340,6.0,0.0
1212,3.340,6.0,0.0
1213,3.340,6.0,0.0
1216,3.344,6.0,0.0
1219,3.348,6.0,0.0
1222,3.344,69.3,215.0
1225,3.340,6.0,0.0
1228,3.340,6.0,0.0
1231,3.348,6.0,0.0
1234,3.344,6.0,0.0
1237,3.344,6.0,0.0
1240,3.344,6.0,0.0
1243,3.340,6.0,0.0
1246,3.340,6.0,0.0
1249,3.344,6.0,0.0
1252,3.348,6.0,0.0
1255,3.344,6.0,0.0
1258,3.344,6.0,0.0
1261,3.340,6.0,0.0
1264,3.348,6.0,0.0
1267,3.348,6.0,0.0
1270,3.348,6.0,0.0
1273,3.344,1.0,0.0
1276,3.284,1.0,0.0
1279,3.228,1.0,0.0
1282,3.308,6.0,0.0
1285,3.344,6.0,0.0
1288,3.344,6.0,0.0
1291,3.344,68.4,218.0
1294,3.340,6.0,0.0
1297,3.340,6.0,0.0
1300,3.348,6.0,0.0
1303,3.344,6.0,0.0
1306,3.348,6.0,0.0
1309,3.344,6.0,0.0
1312,3.340,6.0,0.0
1315,3.344,6.0,0.0
1318,3.344,6.0,0.0
1321,3.344,6.0,0.0
1324,3.344,6.0,0.0
1327,3.340,6.0,0.0
1330,3.344,6.0,0.0
1333,3.344,68.0,215.0
1336,3.340,6.0,0.0
1339,3.340,6.0,0.0
1342,3.348,6.0,0.0
1345,3.344,6.0,0.0
1348,3.348,6.0,0.0
1351,3.344,6.0,0.0
1354,3.340,6.0,0.0
1357,3.340,6.0,0.0
1360,3.344,6.0,0.0
1363,3.344,6.0,0.0
1366,3.344,7.0,0.0
1369,3.340,6.0,0.0
1372,3.340,6.0,0.0
1375,3.344,1.0,0.0
1378,3.280,2.0,0.0
1381,3.248,191.5,637.0
1384,3.344,7.0,0.0
1387,3.340,6.0,0.0
1390,3.340,6.0,0.0
1393,3.344,6.0,0.0
1396,3.344,6.0,0.0
1399,3.344,6.0,0.0
1402,3.344,6.0,0.0
1405,3.340,6.0,0.0
1408,3.340,6.0,0.0
1411,3.344,6.0,0.0
1414,3.344,6.0,0.0
1417,3.348,7.0,0.0
1420,3.340,89.0,292.0
1423,3.344,6.0,0.0
1426,3.344,6.0,0.0
1429,3.344,6.0,0.0
1432,3.340,6.0,0.0
1435,3.348,6.0,0.0
1438,3.344,6.0,0.0
1441,3.344,6.0,0.0
1444,3.344,6.0,0.0
1447,3.340,6.0,0.0
1450,3.340,6.0,0.0
1453,3.348,6.0,0.0
1456,3.344,6.0,0.0
1459,3.348,6.0,0.0
1462,3.344,6.0,0.0
1465,3.340,6.0,0.0
1468,3.348,6.0,0.0
1471,3.344,6.0,0.0
1474,3.348,1.0,0.0
1477,3.288,1.0,0.0
1480,3.288,2.0,0.0
1483,3.340,6.0,0.0
1486,3.344,6.0,0.0
1489,3.344,6.0,0.0
1492,3.348,6.0,0.0
1495,3.344,6.0,0.0
1498,3.340,6.0,0.0
1501,3.340,6.0,0.0
1504,3.344,6.0,0.0
1507,3.344,6.0,0.0
1510,3.348,6.0,0.0
1513,3.344,6.0,0.0
1516,3.336,7.0,0.0
1519,3.348,6.0,0.0
1522,3.340,6.0,0.0
1525,3.340,6.0,0.0
1528,3.348,6.0,0.0
1531,3.344,6.0,0.0
1534,3.348,6.0,0.0
1537,3.344,6.0,0.0
1540,3.340,6.0,0.0
1543,3.340,6.0,0.0
1546,3.344,6.0,0.0
1549,3.348,6.0,0.0
1552,3.348,6.0,0.0
1555,3.344,6.0,0.0
1558,3.340,6.0,0.0
1561,3.348,6.0,0.0
1564,3.344,6.0,0.0
1567,3.348,6.0,0.0
1570,3.344,6.0,0.0
1573,3.340,6.0,0.0
1576,3.340,6.0,0.0
1579,3.276,1.0,0.0
1582,3.236,2.0,0.0
1585,3.232,6.0,0.0
1588,3.344,6.0,0.0
1591,3.340,6.0,0.0
1594,3.340,6.0,0.0
1597,3.348,6.0,0.0
1600,3.344,6.0,0.0
1603,3.348,6.0,0.0
1606,3.340,6.0,0.0
1608,3.340,6.0,0.0
1612,3.328,7.0,0.0
1615,3.340,6.0,0.0
1618,3.340,6.0,0.0
1621,3.344,6.0,0.0
1624,3.344,6.0,0.0
1627,3.344,6.0,0.0
1630,3.344,6.0,0.0
1633,3.340,6.0,0.0
1636,3.340,6.0,0.0
1639,3.348,6.0,0.0
1642,3.344,6.0,0.0
1645,3.348,6.0,0.0
1648,3.340,6.0,0.0
1651,3.340,6.0,0.0
1654,3.344,6.0,0.0
1657,3.344,6.0,0.0
1660,3.344,6.0,0.0
1663,3.348,69.1,218.0
1666,3.340,6.0,0.0
1669,3.340,6.0,0.0
1672,3.344,6.0,0.0
1675,3.344,6.0,0.0
1678,3.348,6.0,0.0
1681,3.340,6.0,0.0
1684,3.340,68.0,500.0
1687,3.280,1.0,0.0
1690,3.240,191.2,629.0
1693,3.264,6.0,0.0
1695,3.348,6.0,0.0
1698,3.340,6.0,0.0
1701,3.340,6.0,0.0
1704,3.348,6.0,0.0
1708,3.324,6.0,0.0
1711,3.340,6.0,0.0
1714,3.348,6.0,0.0
1717,3.344,6.0,0.0
1720,3.348,6.0,0.0
1723,3.344,6.0,0.0
1726,3.340,6.0,0.0
1729,3.340,6.0,0.0
1732,3.344,6.0,0.0
1735,3.344,6.0,0.0
1738,3.348,6.0,0.0
1741,3.344,6.0,0.0
1744,3.340,6.0,0.0
1747,3.348,6.0,0.0
1750,3.344,6.0,0.0
1753,3.344,6.0,0.0
1756,3.344,6.0,0.0
1759,3.340,6.0,0.0
1762,3.340,6.0,0.0
1765,3.344,6.0,0.0
1767,3.344,62.6,210.0
1770,3.344,69.6,216.0
1773,3.340,63.0,215.0
1776,3.340,6.0,0.0
1779,3.348,6.0,0.0
1782,3.344,6.0,0.0
1785,3.344,6.0,0.0
1788,3.280,1.0,0.0
1791,3.228,1.0,0.0
1794,3.256,8.0,0.0
1797,3.348,6.0,0.0
1800,3.344,6.0,0.0
1806,3.348,6.0,0.0
1807,3.344,6.0,0.0
1810,3.344,6.0,0.0
1813,3.348,6.0,0.0
1816,3.344,6.0,0.0
1819,3.340,6.0,0.0
1822,3.348,6.0,0.0
1825,3.344,6.0,0.0
1828,3.344,6.0,0.0
1831,3.344,68.7,216.0
1834,3.340,6.0,0.0
1837,3.340,6.0,0.0
1840,3.348,6.0,0.0
1843,3.344,6.0,0.0
1846,3.348,6.0,0.0
1849,3.344,6.0,0.0
1851,3.340,6.0,0.0
1854,3.348,6.0,0.0
1857,3.344,6.0,0.0
1860,3.344,6.0,0.0
1863,3.344,6.0,0.0
1866,3.340,6.0,0.0
1869,3.340,6.0,0.0
1872,3.348,6.0,0.0
1875,3.348,6.0,0.0
1878,3.348,6.0,0.0
1881,3.340,6.0,0.0
1884,3.340,6.0,0.0
1887,3.340,6.0,0.0
1890,3.344,6.0,0.0
1893,3.344,6.0,0.0
1896,3.344,1.0,0.0
1899,3.288,1.0,0.0
1902,3.284,2.0,0.0
1905,3.340,6.0,0.0
1908,3.344,6.0,0.0
1911,3.344,6.0,0.0
1914,3.344,69.6,215.0
1917,3.344,6.0,0.0
1920,3.340,6.0,0.0
1924,3.328,7.0,0.0
1927,3.340,6.0,0.0
1930,3.340,6.0,0.0
1933,3.344,6.0,0.0
1936,3.344,6.0,0.0
1939,3.344,6.0,0.0
1941,3.344,6.0,0.0
1944,3.340,6.0,0.0
1947,3.344,6.0,0.0
1950,3.348,6.0,0.0
1953,3.344,6.0,0.0
1956,3.344,6.0,0.0
1959,3.340,6.0,0.0
1962,3.340,6.0,0.0
1965,3.348,6.0,0.0
1968,3.344,6.0,0.0
1971,3.344,6.0,0.0
1974,3.344,6.0,0.0
1977,3.340,6.0,0.0
1980,3.340,6.0,0.0
1983,3.344,6.0,0.0
1986,3.344,6.0,0.0
1989,3.344,69.3,215.0
1992,3.340,6.0,0.0
1995,3.340,6.0,0.0
1998,3.348,6.0,0.0
2001,3.348,6.0,0.0
2004,3.316,1.0,0.0
2007,3.284,2.0,0.0
2010,3.284,2.0,0.0
2013,3.340,6.0,0.0
2016,3.348,6.0,0.0
2020,3.328,6.0,0.0
2023,3.340,6.0,0.0
2026,3.348,6.0,0.0
2028,3.344,6.0,0.0
2031,3.348,6.0,0.0
2034,3.340,6.0,0.0
2037,3.340,6.0,0.0
2040,3.348,6.0,0.0
2043,3.344,6.0,0.0
2046,3.344,6.0,0.0
2049,3.344,6.0,0.0
2053,3.340,6.0,0.0
2055,3.340,6.0,0.0
2058,3.348,6.0,0.0
2061,3.344,6.0,0.0
2064,3.344,6.0,0.0
2067,3.344,6.0,0.0
2070,3.340,6.0,0.0
2073,3.340,6.0,0.0
2076,3.348,6.0,0.0
2079,3.344,6.0,0.0
2082,3.344,6.0,0.0
2085,3.340,6.0,0.0
2088,3.340,6.0,0.0
2091,3.348,6.0,0.0
2094,3.344,6.0,0.0
2097,3.344,6.0,0.0
2100,3.344,6.0,0.0
2103,3.340,6.0,0.0
2106,3.340,6.0,0.0
2109,3.348,8.0,0.0
2112,3.284,1.0,0.0
2116,3.292,1.0,0.0
2118,3.344,6.0,0.0
2121,3.344,6.0,0.0
2124,3.348,6.0,0.0
2127,3.340,6.0,0.0
2131,3.340,6.0,0.0
2133,3.348,6.0,0.0
2136,3.348,6.0,0.0
2139,3.344,6.0,0.0
2142,3.344,6.0,0.0
2145,3.340,6.0,0.0
2148,3.340,6.0,0.0
2151,3.344,6.0,0.0
2154,3.348,6.0,0.0
2157,3.348,6.0,0.0
2160,3.344,6.0,0.0
2163,3.340,6.0,0.0
2166,3.340,6.0,0.0
2169,3.344,6.0,0.0
2172,3.344,6.0,0.0
2175,3.344,69.0,216.0
2178,3.340,6.0,0.0
2181,3.340,6.0,0.0
2184,3.348,6.0,0.0
2187,3.344,6.0,0.0
2190,3.344,6.0,0.0
2193,3.344,6.0,0.0
2196,3.336,6.0,0.0
2199,3.340,6.0,0.0
2202,3.344,6.0,0.0
2205,3.344,6.0,0.0
2208,3.348,6.0,0.0
2211,3.344,8.0,0.0
2214,3.344,6.0,0.0
2217,3.348,9.0,0.0
2220,3.280,1.0,0.0
2223,3.284,2.0,0.0
2226,3.232,6.0,0.0
2229,3.344,6.0,0.0
2232,3.344,6.0,0.0
2235,3.344,68.9,215.0
2238,3.340,6.0,0.0
2241,3.340,6.0,0.0
2244,3.348,6.0,0.0
2247,3.348,6.0,0.0
2250,3.344,6.0,0.0
2253,3.344,6.0,0.0
2256,3.340,6.0,0.0
2259,3.340,6.0,0.0
2262,3.348,6.0,0.0
2265,3.344,6.0,0.0
2268,3.348,6.0,0.0
2271,3.340,6.0,0.0
2274,3.340,6.0,0.0
2277,3.344,6.0,0.0
2280,3.344,6.0,0.0
2283,3.344,6.0,0.0
2286,3.344,6.0,0.0
2289,3.340,6.0,0.0
2292,3.340,6.0,0.0
2295,3.344,6.0,0.0
2298,3.344,6.0,0.0
2301,3.348,6.0,0.0
2304,3.344,6.0,0.0
2307,3.336,69.5,228.0
2310,3.344,6.0,0.0
2313,3.340,6.0,0.0
2316,3.340,6.0,0.0
2319,3.348,6.0,0.0
2322,3.344,6.0,0.0
2325,3.332,1.0,0.0
2328,3.284,195.7,465.0
2331,3.284,2.0,0.0
2334,3.340,6.0,0.0
2337,3.348,6.0,0.0
2340,3.348,6.0,0.0
2343,3.344,6.0,0.0
2346,3.344,6.0,0.0
2349,3.340,6.0,0.0
2352,3.340,6.0,0.0
2355,3.348,6.0,0.0
2358,3.344,6.0,0.0
2361,3.348,6.0,0.0
2364,3.344,6.0,0.0
2367,3.340,6.0,0.0
2370,3.344,6.0,0.0
2373,3.348,6.0,0.0
2376,3.348,6.0,0.0
2379,3.344,6.0,0.0
2382,3.340,6.0,0.0
2385,3.340,6.0,0.0
2388,3.344,6.0,0.0
2391,3.344,6.0,0.0
2394,3.348,6.0,0.0
2397,3.344,6.0,0.0
2400,3.340,6.0,0.0
2406,3.328,7.0,0.0
2406,3.344,6.0,0.0
2409,3.340,6.0,0.0
2412,3.344,6.0,0.0
2415,3.348,6.0,0.0
2418,3.344,6.0,0.0
2421,3.344,68.2,215.0
2424,3.340,6.0,0.0
2427,3.340,6.0,0.0
2430,3.348,6.0,0.0
2433,3.296,1.0,0.0
2436,3.284,1.0,0.0
2439,3.272,2.0,0.0
2442,3.340,6.0,0.0
2445,3.340,6.0,0.0
2448,3.344,65.0,218.0
2451,3.344,65.1,218.0
2454,3.348,62.9,210.0
2457,3.340,6.0,0.0
2460,3.340,6.0,0.0
2463,3.340,6.0,0.0
2466,3.344,6.0,0.0
2469,3.344,6.0,0.0
2472,3.348,7.0,0.0
2475,3.340,6.0,0.0
2478,3.340,6.0,0.0
2481,3.344,6.0,0.0
2484,3.344,6.0,0.0
2487,3.348,6.0,0.0
2490,3.344,6.0,0.0
2493,3.340,6.0,0.0
2496,3.340,6.0,0.0
2499,3.348,6.0,0.0
2502,3.344,6.0,0.0
2505,3.348,6.0,0.0
2508,3.344,6.0,0.0
2511,3.340,6.0,0.0
2514,3.344,6.0,0.0
2517,3.344,6.0,0.0
2520,3.344,6.0,0.0
2523,3.344,6.0,0.0
2526,3.344,6.0,0.0
2529,3.344,6.0,0.0
2532,3.344,6.0,0.0
2535,3.340,6.0,0.0
2538,3.340,6.0,0.0
2541,3.348,6.0,0.0
2544,3.288,1.0,0.0
2547,3.292,1.0,0.0
2550,3.300,6.0,0.0
2553,3.340,6.0,0.0
2556,3.340,6.0,0.0
2559,3.348,6.0,0.0
2562,3.348,6.0,0.0
2565,3.344,69.7,216.0
2568,3.340,6.0,0.0
2571,3.340,6.0,0.0
2574,3.348,6.0,0.0
2577,3.344,6.0,0.0
2580,3.348,6.0,0.0
2583,3.344,6.0,0.0
2586,3.340,6.0,0.0
2589,3.340,6.0,0.0
2592,3.344,6.0,0.0
2595,3.344,6.0,0.0
2598,3.348,6.0,0.0
2601,3.340,6.0,0.0
2604,3.340,6.0,0.0
2607,3.344,6.0,0.0
2610,3.344,6.0,0.0
2613,3.344,6.0,0.0
2615,3.344,6.0,0.0
2619,3.340,1.0,0.0
2622,3.348,6.0,0.0
2625,3.344,6.0,0.0
2628,3.340,6.0,0.0
2631,3.340,6.0,0.0
2634,3.348,6.0,0.0
2637,3.344,6.0,0.0
2640,3.348,6.0,0.0
2643,3.340,6.0,0.0
2646,3.340,6.0,0.0
2649,3.268,1.0,0.0
2652,3.280,1.0,0.0
2655,3.292,1.0,0.0
2658,3.344,69.8,216.0
2661,3.340,6.0,0.0
2664,3.340,6.0,0.0
2667,3.344,6.0,0.0
2670,3.344,6.0,0.0
2673,3.348,6.0,0.0
2676,3.344,6.0,0.0
2679,3.340,6.0,0.0
2682,3.340,6.0,0.0
2685,3.348,6.0,0.0
2688,3.348,6.0,0.0
2691,3.348,6.0,0.0
2694,3.344,6.0,0.0
2697,3.340,6.0,0.0
2700,3.348,6.0,0.0
2703,3.344,6.0,0.0
2705,3.344,6.0,0.0
2708,3.344,6.0,0.0
2711,3.340,6.0,0.0
2715,3.332,1.0,0.0
2718,3.344,6.0,0.0
2721,3.340,6.0,0.0
2724,3.340,6.0,0.0
2727,3.344,6.0,0.0
2730,3.344,6.0,0.0
2733,3.348,7.0,0.0
2736,3.340,6.0,0.0
2739,3.340,6.0,0.0
2742,3.348,6.0,0.0
2745,3.344,6.0,0.0
2748,3.344,6.0,0.0
2751,3.344,6.0,0.0
2754,3.340,6.0,0.0
2757,3.272,1.0,0.0
2760,3.284,1.0,0.0
2763,3.292,9.0,0.0
2766,3.348,6.0,0.0
2769,3.344,6.0,0.0
2772,3.340,6.0,0.0
2775,3.340,6.0,0.0
2778,3.344,6.0,0.0
2781,3.344,6.0,0.0
2784,3.348,68.8,216.0
2787,3.340,6.0,0.0
2789,3.344,6.0,0.0
2792,3.348,6.0,0.0
2795,3.344,6.0,0.0
2798,3.348,6.0,0.0
2801,3.344,6.0,0.0
2805,3.340,6.0,0.0
2807,3.348,6.0,0.0
2811,3.328,6.0,0.0
2814,3.340,6.0,0.0
2817,3.344,6.0,0.0
2820,3.344,6.0,0.0
2823,3.348,6.0,0.0
2826,3.348,69.4,218.0
2829,3.340,6.0,0.0
2832,3.340,6.0,0.0
2835,3.344,6.0,0.0
2838,3.344,6.0,0.0
2841,3.348,6.0,0.0
2844,3.344,6.0,0.0
2847,3.340,6.0,0.0
2850,3.340,6.0,0.0
2853,3.344,6.0,0.0
2856,3.344,6.0,0.0
2859,3.348,1.0,0.0
