scenario_id,method,avg_energy_uJ_event_mean,avg_energy_uJ_event_std,violation_rate_mean,violation_rate_std,violations_first_100_mean,violations_first_100_std,regret_vs_oracle_mean,regret_vs_oracle_std,n_reps
E2_actions_500_1000_2000_cold,fixed_ccs,17927.351895212065,80.67327974436428,0.11279,0.009993224977680902,11.47,2.999848481022151,5299031.888451604,10549.987032892604,100
E2_actions_500_1000_2000_cold,oracle,12628.32000676046,70.12329271147203,0.0,0.0,0.0,0.0,0.0,0.0,100
E2_actions_500_1000_2000_cold,safe_ucb,12655.702683143161,70.10239112031341,0.0006900000000000001,0.0006307763374436203,0.69,0.6307763374436202,27382.67638270218,308.09865813472203,100
E2_actions_500_1000_2000_cold,ucb,12656.077711216722,70.25242184894162,0.0007100000000000001,0.0006711214796175433,0.71,0.6711214796175433,27757.704456261396,2300.816496932456,100
E2_actions_500_1000_2000_warm_in_domain,fixed_ccs,17927.351895212065,80.67327974436428,0.11279,0.009993224977680902,11.47,2.999848481022151,5299031.888451604,10549.987032892604,100
E2_actions_500_1000_2000_warm_in_domain,oracle,12628.32000676046,70.12329271147203,0.0,0.0,0.0,0.0,0.0,0.0,100
E2_actions_500_1000_2000_warm_in_domain,safe_ucb_warm,12628.32000676046,70.12329271147203,0.0,0.0,0.0,0.0,0.0,0.0,100
E2_actions_500_1000_2000_warm_in_domain,ucb,12656.077711216722,70.25242184894162,0.0007100000000000001,0.0006711214796175433,0.71,0.6711214796175433,27757.704456261396,2300.816496932456,100
E2_actions_500_1000_2000_warm_shift_from_E1,fixed_ccs,17927.351895212065,80.67327974436428,0.11279,0.009993224977680902,11.47,2.999848481022151,5299031.888451604,10549.987032892604,100
E2_actions_500_1000_2000_warm_shift_from_E1,oracle,12628.32000676046,70.12329271147203,0.0,0.0,0.0,0.0,0.0,0.0,100
E2_actions_500_1000_2000_warm_shift_from_E1,safe_ucb_warm,12628.32000676046,70.12329271147203,0.0,0.0,0.0,0.0,0.0,0.0,100
E2_actions_500_1000_2000_warm_shift_from_E1,ucb,12656.077711216722,70.25242184894162,0.0007100000000000001,0.0006711214796175433,0.71,0.6711214796175433,27757.704456261396,2300.816496932456,100
scan70_actions_100_500_cold,fixed_ccs,12628.32000676046,70.12329271147203,0.22878,0.014118960673684537,23.02,4.325120422215625,6966811.065390296,6534.967343451309,100
scan70_actions_100_500_cold,oracle,5661.5089413701635,76.65826005492346,0.0251,0.004569331228832934,2.56,1.5197022568565688,0.0,0.0,100
scan70_actions_100_500_cold,safe_ucb,5668.461060160043,76.6679079088675,0.02537,0.004563037708732323,2.83,1.608405949059409,6952.118789879875,165.0192951312628,100
scan70_actions_100_500_cold,ucb,5668.461060160043,76.6679079088675,0.02537,0.004563037708732323,2.83,1.608405949059409,6952.118789879875,165.0192951312628,100
scan70_actions_100_500_warm_from_scan90,fixed_ccs,12628.32000676046,70.12329271147203,0.22878,0.014118960673684537,23.02,4.325120422215625,6966811.065390296,6534.967343451309,100
scan70_actions_100_500_warm_from_scan90,oracle,5661.5089413701635,76.65826005492346,0.0251,0.004569331228832934,2.56,1.5197022568565688,0.0,0.0,100
scan70_actions_100_500_warm_from_scan90,safe_ucb_warm,5661.5089413701635,76.65826005492346,0.0251,0.004569331228832934,2.56,1.5197022568565688,0.0,0.0,100
scan70_actions_100_500_warm_from_scan90,ucb,5668.461060160043,76.6679079088675,0.02537,0.004563037708732323,2.83,1.608405949059409,6952.118789879875,165.0192951312628,100
