scenario_id,env_id,prior_env_id,actions,tau_s,epsilon,rep,method,avg_energy_uJ_event,violation_rate,violations_first_100,regret_vs_oracle
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,10,ucb,12683.420762655594,0.002,2.0,26995.57206548564
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,10,fixed_ccs,17959.68547895695,0.108,12.0,5303260.288366843
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,10,oracle,12656.42519059011,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,11,safe_ucb,12541.964239998919,0.001,1.0,27759.032238943502
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,11,ucb,12541.964239998919,0.001,1.0,27759.032238943502
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,11,fixed_ccs,17796.068626175933,0.117,13.0,5281863.418415958
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,11,oracle,12514.205207759975,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,12,safe_ucb,12711.722375466476,0.001,1.0,28039.016811423004
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,12,ucb,12711.722375466476,0.001,1.0,28039.016811423004
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,12,fixed_ccs,17991.04461416859,0.094,10.0,5307361.255513536
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,12,oracle,12683.683358655053,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,13,safe_ucb,12707.545732300438,0.001,1.0,27456.14171142876
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,13,ucb,12707.545732300438,0.001,1.0,27456.14171142876
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,13,fixed_ccs,17986.910166892678,0.128,12.0,5306820.576303668
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,13,oracle,12680.089590589008,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,14,safe_ucb,12707.555287761925,0.002,2.0,27510.441345650703
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,14,ucb,12707.555287761925,0.002,2.0,27510.441345650703
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,14,fixed_ccs,17986.858690998928,0.096,9.0,5306813.844582653
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,14,oracle,12680.044846416275,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,15,safe_ucb,12565.967390688755,0.0,0.0,27401.556720411405
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,15,ucb,12565.967390688755,0.0,0.0,27401.556720411405
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,15,fixed_ccs,17824.094286935226,0.115,12.0,5285528.452966882
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,15,oracle,12538.565833968343,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,16,safe_ucb,12599.712393272719,0.001,1.0,27591.617436315864
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,16,ucb,12599.712393272719,0.001,1.0,27591.617436315864
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,16,fixed_ccs,17862.6975399694,0.118,12.0,5290576.764132997
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,16,oracle,12572.120775836402,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,17,safe_ucb,12531.87747225595,0.001,1.0,26812.180165804923
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,17,ucb,12537.211151353178,0.001,1.0,32145.859263032675
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,17,fixed_ccs,17785.553618321053,0.122,13.0,5280488.326230908
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,17,oracle,12505.065292090147,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,18,safe_ucb,12579.180098561497,0.0,0.0,27873.439416632056
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,18,ucb,12579.180098561497,0.0,0.0,27873.439416632056
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,18,fixed_ccs,17838.751957930075,0.106,13.0,5287445.2987852115
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,18,oracle,12551.306659144866,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,19,safe_ucb,12671.478621180057,0.001,1.0,27200.80585018918
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,19,ucb,12671.478621180057,0.001,1.0,27200.80585018918
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,19,fixed_ccs,17945.710541890658,0.107,12.0,5301432.726560792
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,19,oracle,12644.277815329866,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,20,safe_ucb,12644.66376234839,0.0,0.0,27428.14536590129
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,20,ucb,12644.66376234839,0.0,0.0,27428.14536590129
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,20,fixed_ccs,17914.599868848574,0.114,12.0,5297364.251866085
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,20,oracle,12617.235616982489,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,21,safe_ucb,12733.505174255139,0.001,1.0,27028.475100224838
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,21,ucb,12733.505174255139,0.001,1.0,27028.475100224838
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,21,fixed_ccs,18017.267192478193,0.094,10.0,5310790.493323281
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,21,oracle,12706.476699154913,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,22,safe_ucb,12690.056402482225,0.0,0.0,27712.157399445772
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,22,ucb,12690.056402482225,0.0,0.0,27712.157399445772
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,22,fixed_ccs,17966.495049934692,0.094,7.0,5304150.804851914
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,22,oracle,12662.344245082779,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,23,safe_ucb,12752.728629650852,0.001,1.0,27697.465053478256
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,23,ucb,12752.728629650852,0.001,1.0,27697.465053478256
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,23,fixed_ccs,18038.61316074733,0.092,13.0,5313581.996149957
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,23,oracle,12725.031164597374,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,24,safe_ucb,12748.132021604852,0.0,0.0,27950.373781541362
