action_ms,e_off_train_mJ,mu_c_train_uJ_event,mu_c_test_uJ_event_mean,mae_test_uJ_event,n_train,n_test
100,15761.237,5563.494117647061,5840.838655462186,2072.9624649859948,7,3
500,15761.237,12765.61428571429,12130.87222222222,2042.9563492063419,7,3
1000,15761.237,17471.997658079643,18653.989071038264,2595.4543325526897,7,3
2000,15761.237,33760.56221198162,36204.3870967742,2443.8248847925765,7,3
