method,avg_cost_mean,avg_cost_std,violation_rate_mean,violation_rate_std,violations_after_switch_mean,violations_after_switch_std,violations_first_after_switch_k_mean,violations_first_after_switch_k_std,pull_100_mean,pull_500_mean,filter_margin,filter_prior_weight,filter_reset_on_switch
safe_ucb,3366.661299233861,45.67921179568061,0.04572999999999999,0.006430443690804396,12.54,3.453646879412655,1.28,1.0738395192631502,999.0,1.0,,,
filter_ucb_online_w0_m0.015_r1,3368.5980853760125,45.615712813404905,0.04569,0.006452147086063832,12.54,3.453646879412655,1.28,1.0738395192631502,1000.0,0.0,0.015,0.0,1
filter_ucb_online_w0_m0.02_r1,3368.5980853760125,45.615712813404905,0.04569,0.006452147086063832,12.54,3.453646879412655,1.28,1.0738395192631502,1000.0,0.0,0.02,0.0,1
filter_ucb_online_w0_m0.01_r1,2483.139057641542,536.7169171484992,0.06774,0.014852554791630425,26.51,13.282094729523665,4.1,1.7552230857666156,524.41,475.59,0.01,0.0,1
filter_ucb_online_w0_m0.005_r1,2406.4452011490175,536.9997776466013,0.07046999999999999,0.016051341238524447,28.91,14.945081282664692,4.12,1.776843188683716,482.75,517.25,0.005,0.0,1
filter_ucb_online_w0_m0_r1,2308.1288876417257,567.317368108503,0.07436,0.01817730853164311,32.52,16.92793996666905,4.23,1.8304660774256536,429.94,570.06,0.0,0.0,1
fixed_ccs,1515.3998368280422,8.436709832082464,0.10285000000000002,0.009942638513295184,57.03,7.465009285752004,5.91,2.220633270310999,0.0,1000.0,,,
filter_ucb,1517.498322528814,8.426508756266744,0.10278000000000002,0.009950970715554243,57.03,7.465009285752004,5.91,2.220633270310999,1.14,998.86,,,
ucb,1517.498322528814,8.426508756266744,0.10278000000000002,0.009950970715554243,57.03,7.465009285752004,5.91,2.220633270310999,1.14,998.86,,,
