condition,n_trials,pout_1s_mean,pout_1s_std,tl_mean_s_mean,tl_mean_s_std,pdr_unique_mean,pdr_unique_std,rx_tag_share100_time_est_mean,rx_tag_share100_time_est_std,avg_power_mW_mean,avg_power_mW_std,adv_count_mean,adv_count_std
S1_fixed100,3,0.083333,0.028868,4.199875,1.552467,0.804566,0.010312,1.0,0.0,203.789,0.1,1796.0,0.0
S1_fixed500,3,0.1,0.0,5.275675,0.054209,0.831012,0.013741,0.000227,0.000393,183.795,0.174,359.0,0.0
S1_policy,3,0.066667,0.028868,3.31505,1.537996,0.803395,0.003373,0.989639,4.3e-05,203.689,0.327,1787.0,0.0
S4_fixed100,3,0.04878,0.0,1.23774,0.005859,0.805123,0.012312,1.0,0.0,203.698,0.302,1796.0,0.0
S4_fixed500,3,0.130081,0.056327,1.946276,0.417242,0.837512,0.005798,0.000446,0.000387,184.272,0.199,359.0,0.0
S4_policy,3,0.05691,0.014082,1.31602,0.145241,0.810483,0.007598,0.990874,0.001898,204.259,0.542,1787.0,0.0
