u_mid,u_high,share100_time,adv_count_est,switch_count,alpha_est,avg_power_est_mW,alpha_err
0.21,0.46,0.656667,1307,33,0.656667,199.909,0.078305
0.21,0.47,0.654444,1303,33,0.654444,199.867,0.080528
0.21,0.48,0.652222,1300,33,0.652222,199.825,0.08275
0.21,0.49,0.650556,1299,33,0.650556,199.794,0.084416
0.21,0.5,0.648889,1298,33,0.648889,199.763,0.086083
0.21,0.51,0.648889,1298,33,0.648889,199.763,0.086083
0.21,0.52,0.647778,1297,33,0.647778,199.742,0.087194
0.21,0.53,0.647778,1297,33,0.647778,199.742,0.087194
0.21,0.54,0.647222,1296,33,0.647222,199.731,0.08775
0.21,0.55,0.646111,1294,33,0.646111,199.711,0.088861
0.22,0.32,0.660556,1312,33,0.660556,199.982,0.074416
0.22,0.33,0.660556,1312,33,0.660556,199.982,0.074416
0.22,0.34,0.660556,1312,33,0.660556,199.982,0.074416
0.22,0.35,0.659444,1311,33,0.659444,199.961,0.075528
0.22,0.36,0.658333,1309,33,0.658333,199.94,0.076639
0.22,0.37,0.655556,1305,33,0.655556,199.888,0.079416
0.22,0.38,0.652778,1300,33,0.652778,199.836,0.082194
0.22,0.39,0.652222,1300,33,0.652222,199.825,0.08275
0.22,0.4,0.652222,1300,33,0.652222,199.825,0.08275
0.22,0.41,0.652222,1300,33,0.652222,199.825,0.08275
0.22,0.42,0.651667,1299,33,0.651667,199.815,0.083305
0.22,0.43,0.651111,1298,33,0.651111,199.805,0.083861
0.22,0.44,0.651111,1298,33,0.651111,199.805,0.083861
0.22,0.45,0.651111,1298,33,0.651111,199.805,0.083861
0.22,0.46,0.651111,1298,33,0.651111,199.805,0.083861
0.22,0.47,0.648889,1294,33,0.648889,199.763,0.086083
0.22,0.48,0.646667,1291,33,0.646667,199.721,0.088305
0.22,0.49,0.645,1290,33,0.645,199.69,0.089972
0.22,0.5,0.643333,1289,33,0.643333,199.658,0.091639
0.22,0.51,0.643333,1289,33,0.643333,199.658,0.091639
0.22,0.52,0.642222,1288,33,0.642222,199.637,0.09275
0.22,0.53,0.642222,1288,33,0.642222,199.637,0.09275
0.22,0.54,0.641667,1287,33,0.641667,199.627,0.093305
0.22,0.55,0.640556,1285,33,0.640556,199.606,0.094416
0.23,0.32,0.656667,1306,33,0.656667,199.909,0.078305
0.23,0.33,0.656667,1306,33,0.656667,199.909,0.078305
0.23,0.34,0.656667,1306,33,0.656667,199.909,0.078305
0.23,0.35,0.655556,1305,33,0.655556,199.888,0.079416
0.23,0.36,0.654444,1303,33,0.654444,199.867,0.080528
0.23,0.37,0.651667,1299,33,0.651667,199.815,0.083305
0.23,0.38,0.648889,1294,33,0.648889,199.763,0.086083
0.23,0.39,0.648333,1294,33,0.648333,199.752,0.086639
0.23,0.4,0.648333,1294,33,0.648333,199.752,0.086639
0.23,0.41,0.648333,1294,33,0.648333,199.752,0.086639
0.23,0.42,0.647778,1293,33,0.647778,199.742,0.087194
0.23,0.43,0.647222,1292,33,0.647222,199.731,0.08775
0.23,0.44,0.647222,1292,33,0.647222,199.731,0.08775
0.23,0.45,0.647222,1292,33,0.647222,199.731,0.08775
0.23,0.46,0.647222,1292,33,0.647222,199.731,0.08775
0.23,0.47,0.645,1288,33,0.645,199.69,0.089972
0.23,0.48,0.642778,1285,33,0.642778,199.648,0.092194
0.23,0.49,0.641111,1284,33,0.641111,199.617,0.093861
0.23,0.5,0.639444,1283,33,0.639444,199.585,0.095528
0.23,0.51,0.639444,1283,33,0.639444,199.585,0.095528
0.23,0.52,0.638333,1282,33,0.638333,199.564,0.096639
0.23,0.53,0.638333,1282,33,0.638333,199.564,0.096639
0.23,0.54,0.637778,1281,33,0.637778,199.554,0.097194
0.23,0.55,0.636667,1279,33,0.636667,199.533,0.098305
0.24,0.32,0.651111,1296,35,0.651111,199.805,0.083861
0.24,0.33,0.651111,1296,35,0.651111,199.805,0.083861
0.24,0.34,0.651111,1296,35,0.651111,199.805,0.083861
0.24,0.35,0.65,1295,35,0.65,199.784,0.084972
0.24,0.36,0.648889,1293,35,0.648889,199.763,0.086083
0.24,0.37,0.646111,1289,35,0.646111,199.711,0.088861
0.24,0.38,0.642778,1283,35,0.642778,199.648,0.092194
0.24,0.39,0.642222,1283,35,0.642222,199.637,0.09275
0.24,0.4,0.642222,1283,35,0.642222,199.637,0.09275
0.24,0.41,0.642222,1283,35,0.642222,199.637,0.09275
0.24,0.42,0.641667,1282,35,0.641667,199.627,0.093305
0.24,0.43,0.641111,1281,35,0.641111,199.617,0.093861
0.24,0.44,0.641111,1281,35,0.641111,199.617,0.093861
0.24,0.45,0.641111,1281,35,0.641111,199.617,0.093861
0.24,0.46,0.641111,1281,35,0.641111,199.617,0.093861
0.24,0.47,0.638889,1277,35,0.638889,199.575,0.096083
0.24,0.48,0.636667,1274,35,0.636667,199.533,0.098305
0.24,0.49,0.634444,1272,35,0.634444,199.491,0.100528
0.24,0.5,0.632778,1271,35,0.632778,199.46,0.102194
0.24,0.51,0.632778,1271,35,0.632778,199.46,0.102194
0.24,0.52,0.631667,1270,35,0.631667,199.439,0.103305
0.24,0.53,0.631667,1270,35,0.631667,199.439,0.103305
0.24,0.54,0.631111,1269,35,0.631111,199.429,0.103861
0.24,0.55,0.63,1267,35,0.63,199.408,0.104972
0.25,0.32,0.648333,1293,35,0.648333,199.752,0.086639
0.25,0.33,0.648333,1293,35,0.648333,199.752,0.086639
0.25,0.34,0.648333,1293,35,0.648333,199.752,0.086639
0.25,0.35,0.647222,1292,35,0.647222,199.731,0.08775
0.25,0.36,0.646111,1290,35,0.646111,199.711,0.088861
0.25,0.37,0.643333,1286,35,0.643333,199.658,0.091639
0.25,0.38,0.64,1280,35,0.64,199.596,0.094972
0.25,0.39,0.639444,1280,35,0.639444,199.585,0.095528
0.25,0.4,0.639444,1280,35,0.639444,199.585,0.095528
0.25,0.41,0.639444,1280,35,0.639444,199.585,0.095528
0.25,0.42,0.638889,1279,35,0.638889,199.575,0.096083
0.25,0.43,0.638333,1278,35,0.638333,199.564,0.096639
0.25,0.44,0.638333,1278,35,0.638333,199.564,0.096639
0.25,0.45,0.638333,1278,35,0.638333,199.564,0.096639
0.25,0.46,0.638333,1278,35,0.638333,199.564,0.096639
0.25,0.47,0.636111,1274,35,0.636111,199.523,0.098861
0.25,0.48,0.633889,1271,35,0.633889,199.481,0.101083
0.25,0.49,0.631667,1269,35,0.631667,199.439,0.103305
0.25,0.5,0.63,1268,35,0.63,199.408,0.104972
0.25,0.51,0.63,1268,35,0.63,199.408,0.104972
0.25,0.52,0.628889,1267,35,0.628889,199.387,0.106083
0.25,0.53,0.628889,1267,35,0.628889,199.387,0.106083
0.25,0.54,0.628333,1266,35,0.628333,199.376,0.106639
0.25,0.55,0.627222,1264,35,0.627222,199.356,0.10775
0.26,0.32,0.643333,1285,35,0.643333,199.658,0.091639
0.26,0.33,0.643333,1285,35,0.643333,199.658,0.091639
0.26,0.34,0.643333,1285,35,0.643333,199.658,0.091639
0.26,0.35,0.642222,1284,35,0.642222,199.637,0.09275
0.26,0.36,0.641111,1282,35,0.641111,199.617,0.093861
0.26,0.37,0.638333,1278,35,0.638333,199.564,0.096639
0.26,0.38,0.635,1272,35,0.635,199.502,0.099972
0.26,0.39,0.634444,1272,35,0.634444,199.491,0.100528
0.26,0.4,0.634444,1272,35,0.634444,199.491,0.100528
0.26,0.41,0.634444,1272,35,0.634444,199.491,0.100528
0.26,0.42,0.633889,1271,35,0.633889,199.481,0.101083
0.26,0.43,0.633333,1270,35,0.633333,199.47,0.101639
0.26,0.44,0.633333,1270,35,0.633333,199.47,0.101639
0.26,0.45,0.633333,1270,35,0.633333,199.47,0.101639
0.26,0.46,0.633333,1270,35,0.633333,199.47,0.101639
0.26,0.47,0.631111,1266,35,0.631111,199.429,0.103861
0.26,0.48,0.628889,1263,35,0.628889,199.387,0.106083
0.26,0.49,0.626667,1261,35,0.626667,199.345,0.108305
0.26,0.5,0.625,1260,35,0.625,199.314,0.109972
0.26,0.51,0.625,1260,35,0.625,199.314,0.109972
0.26,0.52,0.623889,1259,35,0.623889,199.293,0.111083
0.26,0.53,0.623889,1259,35,0.623889,199.293,0.111083
0.26,0.54,0.623333,1258,35,0.623333,199.282,0.111639
0.26,0.55,0.622222,1256,35,0.622222,199.262,0.11275
0.27,0.32,0.638889,1280,35,0.638889,199.575,0.096083
0.27,0.33,0.638889,1280,35,0.638889,199.575,0.096083
0.27,0.34,0.638889,1280,35,0.638889,199.575,0.096083
0.27,0.35,0.637778,1279,35,0.637778,199.554,0.097194
0.27,0.36,0.636667,1277,35,0.636667,199.533,0.098305
