ms,voltage,current,power
1,3.320,59.4,197.0
4,3.312,59.7,197.0
5,3.320,59.3,197.0
6,3.316,58.9,195.0
7,3.312,59.6,198.0
8,3.320,59.9,198.0
13,3.320,58.9,195.0
14,3.308,59.8,198.0
15,3.316,59.6,198.0
17,3.316,59.9,198.0
18,3.312,59.5,197.0
26,3.316,58.8,195.0
32,3.308,58.6,195.0
41,3.320,59.3,197.0
50,3.320,59.9,198.0
67,3.316,58.7,195.0
73,3.312,58.9,195.0
82,3.316,58.7,195.0
88,3.312,59.4,198.0
97,3.320,59.6,198.0
120,3.320,59.2,197.0
123,3.320,58.5,193.0
129,3.312,59.1,197.0
138,3.316,58.6,195.0
165,3.316,59.4,197.0
171,3.312,59.1,197.0
176,3.316,58.9,195.0
179,3.316,58.3,193.0
194,3.320,59.5,197.0
212,3.312,59.7,197.0
218,3.320,59.4,197.0
221,3.320,59.2,197.0
227,3.308,59.2,197.0
232,3.316,59.5,198.0
235,3.316,58.3,193.0
250,3.320,59.6,198.0
268,3.312,58.5,193.0
274,3.316,59.1,197.0
277,3.320,59.4,197.0
291,3.320,59.4,197.0
309,3.312,59.0,195.0
318,3.320,59.5,197.0
324,3.308,58.6,193.0
333,3.320,59.3,197.0
347,3.316,59.8,198.0
359,3.316,59.1,197.0
362,3.316,65.7,198.0
365,3.312,58.2,193.0
374,3.316,59.4,197.0
380,3.312,59.6,198.0
389,3.320,59.8,198.0
406,3.312,59.4,198.0
415,3.316,58.8,195.0
421,3.312,58.6,195.0
430,3.320,59.3,197.0
456,3.316,58.7,195.0
462,3.312,58.9,195.0
468,3.320,59.5,197.0
471,3.316,58.5,193.0
477,3.308,59.9,202.0
486,3.320,59.6,198.0
510,3.320,59.6,198.0
512,3.316,58.4,193.0
518,3.312,59.6,198.0
527,3.320,58.4,193.0
560,3.312,59.3,197.0
566,3.316,58.9,195.0
568,3.316,58.4,193.0
583,3.320,58.9,195.0
601,3.312,59.6,198.0
610,3.316,59.6,198.0
616,3.312,59.4,195.0
622,3.316,59.8,198.0
624,3.320,58.4,193.0
639,3.320,59.9,198.0
657,3.312,58.5,193.0
663,3.320,59.4,197.0
666,3.316,59.4,197.0
680,3.320,59.3,197.0
692,3.316,59.9,198.0
695,3.320,59.9,198.0
698,3.312,59.5,197.0
707,3.320,59.7,198.0
713,3.308,58.3,193.0
719,3.316,59.7,198.0
722,3.316,59.4,197.0
748,3.316,59.0,195.0
754,3.312,58.2,195.0
760,3.316,59.9,198.0
763,3.320,59.3,197.0
769,3.312,59.2,197.0
778,3.320,59.8,198.0
801,3.320,59.5,197.0
804,3.316,58.5,193.0
810,3.308,58.8,197.0
819,3.316,59.2,197.0
846,3.316,59.1,197.0
851,3.312,59.1,195.0
857,3.320,59.3,197.0
860,3.320,58.3,193.0
875,3.320,59.5,197.0
893,3.312,59.9,198.0
899,3.320,59.3,197.0
902,3.316,58.4,193.0
907,3.308,59.6,198.0
913,3.316,59.8,198.0
916,3.316,58.4,193.0
931,3.316,59.9,198.0
949,3.312,58.7,195.0
955,3.316,59.0,197.0
958,3.320,58.5,193.0
972,3.316,59.6,198.0
990,3.312,59.2,197.0
996,3.320,59.7,198.0
999,3.316,59.3,197.0
1005,3.312,59.0,195.0
1011,3.316,59.4,197.0
1014,3.316,58.7,195.0
1028,3.320,59.6,198.0
1046,3.308,58.1,193.0
1052,3.320,59.5,197.0
1055,3.316,59.4,197.0
1061,3.312,59.6,198.0
1070,3.320,59.8,198.0
1087,3.312,59.1,198.0
1096,3.316,59.7,198.0
1102,3.312,58.2,193.0
1111,3.320,59.3,197.0
1137,3.316,58.9,195.0
1143,3.312,58.5,195.0
1152,3.316,59.0,195.0
1158,3.308,59.3,197.0
1164,3.316,61.0,203.0
1167,3.320,59.2,197.0
1193,3.316,58.5,193.0
1199,3.308,59.0,197.0
1208,3.316,58.8,195.0
1235,3.316,58.9,195.0
1240,3.312,59.4,197.0
1246,3.316,59.2,197.0
1249,3.316,58.3,193.0
1264,3.316,58.9,195.0
1291,3.316,59.1,197.0
1296,3.312,59.4,197.0
1305,3.320,58.4,193.0
1338,3.312,58.9,195.0
1344,3.316,58.9,195.0
1347,3.316,58.9,195.0
1361,3.320,58.9,195.0
1379,3.312,59.8,198.0
1388,3.320,59.5,197.0
