condition,n_trials,pout_1s_mean,pout_1s_std,tl_mean_s_mean,tl_mean_s_std,pdr_unique_mean,pdr_unique_std,rx_tag_share100_time_est_mean,rx_tag_share100_time_est_std,avg_power_mW_mean,avg_power_mW_std,adv_count_mean,adv_count_std
S1_fixed100,3,0.066667,0.028868,3.3142,1.536337,0.791844,0.023305,1.0,0.0,205.38,0.437,1795.0,1.732
S1_fixed500,3,0.133333,0.057735,5.289217,0.02011,0.815227,0.019565,0.0,0.0,186.01,0.378,359.0,0.0
S1_policy,3,0.133333,0.028868,5.2302,0.055303,0.796101,0.02913,0.329348,0.001934,193.246,0.152,855.0,0.0
S4_fixed100,3,0.04878,0.0,1.248179,0.0068,0.795843,0.007267,1.0,0.0,206.338,0.513,1796.0,0.0
S4_fixed500,3,0.138211,0.028164,2.80174,1.416976,0.817085,0.020151,0.0,0.0,185.88,0.326,359.0,0.0
S4_policy,3,0.05691,0.014082,1.562455,0.53568,0.806846,0.021975,0.597167,0.009774,197.956,0.765,1227.0,0.0
