session,interval_ms,real_pdr_u,sim_pdr,real_pout1s,sim_pout1s,real_tl_mean,sim_tl_mean,real_tl_p95,sim_tl_p95,real_Eadv_uJ
S1,100,0.200095,0.9,0.05,0.0,6.1111,0.10882742928696836,42.4226,0.10882742928696836,20059.0
S1,500,0.500787,0.9,0.05,0.007164939079832697,6.164233,0.3702377217810508,42.80245,0.3702377217810508,99954.6
S1,2000,0.8817035,0.9,0.8916665,0.5834009580887586,33.253275,1.3825076808201964,130.9739,1.3825076808201964,361619.75
S4,100,0.199968,0.9,0.085106,0.0,4.033489,0.10882742928696836,19.6578,0.10882742928696836,20023.9
S4,500,0.500787,0.9,0.056738,0.007164939079832697,2.033085,0.3702377217810508,8.8936,0.3702377217810508,100768.6
S4,2000,0.858491,0.9,0.673759,0.5834009580887586,16.592624,1.3825076808201964,111.53,1.3825076808201964,359182.1
