session,interval_ms,pdr_unique_mean_scan50,pdr_unique_mean_scan90,pdr_unique_mean_delta,pout_1s_mean_scan50,pout_1s_mean_scan90,pout_1s_mean_delta,tl_mean_s_mean_scan50,tl_mean_s_mean_scan90,tl_mean_s_mean_delta,tl_p95_s_mean_scan50,tl_p95_s_mean_scan90,tl_p95_s_mean_delta,E_per_adv_uJ_mean_scan50,E_per_adv_uJ_mean_scan90,E_per_adv_uJ_mean_delta,avg_power_mW_mean_scan50,avg_power_mW_mean_scan90,avg_power_mW_mean_delta
S1,500,0.500787,1.0,0.499213,0.933333,0.033333,-0.8999999999999999,98.421967,5.444783,-92.977184,239.42265,0.5127,-238.90995,99954.6,101334.7,1380.0999999999913,200.0276258067769,202.67522421772227,2.6475984109453634
S1,1000,0.500787,1.0,0.499213,0.933333,0.05,-0.8833329999999999,98.5728,6.535283,-92.03751700000001,239.41585,43.47965,-195.9362,199327.4,200939.4,1612.0,199.44990624162872,200.9551999369035,1.505293695274787
S1,2000,0.8817035,1.0,0.11829650000000003,0.8,0.383333,-0.41666700000000007,32.983946,8.416233,-24.567713000000005,130.6500125,49.6437,-81.0063125,361619.75,400149.4,38529.65000000002,180.97215732624943,200.41421114000687,19.44205381375744
S1   # old 100ms (pdr_u≈0.20),100,0.200095,0.800189,0.600094,0.9,0.0,-0.9,96.393217,0.069733,-96.32348400000001,285.925,0.20965,-285.71535,20059.0,20076.9,17.900000000001455,200.57808418591608,200.7673133513955,0.18922916547941782
S1   # retake 100ms (scan duty↑,100,0.829864,0.800189,-0.029675000000000007,0.0,0.0,0.0,0.072567,0.069733,-0.002834000000000003,0.1869,0.20965,0.022749999999999992,20205.6,20076.9,-128.6999999999971,202.0492147059148,200.7673133513955,-1.2819013545193059
S4,100,0.199968,0.814166,0.6141979999999999,0.93617,0.007092,-0.929078,88.976681,0.828007,-88.148674,272.58,0.2099,-272.3701,20023.9,20031.3,7.399999999997817,200.21496446223827,200.28257005181428,0.06760558957600438
S4,500,0.500787,1.0,0.499213,0.950355,0.028369,-0.921986,66.244553,1.348851,-64.895702,217.29,0.5288,-216.7612,100768.6,100001.5,-767.1000000000058,201.6760431982325,200.04756736119546,-1.6284758370370298
S4,1000,0.500787,1.0,0.499213,0.93617,0.06383,-0.8723399999999999,72.955823,2.422043,-70.53378,219.47,9.5882,-209.8818,198948.3,200484.1,1535.8000000000175,199.09037628418383,200.53753603089783,1.447159746713993
S4,2000,0.858491,1.0,0.141509,0.695035,0.496454,-0.19858099999999995,15.826631,9.352191,-6.474440000000001,111.732,66.3563,-45.375699999999995,359182.1,399423.9,40241.80000000005,180.36553660450772,200.08969774163523,19.72416113712751
