ms,mv,uA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2, trial_index=6
12,3280,67"00,0.2
22,3280,56#00,0.2
32,3280,69"00,0.2
42,3280,56800,1863.0
52,3280,71%00,0.2
62,3284,60#00,0.2
72,3280,56 00,0.2
82,3284,63'00,0.2
92,3280,56!00,0.2
102,3224,22%100,0.1
112,3280,56'00,0.2
122,3280,72#00,0.2
132,3280,59$00,0.2
142,3280,56!00,0.2
152,3284,62&00,0.2
162,3280,56!00,0.2
172,3280,67&00,0.2
182,3280,56$00,0.2
192,3284,69%00,0.2
202,3280,56'00,0.2
212,3280,56'00,0.2
222,3284,60$00,0.2
232,3280,56 00,0.2
242,3280,63900,2095.9
252,3280,56 00,0.2
262,3280,68800,2256.6
272,3280,56&00,0.2
282,3284,71#00,0.2
292,3280,57&00,0.2
302,3280,56"00,0.2
312,3284,61900,2032.8
322,3280,56!00,0.2
332,3280,65'00,0.2
342,3280,56!00,0.2
352,3280,68800,2256.6
362,3280,56'00,0.2
372,3280,72"00,0.2
382,3280,59%00,0.2
392,3276,56!00,0.2
402,3280,62800,2059.8
412,3280,56"00,0.2
422,3284,67800,2226.6
432,3280,56$00,0.2
442,3280,69'00,0.2
452,3280,56800,1863.0
462,3280,56&00,0.2
472,3280,60%00,0.2
482,3280,56!00,0.2
492,3280,64!00,0.2
502,3280,56!00,0.2
512,3280,68900,2259.9
522,3280,56&00,0.2
532,3280,71%00,0.2
542,3280,57900,1899.1
552,3280,56!00,0.2
562,3280,62 00,0.2
572,3280,56!00,0.2
582,3284,66 00,0.2
592,3280,56 00,0.2
602,3280,68900,2259.9
612,3280,56'00,0.2
622,3280,72!00,0.2
632,3280,59'00,0.2
642,3280,56!00,0.2
652,3280,62800,2059.8
662,3280,56!00,0.2
672,3284,67900,2229.8
682,3280,56%00,0.2
692,3280,69'00,0.2
702,3280,56'00,0.2
712,3280,56$00,0.2
722,3280,60&00,0.2
732,3280,56 00,0.2
742,3280,64#00,0.2
752,3280,56!00,0.2
762,3280,68800,2256.6
772,3280,56&00,0.2
782,3284,71&00,0.2
792,3280,58 00,0.2
802,3280,56!00,0.2
812,3280,62!00,0.2
822,3280,56!00,0.2
832,3280,66"00,0.2
842,3280,56 00,0.2
852,3280,68900,2259.9
862,3280,56'00,0.2
872,3284,72!00,0.2
882,3280,59800,1961.4
892,3280,56!00,0.2
902,3284,63 00,0.2
912,3280,56!00,0.2
922,3280,68!00,0.2
932,3280,56&00,0.2
942,3280,70 00,0.2
952,3280,56800,1863.0
962,3280,56%00,0.2
972,3284,60800,1996.7
982,3280,56!00,0.2
992,3284,64%00,0.2
1002,3280,56!00,0.2
1012,3280,68800,2256.6
1022,3280,56'00,0.2
1032,3280,71800,2355.0
1042,3280,58"00,0.2
1052,3280,56!00,0.2
1062,3280,62!00,0.2
1072,3280,56!00,0.2
1082,3280,66$00,0.2
1092,3280,56!00,0.2
1102,3284,68900,2262.7
1112,3280,56'00,0.2
1122,3280,72 00,0.2
1132,3280,60 00,0.2
1142,3284,56!00,0.2
1152,3284,63100,2072.2
1162,3280,56!00,0.2
1172,3280,68$00,0.2
1182,3280,56&00,0.2
1192,3280,70"00,0.2
1202,3280,56900,1866.3
1212,3276,56$00,0.2
1222,3280,61 00,0.2
1232,3280,56!00,0.2
1242,3280,64&00,0.2
1252,3280,56!00,0.2
1262,3280,68900,2259.9
1272,3280,56'00,0.2
1282,3280,71900,2358.3
1292,3284,58$00,0.2
1302,3280,56!00,0.2
1312,3280,62#00,0.2
1322,3280,56!00,0.2
1332,3280,66&00,0.2
1342,3280,56!00,0.2
1352,3284,69 00,0.2
1362,3280,56800,1863.0
1372,3280,71900,2358.3
1382,3280,60!00,0.2
1392,3280,56!00,0.2
1402,3280,63#00,0.2
1412,3280,56!00,0.2
1422,3284,68&00,0.2
1432,3280,56&00,0.2
1442,3280,70#00,0.2
1452,3280,57 00,0.2
1462,3280,56#00,0.2
1472,3280,61!00,0.2
1482,3280,56!00,0.2
1492,3284,64900,2131.3
1502,3280,56!00,0.2
1512,3280,68900,2259.9
1522,3280,56'00,0.2
1532,3280,72 00,0.2
1542,3280,58&00,0.2
1552,3280,56!00,0.2
1562,3284,62#00,0.2
1572,3280,56!00,0.2
1582,3280,66'00,0.2
1592,3280,56"00,0.2
1602,3280,69 00,0.2
1612,3280,56800,1863.0
1622,3280,71'00,0.2
1632,3284,60"00,0.2
1642,3280,56!00,0.2
1652,3284,63%00,0.2
1662,3280,56!00,0.2
1672,3272,68900,2254.4
1682,3280,56&00,0.2
1692,3284,70800,2325.1
1702,3280,57#00,0.2
1712,3280,56"00,0.2
1722,3280,61%00,0.2
1732,3280,56!00,0.2
1742,3280,65#00,0.2
1752,3280,56!00,0.2
1762,3280,68800,2256.6
1772,3280,56'00,0.2
1782,3280,72"00,0.2
1792,3280,59 00,0.2
1802,3280,56!00,0.2
1812,3280,62$00,0.2
1822,3280,56!00,0.2
1832,3284,67"00,0.2
1842,3280,56#00,0.2
1852,3280,69"00,0.2
1862,3280,56'00,0.2
1872,3280,71&00,0.2
1882,3284,60"00,0.2
1892,3280,56 00,0.2
1902,3284,63'00,0.2
1912,3280,56 00,0.2
1922,3280,68900,2259.9
1932,3280,56&00,0.2
1942,3280,71 00,0.2
1952,3284,57$00,0.2
1962,3276,56!00,0.2
1972,3280,61'00,0.2
1982,3280,56!00,0.2
1992,3284,65$00,0.2
2002,3280,56!00,0.2
2012,3284,68800,2259.4
2022,3280,56'00,0.2
2032,3280,72"00,0.2
2042,3284,59"00,0.2
2052,3276,56!00,0.2
2062,3280,62%00,0.2
2072,3280,56!00,0.2
2082,3280,67%00,0.2
2092,3280,56$00,0.2
2102,3220,15%000,0.0
2112,3280,57'00,0.2
2122,3276,56"00,0.2
2132,3280,61900,2030.3
2142,3280,56!00,0.2
2152,3280,65800,2158.2
2162,3280,56!00,0.2
2172,3280,68900,2259.9
2182,3280,56800,1863.0
2192,3280,72"00,0.2
2202,3280,59%00,0.2
2212,3280,56"00,0.2
2222,3280,62'00,0.2
2232,3280,56!00,0.2
2242,3280,67800,2223.8
2252,3280,56$00,0.2
2262,3280,69'00,0.2
2272,3280,56'00,0.2
2282,3280,56&00,0.2
2292,3280,60%00,0.2
2302,3280,56!00,0.2
2312,3280,64!00,0.2
2322,3280,56!00,0.2
2332,3280,68800,2256.6
2342,3280,56'00,0.2
2352,3280,71%00,0.2
2362,3280,57800,1895.8
2372,3280,56"00,0.2
2382,3284,62 00,0.2
2392,3280,56!00,0.2
2402,3280,66 00,0.2
2412,3280,56!00,0.2
2422,3280,68900,2259.9
2432,3280,56'00,0.2
2442,3280,72!00,0.2
2452,3284,59'00,0.2
2462,3280,56!00,0.2
2472,3280,62800,2059.8
2482,3280,55900,1833.5
2492,3284,68 00,0.2
2502,3280,56$00,0.2
2512,3280,69800,2289.4
2522,3280,56'00,0.2
2532,3280,56%00,0.2
2542,3280,60'00,0.2
2552,3280,56 00,0.2
2562,3284,64#00,0.2
2572,3280,56!00,0.2
2582,3280,68800,2256.6
2592,3280,56'00,0.2
2602,3280,71'00,0.2
2612,3280,58 00,0.2
2622,3280,56!00,0.2
2632,3284,62!00,0.2
2642,3280,56!00,0.2
2652,3284,66!00,0.2
2662,3280,56"00,0.2
2672,3284,68900,2262.7
2682,3280,56800,1863.0
2692,3280,72"00,0.2
2702,3284,59900,1967.1
2712,3280,56!00,0.2
2722,3280,62900,2063.1
2732,3280,56!00,0.2
2742,3280,68"00,0.2
2752,3280,56%00,0.2
2762,3280,70 00,0.2
2772,3280,56800,1863.0
2782,3280,56$00,0.2
2792,3280,60800,1994.2
2802,3280,56!00,0.2
2812,3284,64%00,0.2
2822,3280,56!00,0.2
2832,3280,68900,2259.9
2842,3280,56'00,0.2
2852,3280,71800,2355.0
2862,3280,58"00,0.2
2872,3280,56!00,0.2
2882,3284,62"00,0.2
2892,3280,56!00,0.2
2902,3280,66#00,0.2
2912,3280,56!00,0.2
2922,3280,68900,2259.9
2932,3280,56'00,0.2
2942,3280,72 00,0.2
2952,3280,60 00,0.2
2962,3280,56"00,0.2
2972,3280,63!00,0.2
2982,3280,56!00,0.2
2992,3284,68#00,0.2
3002,3280,56&00,0.2
3012,3280,70"00,0.2
3022,3280,56900,1866.3
3032,3280,56$00,0.2
3042,3280,61 00,0.2
3052,3280,56100,1840.1
3062,3284,64'00,0.2
3072,3280,56!00,0.2
3082,3280,68800,2256.6
3092,3280,56'00,0.2
3102,3280,72 00,0.2
3112,3280,58$00,0.2
3122,3276,56!00,0.2
3132,3280,62#00,0.2
3142,3280,56!00,0.2
3152,3284,66%00,0.2
3162,3280,56!00,0.2
3172,3280,68900,2259.9
3182,3280,56'00,0.2
3192,3280,71900,2358.3
3202,3284,60!00,0.2
3212,3280,56!00,0.2
3222,3280,63"00,0.2
3232,3280,56!00,0.2
3242,3280,68&00,0.2
3252,3280,56&00,0.2
3262,3280,70#00,0.2
3272,3280,57 00,0.2
3282,3280,56#00,0.2
3292,3280,61"00,0.2
3302,3280,56 00,0.2
3312,3280,64900,2128.7
3322,3280,56!00,0.2
3332,3280,68900,2259.9
3342,3280,56'00,0.2
3352,3280,72 00,0.2
3362,3280,58'00,0.2
3372,3280,56!00,0.2
3382,3284,62#00,0.2
3392,3280,56 00,0.2
3402,3280,66800,2191.0
3412,3280,56!00,0.2
3422,3280,69 00,0.2
3432,3280,56800,1863.0
3442,3280,71'00,0.2
3452,3280,60"00,0.2
