ms,event,rssi,addr,mfd
# meta, firmware=RX_BLE_to_SD_SYNC_B, trial_index=9
117,ADV,-42,e0:5a:1b:15:c4:ca,MF0000
2126,ADV,-48,e0:5a:1b:15:c4:ca,MF0000
4137,ADV,-48,e0:5a:1b:15:c4:ca,MF0000
6137,ADV,-42,e0:5a:1b:15:c4:ca,MF0000
8146,ADV,-48,e0:5a:1b:15:c4:ca,MF0000
14173,ADV,-48,e0:5a:1b:15:c4:ca,MF0003
16172,ADV,-42,e0:5a:1b:15:c4:ca,MF0004
18175,ADV,-48,e0:5a:1b:15:c4:ca,MF0005
20183,ADV,-48,e0:5a:1b:15:c4:ca,MF0006
22188,ADV,-42,e0:5a:1b:15:c4:ca,MF0007
24201,ADV,-47,e0:5a:1b:15:c4:ca,MF0008
26201,ADV,-48,e0:5a:1b:15:c4:ca,MF0009
28207,ADV,-47,e0:5a:1b:15:c4:ca,MF000A
30216,ADV,-48,e0:5a:1b:15:c4:ca,MF000B
32214,ADV,-42,e0:5a:1b:15:c4:ca,MF000C
34223,ADV,-48,e0:5a:1b:15:c4:ca,MF000D
36224,ADV,-48,e0:5a:1b:15:c4:ca,MF000E
38229,ADV,-42,e0:5a:1b:15:c4:ca,MF000F
40251,ADV,-47,e0:5a:1b:15:c4:ca,MF0010
42246,ADV,-48,e0:5a:1b:15:c4:ca,MF0011
46261,ADV,-48,e0:5a:1b:15:c4:ca,MF0013
48265,ADV,-42,e0:5a:1b:15:c4:ca,MF0014
50263,ADV,-48,e0:5a:1b:15:c4:ca,MF0015
52267,ADV,-48,e0:5a:1b:15:c4:ca,MF0016
54265,ADV,-42,e0:5a:1b:15:c4:ca,MF0017
56290,ADV,-48,e0:5a:1b:15:c4:ca,MF0018
58276,ADV,-48,e0:5a:1b:15:c4:ca,MF0019
60289,ADV,-42,e0:5a:1b:15:c4:ca,MF001A
62290,ADV,-48,e0:5a:1b:15:c4:ca,MF001B
64301,ADV,-48,e0:5a:1b:15:c4:ca,MF001C
66294,ADV,-42,e0:5a:1b:15:c4:ca,MF001D
68297,ADV,-47,e0:5a:1b:15:c4:ca,MF001E
72308,ADV,-47,e0:5a:1b:15:c4:ca,MF0020
74319,ADV,-48,e0:5a:1b:15:c4:ca,MF0021
76323,ADV,-41,e0:5a:1b:15:c4:ca,MF0022
78333,ADV,-48,e0:5a:1b:15:c4:ca,MF0023
