ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D2B_SCAN90, cond_id=7, tag=unk, subject=uccs_d2_scan90_d2b
2491,3216,55200,177.5
2501,3216,54700,175.9
2511,3220,56000,180.3
2521,3216,54500,175.3
2531,3216,92800,298.4
2541,3216,54500,175.3
2551,3220,56000,180.3
2561,3216,54500,175.3
2571,3220,56100,180.6
2581,3216,54500,175.3
2591,3220,56100,180.6
2601,3216,54500,175.3
2611,3220,55600,179.0
2621,3220,55100,177.4
2631,3220,55500,178.7
2641,3088,133600,412.6
2651,3216,55100,177.2
2661,3220,55700,179.4
2671,3220,54500,175.5
2681,3220,56000,180.3
2691,3216,54600,175.6
2701,3220,56100,180.6
2711,3220,54600,175.8
2721,3220,56100,180.6
2731,3216,54500,175.3
2741,3092,203500,629.2
2751,3216,54700,175.9
2761,3220,56000,180.3
2771,3220,54900,176.8
2781,3220,55500,178.7
2791,3216,55100,177.2
2801,3220,55500,178.7
2811,3216,55200,177.5
2821,3220,54600,175.8
2831,3220,56000,180.3
2841,2976,134600,400.6
2851,3220,56100,180.6
2861,3216,54600,175.6
2871,3220,56100,180.6
2881,3216,54600,175.6
2891,3220,56100,180.6
2901,3216,54500,175.3
2911,3220,56100,180.6
2921,3216,54500,175.3
2931,3220,55600,179.0
2941,3216,55100,177.2
2951,3084,180700,557.3
2961,3216,55100,177.2
2971,3220,54900,176.8
2981,3220,55800,179.7
2991,3216,54600,175.6
3001,3220,56100,180.6
3011,3216,54600,175.6
3021,3220,56100,180.6
3031,3216,54500,175.3
3041,3220,56000,180.3
3051,2980,173600,517.3
3061,3220,56200,181.0
3071,3216,54800,176.2
3081,3220,55800,179.7
3091,3216,65400,210.3
3101,3220,55500,178.7
3111,3216,55200,177.5
3121,3220,55500,178.7
3131,3216,55200,177.5
3141,3216,54600,175.6
3151,3092,137900,426.4
3161,3216,54600,175.6
3171,3220,56100,180.6
3181,3216,54500,175.3
3191,3096,107200,331.9
3201,3216,54600,175.6
