scenario_id,env_id,prior_env_id,actions,tau_s,epsilon,rep,method,reward_mode,cost_unit,avg_cost,violation_rate,violations_first_100,regret_vs_oracle
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,8,fixed_ccs,per_60s,mJ_per_60s,1095.0600066731656,0.113,10.0,-422873.49171763286
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,8,oracle,per_60s,mJ_per_60s,1517.9334983907984,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,9,safe_ucb,per_60s,mJ_per_60s,1508.9234767181106,0.002,2.0,-517.3479772435967
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,9,ucb,per_60s,mJ_per_60s,1074.3619612784055,0.574,61.0,-435078.8634169486
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,9,fixed_ccs,per_60s,mJ_per_60s,1090.0686654165224,0.11,16.0,-419372.1592788317
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,9,oracle,per_60s,mJ_per_60s,1509.4408246953542,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,10,safe_ucb,per_60s,mJ_per_60s,1518.3609155765148,0.002,2.0,-420.3266530614346
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,10,ucb,per_60s,mJ_per_60s,1076.4973002187644,0.542,52.0,-442283.94201081176
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,10,fixed_ccs,per_60s,mJ_per_60s,1095.5582453844734,0.108,12.0,-423222.99684510287
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,10,oracle,per_60s,mJ_per_60s,1518.7812422295763,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,11,safe_ucb,per_60s,mJ_per_60s,1500.6852019090197,0.001,1.0,-985.1962476978078
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,11,ucb,per_60s,mJ_per_60s,1072.2237954232678,0.544,49.0,-429446.60273344954
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,11,fixed_ccs,per_60s,mJ_per_60s,1085.5018055612095,0.117,13.0,-416168.59259550786
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,11,oracle,per_60s,mJ_per_60s,1501.6703981567175,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,12,safe_ucb,per_60s,mJ_per_60s,1520.9160887819155,0.001,1.0,-1144.6522507825866
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,12,ucb,per_60s,mJ_per_60s,1077.7710483647909,0.552,58.0,-444289.69266790734
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,12,fixed_ccs,per_60s,mJ_per_60s,1097.4856828752008,0.094,10.0,-424575.0581574973
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,12,oracle,per_60s,mJ_per_60s,1522.0607410326982,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,13,safe_ucb,per_60s,mJ_per_60s,1520.7704818124978,0.001,1.0,-857.8839393963572
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,13,ucb,per_60s,mJ_per_60s,1077.626681520236,0.556,56.0,-444001.68423165823
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,13,fixed_ccs,per_60s,mJ_per_60s,1097.2315658968716,0.128,12.0,-424396.79985502246
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,13,oracle,per_60s,mJ_per_60s,1521.628365751894,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,14,safe_ucb,per_60s,mJ_per_60s,1520.4792521378497,0.002,2.0,-1143.7303300085478
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,14,ucb,per_60s,mJ_per_60s,1097.4701307126459,0.097,10.0,-424152.8517552125
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,14,fixed_ccs,per_60s,mJ_per_60s,1097.2284020160168,0.096,9.0,-424394.58045184147
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,14,oracle,per_60s,mJ_per_60s,1521.6229824678583,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,15,safe_ucb,per_60s,mJ_per_60s,1503.7526274536037,0.0,0.0,-848.6589529493358
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,15,ucb,per_60s,mJ_per_60s,1072.842845692441,0.55,51.0,-431758.44071411225
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,15,fixed_ccs,per_60s,mJ_per_60s,1087.2243565462848,0.115,12.0,-417376.92986026825
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,15,oracle,per_60s,mJ_per_60s,1504.601286406553,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,16,safe_ucb,per_60s,mJ_per_60s,1507.5883746554848,0.001,1.0,-1049.9912581308745
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,16,ucb,per_60s,mJ_per_60s,1074.011625898151,0.544,55.0,-434626.74001546483
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,16,fixed_ccs,per_60s,mJ_per_60s,1089.597041783299,0.118,12.0,-419041.32413031696
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,16,oracle,per_60s,mJ_per_60s,1508.6383659136159,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,17,safe_ucb,per_60s,mJ_per_60s,1499.823078863475,0.001,1.0,-747.6730357098859
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,17,ucb,per_60s,mJ_per_60s,1085.3040329657933,0.122,13.0,-415266.7189333916
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,17,fixed_ccs,per_60s,mJ_per_60s,1084.8555179573584,0.122,13.0,-415715.2339418265
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,17,oracle,per_60s,mJ_per_60s,1500.5707518991849,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,18,safe_ucb,per_60s,mJ_per_60s,1505.0155548096498,0.0,0.0,-1118.6123399380594
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,18,ucb,per_60s,mJ_per_60s,1073.1449313281396,0.545,52.0,-432989.23582144827
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,18,fixed_ccs,per_60s,mJ_per_60s,1088.1252661029919,0.106,13.0,-418008.901046596
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,18,oracle,per_60s,mJ_per_60s,1506.1341671495877,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,19,safe_ucb,per_60s,mJ_per_60s,1516.481748956497,0.001,1.0,-838.0119830679614
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,19,ucb,per_60s,mJ_per_60s,1076.8940640646333,0.553,55.0,-440425.6968749317
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,19,fixed_ccs,per_60s,mJ_per_60s,1094.6992989418964,0.107,12.0,-422620.4619976687
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,19,oracle,per_60s,mJ_per_60s,1517.319760939565,0.0,0.0,0.0
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,20,safe_ucb,per_60s,mJ_per_60s,1513.2824923651974,0.0,0.0,-783.7536315219477
E2_actions_500_1000_2000_cold,E2_fixed_v01,,"500,1000,2000",1.0,0.1,20,ucb,per_60s,mJ_per_60s,1075.61844883407,0.55,56.0,-438447.79716264945
