ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_UCCS_D2_SCAN90, buf_size=512
# condition_label=F1-09-100
72784,ADV,-22,733,F1-10-100,e0:5a:1b:15:c4:ca,733_F1-10-100
72889,ADV,-22,734,F1-10-100,e0:5a:1b:15:c4:ca,734_F1-10-100
73099,ADV,-28,736,F1-10-100,e0:5a:1b:15:c4:ca,736_F1-10-100
73202,ADV,-28,737,F1-10-100,e0:5a:1b:15:c4:ca,737_F1-10-100
73300,ADV,-22,738,F1-10-100,e0:5a:1b:15:c4:ca,738_F1-10-100
73409,ADV,-22,739,F1-10-100,e0:5a:1b:15:c4:ca,739_F1-10-100
73623,ADV,-28,741,F1-10-100,e0:5a:1b:15:c4:ca,741_F1-10-100
73723,ADV,-22,742,F1-10-100,e0:5a:1b:15:c4:ca,742_F1-10-100
73933,ADV,-22,744,F1-10-100,e0:5a:1b:15:c4:ca,744_F1-10-100
74038,ADV,-28,745,F1-10-100,e0:5a:1b:15:c4:ca,745_F1-10-100
74151,ADV,-28,746,F1-10-100,e0:5a:1b:15:c4:ca,746_F1-10-100
74244,ADV,-22,747,F1-10-100,e0:5a:1b:15:c4:ca,747_F1-10-100
74349,ADV,-22,748,F1-10-100,e0:5a:1b:15:c4:ca,748_F1-10-100
74453,ADV,-22,749,F1-10-100,e0:5a:1b:15:c4:ca,749_F1-10-100
74565,ADV,-27,750,F1-10-100,e0:5a:1b:15:c4:ca,750_F1-10-100
74671,ADV,-22,751,F1-10-100,e0:5a:1b:15:c4:ca,751_F1-10-100
74786,ADV,-22,752,F1-10-100,e0:5a:1b:15:c4:ca,752_F1-10-100
74883,ADV,-22,753,F1-10-100,e0:5a:1b:15:c4:ca,753_F1-10-100
74997,ADV,-28,754,F1-10-100,e0:5a:1b:15:c4:ca,754_F1-10-100
75096,ADV,-28,755,F1-10-100,e0:5a:1b:15:c4:ca,755_F1-10-100
75202,ADV,-22,757,F1-10-100,e0:5a:1b:15:c4:ca,757_F1-10-100
75512,ADV,-27,760,F1-10-100,e0:5a:1b:15:c4:ca,760_F1-10-100
75830,ADV,-22,763,F1-10-100,e0:5a:1b:15:c4:ca,763_F1-10-100
76040,ADV,-27,765,F1-02-100,e0:5a:1b:15:c4:ca,765_F1-02-100
76147,ADV,-22,766,F1-02-100,e0:5a:1b:15:c4:ca,766_F1-02-100
76249,ADV,-22,767,F1-02-100,e0:5a:1b:15:c4:ca,767_F1-02-100
76461,ADV,-27,769,F1-02-100,e0:5a:1b:15:c4:ca,769_F1-02-100
76569,ADV,-28,770,F1-02-100,e0:5a:1b:15:c4:ca,770_F1-02-100
76671,ADV,-22,771,F1-02-100,e0:5a:1b:15:c4:ca,771_F1-02-100
76879,ADV,-22,773,F1-02-100,e0:5a:1b:15:c4:ca,773_F1-02-100
76987,ADV,-28,774,F1-02-100,e0:5a:1b:15:c4:ca,774_F1-02-100
77084,ADV,-22,775,F1-02-100,e0:5a:1b:15:c4:ca,775_F1-02-100
77191,ADV,-22,776,F1-02-100,e0:5a:1b:15:c4:ca,776_F1-02-100
77302,ADV,-22,777,F1-02-100,e0:5a:1b:15:c4:ca,777_F1-02-100
77407,ADV,-28,778,F1-02-100,e0:5a:1b:15:c4:ca,778_F1-02-100
77514,ADV,-28,779,F1-02-100,e0:5a:1b:15:c4:ca,779_F1-02-100
77618,ADV,-22,781,F1-02-100,e0:5a:1b:15:c4:ca,781_F1-02-100
77733,ADV,-22,782,F1-02-100,e0:5a:1b:15:c4:ca,782_F1-02-100
77834,ADV,-22,783,F1-02-100,e0:5a:1b:15:c4:ca,783_F1-02-100
77939,ADV,-27,784,F1-02-100,e0:5a:1b:15:c4:ca,784_F1-02-100
78049,ADV,-22,785,F1-02-100,e0:5a:1b:15:c4:ca,785_F1-02-100
78250,ADV,-22,787,F1-02-100,e0:5a:1b:15:c4:ca,787_F1-02-100
78362,ADV,-28,788,F1-02-100,e0:5a:1b:15:c4:ca,788_F1-02-100
78461,ADV,-28,789,F1-02-100,e0:5a:1b:15:c4:ca,789_F1-02-100
78564,ADV,-22,790,F1-02-100,e0:5a:1b:15:c4:ca,790_F1-02-100
