trial,gap_p95_s,gap_max_s,n
rx_trial_016.csv,0.1,0.1,2
rx_trial_017.csv,0.217,0.533,5079
rx_trial_018.csv,0.215,0.518,5219
rx_trial_019.csv,0.215,0.528,5262
rx_trial_020.csv,0.216,0.728,5235
rx_trial_021.csv,0.215,0.507,5234
rx_trial_022.csv,0.217,0.636,5105
rx_trial_023.csv,0.216,0.425,5159
rx_trial_024.csv,0.216,0.537,5197
rx_trial_025.csv,4.015,6.032,273
rx_trial_030.csv,4.012,6.019,278
rx_trial_031.csv,4.015,6.029,281
rx_trial_040.csv,0.217,0.531,5263
