session,interval_ms,n,pdr_raw_mean,pdr_raw_median,pdr_raw_std,pdr_unique_mean,pdr_unique_median,pdr_unique_std,pout_1s_mean,pout_1s_median,pout_1s_std,pout_2s_mean,pout_2s_median,pout_2s_std,pout_3s_mean,pout_3s_median,pout_3s_std,tl_mean_s_mean,tl_mean_s_median,tl_mean_s_std,tl_p95_s_mean,tl_p95_s_median,tl_p95_s_std,E_per_adv_uJ_mean,E_per_adv_uJ_median,E_per_adv_uJ_std,avg_power_mW_mean,avg_power_mW_median,avg_power_mW_std,tl_clamp_high_rate_mean,tl_clamp_high_rate_median,tl_clamp_high_rate_std,rx_dup_factor_mean,rx_dup_factor_median,rx_dup_factor_std,tl_time_offset_ms_mean,tl_time_offset_ms_median,tl_time_offset_ms_std
S1,500,1,1.0,1.0,0.0,0.500787,0.500787,0.0,0.933333,0.933333,0.0,0.916667,0.916667,0.0,0.916667,0.916667,0.0,98.421967,98.421967,0.0,239.42265,239.42265,0.0,99954.6,99954.6,0.0,200.0276258067769,200.0276258067769,0.0,0.0,0.0,0.0,8.273585,8.273585,0.0,-158318.0,-158318.0,0.0
S1,1000,1,1.0,1.0,0.0,0.500787,0.500787,0.0,0.933333,0.933333,0.0,0.916667,0.916667,0.0,0.9,0.9,0.0,98.5728,98.5728,0.0,239.41585,239.41585,0.0,199327.4,199327.4,0.0,199.44990624162872,199.44990624162872,0.0,0.0,0.0,0.0,16.462264,16.462264,0.0,-158415.0,-158415.0,0.0
S1,2000,2,0.8817035,0.8817035,0.006691351470368299,0.8817035,0.8817035,0.006691351470368299,0.8,0.8,0.23570273180003665,0.5750000000000001,0.5750000000000001,0.5539007833339831,0.525,0.525,0.5539007833339831,32.983946,32.983946,29.29408478482016,130.6500125,130.6500125,58.18815289956207,361619.75,361619.75,162.8466917072948,180.97215732624943,180.97215732624943,0.08535927414896696,0.0,0.0,0.0,1.0,1.0,0.0,-332.5,-332.5,16.97056274847714
S1   # old 100ms (pdr_u≈0.20),100,1,0.822278,0.822278,0.0,0.200095,0.200095,0.0,0.9,0.9,0.0,0.9,0.9,0.0,0.9,0.9,0.0,96.393217,96.393217,0.0,285.925,285.925,0.0,20059.0,20059.0,0.0,200.57808418591608,200.57808418591608,0.0,0.0,0.0,0.0,4.109449,4.109449,0.0,-253543.0,-253543.0,0.0
S1   # retake 100ms (scan duty↑,100,1,0.829864,0.829864,0.0,0.829864,0.829864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072567,0.072567,0.0,0.1869,0.1869,0.0,20205.6,20205.6,0.0,202.0492147059148,202.0492147059148,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1047.0,1047.0,0.0
S4,100,1,0.804444,0.804444,0.0,0.199968,0.199968,0.0,0.93617,0.93617,0.0,0.929078,0.929078,0.0,0.907801,0.907801,0.0,88.976681,88.976681,0.0,272.58,272.58,0.0,20023.9,20023.9,0.0,200.21496446223827,200.21496446223827,0.0,0.0,0.0,0.0,4.022853,4.022853,0.0,-253766.0,-253766.0,0.0
S4,500,1,1.0,1.0,0.0,0.500787,0.500787,0.0,0.950355,0.950355,0.0,0.929078,0.929078,0.0,0.921986,0.921986,0.0,66.244553,66.244553,0.0,217.29,217.29,0.0,100768.6,100768.6,0.0,201.6760431982325,201.6760431982325,0.0,0.0,0.0,0.0,8.111635,8.111635,0.0,-158251.0,-158251.0,0.0
S4,1000,1,1.0,1.0,0.0,0.500787,0.500787,0.0,0.93617,0.93617,0.0,0.914894,0.914894,0.0,0.914894,0.914894,0.0,72.955823,72.955823,0.0,219.47,219.47,0.0,198948.3,198948.3,0.0,199.09037628418383,199.09037628418383,0.0,0.0,0.0,0.0,16.342767,16.342767,0.0,-158330.0,-158330.0,0.0
S4,2000,1,0.858491,0.858491,0.0,0.858491,0.858491,0.0,0.695035,0.695035,0.0,0.375887,0.375887,0.0,0.312057,0.312057,0.0,15.826631,15.826631,0.0,111.732,111.732,0.0,359182.1,359182.1,0.0,180.36553660450772,180.36553660450772,0.0,0.0,0.0,0.0,1.0,1.0,0.0,202.0,202.0,0.0
