condition,n_trials,hit_rate,pre_hit_rate,cover_ratio,lag_median_s,lag_p90_s
policy(U+CCS),3,0.926829268292683,0.5609756097560976,0.6248548199767713,0.0,0.9
u_only(CCS-off),3,0.9024390243902439,0.5772357723577236,0.6186604723190089,0.0,0.9
