condition,n_trials,share100_time,mean_CCS_change_all,mean_CCS_change_when100,top10pct_CCS_change_covered_by100,top10pct_U_covered_by100
policy(U+CCS),3,0.6396296296296297,0.4340228661111111,0.5583031087720113,0.5537037037037037,0.5796296296296296
u_only(CCS-off),3,0.6257407407407408,0.4340228661111111,0.5624959978401584,0.5537037037037037,0.5685185185185185
