mode,pdr,acc,tl_mean,pout_1.0s,pout_2.0s,pout_3.0s
FIXED_100,0.95,0.9993702770780857,0.10427972739738327,0.0,0.0,0.0
FIXED_100,0.9,0.9983469773299749,0.10882742928696836,0.0,0.0,0.0
FIXED_500,0.95,0.9684089000839631,0.32838247716729213,0.0,0.0,0.0
FIXED_500,0.9,0.9631349706129303,0.3702377217810508,0.007164939079832697,0.0,0.0
FIXED_2000,0.95,0.8601227959697733,1.214039387785854,0.5519273966516783,0.04989292602441422,0.03499749513388525
FIXED_2000,0.9,0.8481842989084803,1.3825076808201964,0.5834009580887586,0.12342928282153016,0.08528524618187872
CCS_causal,0.95,0.9152497900923594,0.6890952779492147,0.29948065771610727,0.00348711510966977,0.0
CCS_causal,0.9,0.9130982367758187,0.7065778269829588,0.2995890353614828,0.011968579616504256,0.0012919896640826874
