scenario_id,method,env_id,prior_env_id,filter_env_id,switch_env_id,switch_at,after_switch_k,actions,actions_used,tau_s,epsilon,reward_mode,cost_unit,constraint_ci,constraint_delta,init_strategy,filter_margin,filter_prior_weight,filter_reset_on_switch,avg_cost_mean,avg_cost_std,violation_rate_mean,violation_rate_std,violations_first_100_mean,violations_first_100_std,violations_last_100_mean,violations_last_100_std,violations_after_switch_mean,violations_after_switch_std,violations_first_after_switch_k_mean,violations_first_after_switch_k_std,safe_set_empty_rate_mean,safe_set_empty_rate_std,safe_set_size_mean_mean,safe_set_size_mean_std,distinct_actions_pulled_mean,distinct_actions_pulled_std,pull_100_mean,pull_1000_mean,pull_2000_mean,pull_500_mean,regret_vs_oracle_mean,regret_vs_oracle_std,n_reps
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.2_m0.02_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.02,0.2,1,1223.8273045591613,127.00025843053345,0.05713,0.018116154407187262,5.56,2.166410241236256,2.69,4.554263182043077,29.74,15.2253244645395,5.2,2.238325492438714,1e-05,0.0001,1.6721700000000002,0.3027001067830414,2.0,0.0,0.0,690.96,0.0,309.04,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.2_m0.03_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.03,0.2,0,1246.0940550929035,176.15406225053775,0.056139999999999995,0.0259190737457646,5.26,2.072523470398716,3.71,4.759456296933951,30.65,22.145239130829363,3.79,3.0361292475915453,3e-05,0.00022270150335361368,1.59916,0.43009897193153757,2.0,0.0,0.0,637.97,0.0,362.03,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.2_m0.03_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.03,0.2,1,1297.9248477096626,131.5219136825951,0.043230000000000005,0.015531561220282849,5.26,2.072523470398716,0.67,2.108448613449129,17.74,12.110284468128317,4.78,2.134753315297043,3e-05,0.00022270150335361368,1.49614,0.31690673579449075,2.0,0.0,0.0,514.95,0.0,485.05,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.2_m0_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,0.2,0,1140.0838803065242,131.31080290169592,0.07712,0.02280540428596838,5.66,2.2572889791414696,9.6,4.6122366887148445,49.14,18.66884186460576,5.06,2.639329575111946,0.0,0.0,1.85077,0.35703557401344627,2.0,0.0,0.0,889.55,0.0,110.45,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.2_m0_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,0.2,1,1143.3242488764447,119.85605623783195,0.07639,0.019036326251977227,5.66,2.2572889791414696,8.53,5.036142102118173,48.41,15.63994820317445,5.38,2.1685539565863383,0.0,0.0,1.8629499999999999,0.2937765375934641,2.0,0.0,0.0,881.73,0.0,118.27,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.5_m0.01_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,0.5,0,1140.7095468289212,130.91735238468974,0.07681,0.022394847441302025,5.67,2.1883760871911155,9.35,4.56241784207196,48.87,18.48321925259217,5.11,2.6472589215979228,0.0,0.0,1.8493000000000002,0.35569745116837254,2.0,0.0,0.0,888.08,0.0,111.92,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.5_m0.01_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.01,0.5,1,1140.5324404596158,119.10686102738663,0.07682,0.018877799477993007,5.67,2.1883760871911155,8.73,4.802892646913709,48.88,15.714163976965157,5.38,2.2553191894861904,0.0,0.0,1.86965,0.2924697126683084,2.0,0.0,0.0,888.43,0.0,111.57,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.5_m0.02_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.02,0.5,0,1164.412719044245,148.45839182232194,0.07184,0.023760046253738603,5.56,2.166410241236256,7.78,5.139626209731363,44.45,20.118525057892555,4.82,2.764785779050594,0.0,0.0,1.79333,0.38580329564337956,2.0,0.0,0.0,832.11,0.0,167.89,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.5_m0.02_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.02,0.5,1,1182.0132542785855,138.9112560058165,0.06722,0.020226285528060422,5.56,2.166410241236256,5.37,5.2525222416463775,39.83,17.224046498363204,5.06,2.4610911598251897,0.0,0.0,1.7712299999999999,0.33155823886245955,2.0,0.0,0.0,790.01,0.0,209.99,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.5_m0.03_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.03,0.5,0,1226.1072830215517,166.96631814873916,0.05926,0.024446445280831463,5.35,2.0269646910062,4.06,4.82171016226493,33.13,21.371960768041546,4.1,2.983117479917594,1e-05,0.0001,1.6463999999999999,0.4141496094286448,2.0,0.0,0.0,685.19,0.0,314.81,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.5_m0.03_r1,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.03,0.5,1,1256.593575083144,142.90745162243908,0.052110000000000004,0.018737902494649447,5.35,2.0269646910062,1.59,3.4233157770049356,25.98,15.488659911644577,4.66,2.4171942997674565,4e-05,0.00019694638556693237,1.5780500000000002,0.35542662869267183,2.0,0.0,0.0,612.74,0.0,387.26,,,100
E1_to_E2_actions_500_1000_2000_switch_mid,filter_ucb_online_w0.5_m0_r0,E1_scan90_stress_v5,,E1_scan90_stress_v5,E2_fixed_v01,500,50,"500,1000,2000","500,1000,2000",1.0,0.1,per_60s,mJ_per_60s,wilson,0.05,safe_seed,0.0,0.5,0,1131.6035172290844,119.52772994552542,0.07854,0.021093548250063987,5.74,2.2456242523691006,9.82,4.441266540621998,50.3,17.340616185619524,5.19,2.5532510470165106,0.0,0.0,1.8707900000000002,0.33595130404103013,2.0,0.0,0.0,909.57,0.0,90.43,,,100
