ms,mV,µA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2, trial_index=5, adv_interval_ms=100
2500,3228,060600,195.6
2510,3252,056300,183.1
2520,3252,059700,194.1
2530,3252,055700,181.1
2540,3172,150900,478.7
2550,3252,055700,181.1
2560,3256,067100,218.5
2570,3256,056400,183.6
2580,3252,070500,229.3
2590,3252,057000,185.4
2600,3252,133200,433.2
2610,3252,060800,197.7
2620,3252,055700,181.1
2630,3256,064100,208.7
2640,3252,055600,180.8
2650,3164,205100,648.9
2660,3256,056300,183.3
2670,3252,070900,230.6
2680,3256,058100,189.2
2690,3248,055700,180.9
2700,3228,062300,201.1
2710,3252,055700,181.1
2720,3252,065500,213.0
2730,3252,055600,180.8
2740,3252,067000,217.9
2750,3172,213300,676.6
2760,3252,056700,184.4
2770,3252,059100,192.2
2780,3252,055700,181.1
2790,3256,061900,201.5
2800,3244,078500,254.7
2810,3256,066800,217.5
2820,3252,055800,181.5
2830,3252,068100,221.5
2840,3252,056300,183.1
2850,3168,143600,454.9
2860,3256,059700,194.4
2870,3252,055700,181.1
2880,3252,062800,204.2
2890,3252,055700,181.1
2900,3240,082800,268.3
2910,3252,056200,182.8
2920,3256,069600,226.6
2930,3252,056500,183.7
2940,3252,056200,182.8
2950,3256,059800,194.7
2960,3120,140900,439.6
2970,3252,064200,208.8
2980,3252,055700,181.1
2990,3252,067100,218.2
3000,3232,065600,212.0
3010,3256,070800,230.5
3020,3252,057300,186.3
3030,3252,055700,181.1
3040,3256,060900,198.3
3050,3252,055700,181.1
3060,3172,152300,483.1
3070,3252,055700,181.1
3080,3256,067100,218.5
3090,3252,056300,183.1
3100,3248,113600,369.0
3110,3256,058500,190.5
3120,3248,055700,180.9
3130,3256,061300,199.6
3140,3252,055700,181.1
3150,3252,065900,214.3
3160,3252,055700,181.1
3170,3256,068200,222.1
3180,3252,056300,183.1
3190,3252,056700,184.4
3200,3228,060100,194.0
3210,3252,055700,181.1
3220,3256,062200,202.5
3230,3252,055700,181.1
3240,3252,067000,217.9
3250,3252,055900,181.8
3260,3256,068400,222.7
3270,3172,143600,455.5
3280,3252,056200,182.8
3290,3256,059800,194.7
3300,3248,083400,270.9
3310,3252,063200,205.5
3320,3252,055700,181.1
3330,3252,067500,219.5
3340,3252,056300,183.1
3350,3252,069800,227.0
3360,3252,056400,183.4
3370,3172,142000,450.4
3380,3252,061000,198.4
3390,3252,055800,181.5
3400,3232,069700,225.3
3410,3252,055700,181.1
3420,3252,067000,217.9
3430,3252,056300,183.1
3440,3256,071000,231.2
3450,3252,057500,187.0
3460,3252,055800,181.5
3470,3256,061100,198.9
3480,3172,173600,550.7
3490,3256,065800,214.2
3500,3236,071200,230.4
3510,3256,067400,219.5
3520,3252,056400,183.4
3530,3252,070700,229.9
3540,3252,058700,190.9
3550,3248,055800,181.2
3560,3256,061500,200.2
3570,3252,055700,181.1
3580,3256,066100,215.2
3590,3180,141800,450.9
3600,3244,093800,304.3
3610,3252,056300,183.1
3620,3252,056600,184.1
3630,3252,059300,192.8
3640,3252,055700,181.1
3650,3256,062400,203.2
3660,3252,055700,181.1
3670,3252,067200,218.5
3680,3252,056000,182.1
3690,3252,068700,223.4
3700,3116,094900,295.7
3710,3252,056000,182.1
3720,3252,060200,195.8
3730,3252,055700,181.1
3740,3256,063400,206.4
3750,3252,055700,181.1
3760,3252,067300,218.9
3770,3252,056300,183.1
3780,3252,070000,227.6
3790,3252,056600,184.1
3800,3252,121500,395.1
3810,3168,063000,199.6
3820,3252,055700,181.1
3830,3252,064900,211.1
3840,3252,055700,181.1
3850,3252,067000,217.9
3860,3252,056300,183.1
3870,3252,071000,230.9
3880,3256,057800,188.2
3890,3252,055800,181.5
3900,3228,061700,199.2
3910,3252,055700,181.1
3920,3256,066300,215.9
3930,3252,055700,181.1
3940,3252,067600,219.8
3950,3252,056300,183.1
3960,3252,056600,184.1
3970,3252,058900,191.5
3980,3252,055700,181.1
3990,3256,061600,200.6
4000,3244,079100,256.6
4010,3256,066500,216.5
4020,3172,144100,457.1
4030,3252,068900,224.1
4040,3252,056300,183.1
4050,3252,056500,183.7
4060,3256,059400,193.4
4070,3252,055700,181.1
4080,3252,062500,203.2
4090,3252,055700,181.1
4100,3240,078700,255.0
4110,3252,056100,182.4
4120,3208,170200,546.0
4130,3252,056800,184.7
4140,3248,055800,181.2
4150,3256,060500,197.0
4160,3252,055700,181.1
4170,3252,063800,207.5
4180,3252,055700,181.1
4190,3256,067200,218.8
4200,3232,066400,214.6
4210,3252,070500,229.3
4220,3252,056900,185.0
4230,3168,143700,455.2
4240,3252,061100,198.7
4250,3252,055800,181.5
4260,3256,065200,212.3
4270,3252,055700,181.1
4280,3252,067000,217.9
4290,3252,056400,183.4
4300,3252,105200,342.1
4310,3252,058100,188.9
4320,3248,055700,180.9
4330,3256,061200,199.3
4340,3096,135400,419.2
4350,3256,066500,216.5
4360,3252,055700,181.1
4370,3256,067800,220.8
4380,3252,056400,183.4
4390,3252,056600,184.1
4400,3228,060200,194.3
4410,3252,055700,181.1
4420,3252,061900,201.3
4430,3252,055700,181.1
4440,3120,157900,492.6
4450,3252,056200,182.8
4460,3252,069100,224.7
4470,3256,056400,183.6
4480,3252,056400,183.4
4490,3256,059500,193.7
4500,3252,083700,272.2
4510,3256,062900,204.8
4520,3252,055700,181.1
4530,3256,067300,219.1
4540,3252,090000,292.7
4550,3252,070500,229.3
4560,3252,056900,185.0
4570,3252,055800,181.5
4580,3256,060700,197.6
4590,3252,055700,181.1
4600,3232,066700,215.6
4610,3252,055700,181.1
4620,3256,067000,218.2
4630,3252,056300,183.1
4640,3252,070700,229.9
4649,3252,056400,183.4
4660,3252,055800,181.5
4670,3256,061200,199.3
4680,3252,055700,181.1
4690,3256,065300,212.6
4700,3236,071800,232.3
4710,3252,067100,218.2
4720,3252,056300,183.1
4730,3252,070900,230.6
4740,3256,058300,189.8
4750,3248,055800,181.2
4760,3180,225800,718.0
4770,3252,055700,181.1
4780,3256,066700,217.2
4790,3252,055800,181.5
4800,3248,089200,289.7
4810,3252,056400,183.4
4820,3252,056600,184.1
4830,3252,059200,192.5
4840,3252,055700,181.1
4850,3252,062100,201.9
4860,3252,068500,222.8
4870,3252,067400,219.2
4880,3252,056200,182.8
4890,3252,069300,225.4
4900,3228,060500,195.3
4910,3252,056200,182.8
4920,3256,059800,194.7
4930,3256,055700,181.4
4940,3256,063000,205.1
4950,3252,055600,180.8
4960,3252,070400,228.9
4970,3252,056400,183.4
4980,3252,070700,229.9
4990,3252,057000,185.4
5000,3248,123000,399.5
5010,3252,060900,198.0
5020,3252,055700,181.1
5030,3256,064300,209.4
5040,3252,055700,181.1
5050,3252,067100,218.2
5060,3252,056300,183.1
5070,3140,185300,581.8
5080,3256,058300,189.8
