ms,event,rssi,seq,label,addr,mfd
# meta, firmware=RX_UCCS_D2B_SCAN90, buf_size=512
# condition_label=F4-03-500
147445,ADV,-34,1463,P4-06-100,e0:5a:1b:15:c4:ca,1463_P4-06-100
147550,ADV,-46,1464,P4-06-100,e0:5a:1b:15:c4:ca,1464_P4-06-100
147653,ADV,-40,1465,P4-06-100,e0:5a:1b:15:c4:ca,1465_P4-06-100
147762,ADV,-40,1466,P4-06-100,e0:5a:1b:15:c4:ca,1466_P4-06-100
147875,ADV,-39,1467,P4-06-100,e0:5a:1b:15:c4:ca,1467_P4-06-100
147974,ADV,-46,1468,P4-06-100,e0:5a:1b:15:c4:ca,1468_P4-06-100
148185,ADV,-41,1470,P4-06-100,e0:5a:1b:15:c4:ca,1470_P4-06-100
148311,ADV,-36,1471,P4-06-100,e0:5a:1b:15:c4:ca,1471_P4-06-100
148396,ADV,-39,1472,P4-06-100,e0:5a:1b:15:c4:ca,1472_P4-06-100
148498,ADV,-46,1473,P4-06-100,e0:5a:1b:15:c4:ca,1473_P4-06-100
148602,ADV,-40,1474,P4-06-100,e0:5a:1b:15:c4:ca,1474_P4-06-100
148702,ADV,-40,1475,P4-06-100,e0:5a:1b:15:c4:ca,1475_P4-06-100
148806,ADV,-39,1476,P4-06-100,e0:5a:1b:15:c4:ca,1476_P4-06-100
149021,ADV,-45,1478,P4-06-100,e0:5a:1b:15:c4:ca,1478_P4-06-100
149127,ADV,-40,1479,P4-06-100,e0:5a:1b:15:c4:ca,1479_P4-06-100
149344,ADV,-39,1481,P4-06-100,e0:5a:1b:15:c4:ca,1481_P4-06-100
149441,ADV,-44,1482,P4-06-100,e0:5a:1b:15:c4:ca,1482_P4-06-100
149649,ADV,-40,1484,P4-06-100,e0:5a:1b:15:c4:ca,1484_P4-06-100
149760,ADV,-39,1485,P4-06-100,e0:5a:1b:15:c4:ca,1485_P4-06-100
149978,ADV,-44,1488,P4-06-100,e0:5a:1b:15:c4:ca,1488_P4-06-100
150077,ADV,-40,1489,P4-06-100,e0:5a:1b:15:c4:ca,1489_P4-06-100
150318,ADV,-38,1491,P4-06-100,e0:5a:1b:15:c4:ca,1491_P4-06-100
150395,ADV,-45,1492,P4-06-100,e0:5a:1b:15:c4:ca,1492_P4-06-100
150600,ADV,-40,1494,P4-06-100,e0:5a:1b:15:c4:ca,1494_P4-06-100
150702,ADV,-39,1495,P4-06-100,e0:5a:1b:15:c4:ca,1495_P4-06-100
150806,ADV,-39,1496,P4-06-100,e0:5a:1b:15:c4:ca,1496_P4-06-100
150911,ADV,-45,1497,P4-06-100,e0:5a:1b:15:c4:ca,1497_P4-06-100
151009,ADV,-40,1498,P4-06-100,e0:5a:1b:15:c4:ca,1498_P4-06-100
151121,ADV,-40,1499,P4-06-100,e0:5a:1b:15:c4:ca,1499_P4-06-100
151224,ADV,-36,1500,P4-06-100,e0:5a:1b:15:c4:ca,1500_P4-06-100
151329,ADV,-46,1501,P4-06-100,e0:5a:1b:15:c4:ca,1501_P4-06-100
151434,ADV,-46,1502,P4-06-100,e0:5a:1b:15:c4:ca,1502_P4-06-100
151540,ADV,-41,1503,P4-06-100,e0:5a:1b:15:c4:ca,1503_P4-06-100
