rx_file,mode,transition_step,label_prev,label_cur,tl_s,outage_gt_tau,arrival_step,offset_ms
rx_trial_024.csv,P,245,10,6,0.066,0,246,-104.0
rx_trial_024.csv,P,338,6,7,0.183,0,340,-104.0
rx_trial_024.csv,P,362,7,11,0.167,0,364,-104.0
rx_trial_024.csv,P,376,11,4,0.213,0,378,-104.0
rx_trial_024.csv,P,429,4,10,0.069,0,430,-104.0
rx_trial_024.csv,P,605,10,3,0.069,0,606,-104.0
rx_trial_024.csv,P,615,3,7,0.024,0,615,-104.0
rx_trial_024.csv,P,642,7,3,0.525,0,647,-104.0
rx_trial_024.csv,P,680,3,9,0.061,0,681,-104.0
rx_trial_024.csv,P,714,9,8,0.022,0,714,-104.0
rx_trial_024.csv,P,724,8,7,0.268,0,727,-104.0
rx_trial_024.csv,P,775,7,0,0.179,0,777,-104.0
rx_trial_024.csv,P,796,0,7,0.287,0,799,-104.0
rx_trial_024.csv,P,858,7,4,0.276,0,861,-104.0
rx_trial_024.csv,P,963,4,6,0.081,0,964,-104.0
rx_trial_024.csv,P,1035,6,5,0.184,0,1037,-104.0
rx_trial_024.csv,P,1055,5,9,0.18,0,1057,-104.0
rx_trial_024.csv,P,1087,9,2,0.131,0,1088,-104.0
rx_trial_024.csv,P,1128,2,9,9.672,1,1225,-104.0
rx_trial_024.csv,P,1130,9,4,0.03,0,1130,-104.0
rx_trial_024.csv,P,1224,4,9,0.072,0,1225,-104.0
rx_trial_024.csv,P,1282,9,0,0.18,0,1284,-104.0
rx_trial_024.csv,P,1299,0,9,0.549,0,1304,-104.0
rx_trial_024.csv,P,1404,9,7,0.071,0,1405,-104.0
rx_trial_024.csv,P,1410,7,2,0.004,0,1410,-104.0
rx_trial_024.csv,P,1414,2,8,0.119,0,1415,-104.0
rx_trial_024.csv,P,1458,8,6,0.124,0,1459,-104.0
rx_trial_024.csv,P,1523,6,11,0.069,0,1524,-104.0
rx_trial_024.csv,P,1581,11,5,0.07,0,1582,-104.0
rx_trial_024.csv,P,1603,5,1,0.084,0,1604,-104.0
rx_trial_024.csv,P,1614,1,2,0.257,0,1616,-104.0
rx_trial_024.csv,P,1627,2,8,0.199,0,1629,-104.0
rx_trial_024.csv,P,1678,8,1,0.069,0,1679,-104.0
rx_trial_024.csv,P,1697,1,2,0.272,0,1700,-104.0
rx_trial_024.csv,P,1701,2,1,0.183,0,1703,-104.0
rx_trial_024.csv,P,1766,1,3,0.071,0,1767,-104.0
rx_trial_025.csv,U,13,1,0,0.128,0,14,-87.0
rx_trial_025.csv,U,88,0,6,0.008,0,88,-87.0
rx_trial_025.csv,U,91,6,7,0.185,0,93,-87.0
rx_trial_025.csv,U,97,7,11,0.203,0,99,-87.0
rx_trial_025.csv,U,120,11,10,0.007,0,120,-87.0
rx_trial_025.csv,U,245,10,6,0.07,0,246,-87.0
rx_trial_025.csv,U,338,6,7,0.071,0,339,-87.0
rx_trial_025.csv,U,362,7,11,0.104,0,363,-87.0
rx_trial_025.csv,U,376,11,4,0.171,0,378,-87.0
rx_trial_025.csv,U,429,4,10,0.073,0,430,-87.0
rx_trial_025.csv,U,605,10,3,0.07,0,606,-87.0
rx_trial_025.csv,U,615,3,7,0.229,0,617,-87.0
rx_trial_025.csv,U,642,7,3,0.263,0,645,-87.0
rx_trial_025.csv,U,680,3,9,0.144,0,681,-87.0
rx_trial_025.csv,U,714,9,8,0.124,0,715,-87.0
rx_trial_025.csv,U,724,8,7,0.056,0,725,-87.0
rx_trial_025.csv,U,775,7,0,0.377,0,779,-87.0
rx_trial_025.csv,U,796,0,7,0.049,0,796,-87.0
rx_trial_025.csv,U,858,7,4,0.282,0,861,-87.0
rx_trial_025.csv,U,963,4,6,0.172,0,965,-87.0
rx_trial_025.csv,U,1035,6,5,0.174,0,1037,-87.0
rx_trial_025.csv,U,1055,5,9,0.071,0,1056,-87.0
rx_trial_025.csv,U,1087,9,2,0.271,0,1090,-87.0
rx_trial_025.csv,U,1128,2,9,9.776,1,1226,-87.0
rx_trial_025.csv,U,1130,9,4,0.296,0,1133,-87.0
rx_trial_025.csv,U,1224,4,9,0.176,0,1226,-87.0
rx_trial_025.csv,U,1282,9,0,0.072,0,1283,-87.0
rx_trial_025.csv,U,1299,0,9,0.149,0,1300,-87.0
rx_trial_025.csv,U,1404,9,7,0.168,0,1406,-87.0
rx_trial_025.csv,U,1410,7,2,0.086,0,1411,-87.0
rx_trial_025.csv,U,1414,2,8,0.213,0,1416,-87.0
rx_trial_025.csv,U,1458,8,6,0.129,0,1459,-87.0
rx_trial_025.csv,U,1523,6,11,0.174,0,1525,-87.0
rx_trial_025.csv,U,1581,11,5,0.291,0,1584,-87.0
rx_trial_025.csv,U,1603,5,1,0.2,0,1605,-87.0
rx_trial_025.csv,U,1614,1,2,0.159,0,1616,-87.0
rx_trial_025.csv,U,1627,2,8,0.01,0,1627,-87.0
rx_trial_025.csv,U,1678,8,1,0.181,0,1680,-87.0
rx_trial_025.csv,U,1697,1,2,0.167,0,1699,-87.0
rx_trial_025.csv,U,1701,2,1,0.291,0,1704,-87.0
rx_trial_025.csv,U,1766,1,3,0.178,0,1768,-87.0
