rx_file,mode,transition_step,label_prev,label_cur,tl_s,outage_gt_tau,arrival_step,offset_ms
rx_trial_008.csv,P,13,1,0,0.051,0,13,-301.0
rx_trial_008.csv,P,88,0,6,0.022,0,88,-301.0
rx_trial_008.csv,P,91,6,7,0.086,0,92,-301.0
rx_trial_008.csv,P,97,7,11,0.31,0,100,-301.0
rx_trial_008.csv,P,120,11,10,0.313,0,123,-301.0
rx_trial_008.csv,P,245,10,6,0.07,0,246,-301.0
rx_trial_008.csv,P,338,6,7,0.284,0,341,-301.0
rx_trial_008.csv,P,362,7,11,0.194,0,364,-301.0
rx_trial_008.csv,P,376,11,4,0.074,0,377,-301.0
rx_trial_008.csv,P,429,4,10,0.079,0,430,-301.0
rx_trial_008.csv,P,605,10,3,0.173,0,607,-301.0
rx_trial_008.csv,P,615,3,7,0.022,0,615,-301.0
rx_trial_008.csv,P,642,7,3,0.037,0,642,-301.0
rx_trial_008.csv,P,680,3,9,0.094,0,681,-301.0
rx_trial_008.csv,P,714,9,8,0.176,0,716,-301.0
rx_trial_008.csv,P,724,8,7,0.014,0,724,-301.0
rx_trial_008.csv,P,775,7,0,0.17,0,777,-301.0
rx_trial_008.csv,P,796,0,7,0.074,0,797,-301.0
rx_trial_008.csv,P,858,7,4,0.179,0,860,-301.0
rx_trial_008.csv,P,963,4,6,0.186,0,965,-301.0
rx_trial_008.csv,P,1035,6,5,0.07,0,1036,-301.0
rx_trial_008.csv,P,1055,5,9,0.178,0,1057,-301.0
rx_trial_008.csv,P,1087,9,2,0.008,0,1087,-301.0
rx_trial_008.csv,P,1128,2,9,9.671,1,1225,-301.0
rx_trial_008.csv,P,1130,9,4,0.035,0,1130,-301.0
rx_trial_008.csv,P,1224,4,9,0.071,0,1225,-301.0
rx_trial_008.csv,P,1282,9,0,0.175,0,1284,-301.0
rx_trial_008.csv,P,1299,0,9,0.068,0,1300,-301.0
rx_trial_008.csv,P,1404,9,7,0.071,0,1405,-301.0
rx_trial_008.csv,P,1410,7,2,0.21,0,1412,-301.0
rx_trial_008.csv,P,1414,2,8,0.23,0,1416,-301.0
rx_trial_008.csv,P,1458,8,6,0.02,0,1458,-301.0
rx_trial_008.csv,P,1523,6,11,0.072,0,1524,-301.0
rx_trial_008.csv,P,1581,11,5,0.077,0,1582,-301.0
rx_trial_008.csv,P,1603,5,1,0.096,0,1604,-301.0
rx_trial_008.csv,P,1614,1,2,0.249,0,1616,-301.0
rx_trial_008.csv,P,1627,2,8,0.111,0,1628,-301.0
rx_trial_008.csv,P,1678,8,1,0.077,0,1679,-301.0
rx_trial_008.csv,P,1697,1,2,0.278,0,1700,-301.0
rx_trial_008.csv,P,1701,2,1,0.073,0,1702,-301.0
rx_trial_008.csv,P,1766,1,3,0.077,0,1767,-301.0
rx_trial_009.csv,U,13,1,0,0.123,0,14,-291.0
rx_trial_009.csv,U,88,0,6,15.772,1,246,-291.0
rx_trial_009.csv,U,91,6,7,0.191,0,93,-291.0
rx_trial_009.csv,U,97,7,11,0.223,0,99,-291.0
rx_trial_009.csv,U,120,11,10,0.02,0,120,-291.0
rx_trial_009.csv,U,245,10,6,0.072,0,246,-291.0
rx_trial_009.csv,U,338,6,7,0.076,0,339,-291.0
rx_trial_009.csv,U,362,7,11,0.065,0,363,-291.0
rx_trial_009.csv,U,376,11,4,0.028,0,376,-291.0
rx_trial_009.csv,U,429,4,10,0.072,0,430,-291.0
rx_trial_009.csv,U,605,10,3,0.005,0,605,-291.0
rx_trial_009.csv,U,615,3,7,0.124,0,616,-291.0
rx_trial_009.csv,U,642,7,3,0.151,0,643,-291.0
rx_trial_009.csv,U,680,3,9,0.319,0,683,-291.0
rx_trial_009.csv,U,714,9,8,0.28,0,717,-291.0
rx_trial_009.csv,U,724,8,7,0.217,0,726,-291.0
rx_trial_009.csv,U,775,7,0,0.074,0,776,-291.0
rx_trial_009.csv,U,796,0,7,0.081,0,797,-291.0
rx_trial_009.csv,U,858,7,4,0.073,0,859,-291.0
rx_trial_009.csv,U,963,4,6,0.181,0,965,-291.0
rx_trial_009.csv,U,1035,6,5,0.179,0,1037,-291.0
rx_trial_009.csv,U,1055,5,9,0.388,0,1059,-291.0
rx_trial_009.csv,U,1087,9,2,0.112,0,1088,-291.0
rx_trial_009.csv,U,1128,2,9,0.091,0,1129,-291.0
rx_trial_009.csv,U,1130,9,4,0.095,0,1131,-291.0
rx_trial_009.csv,U,1224,4,9,0.184,0,1226,-291.0
rx_trial_009.csv,U,1282,9,0,0.074,0,1283,-291.0
rx_trial_009.csv,U,1299,0,9,0.168,0,1301,-291.0
rx_trial_009.csv,U,1404,9,7,0.173,0,1406,-291.0
rx_trial_009.csv,U,1410,7,2,0.104,0,1411,-291.0
rx_trial_009.csv,U,1414,2,8,0.014,0,1414,-291.0
rx_trial_009.csv,U,1458,8,6,0.115,0,1459,-291.0
rx_trial_009.csv,U,1523,6,11,0.177,0,1525,-291.0
rx_trial_009.csv,U,1581,11,5,0.071,0,1582,-291.0
rx_trial_009.csv,U,1603,5,1,0.174,0,1605,-291.0
rx_trial_009.csv,U,1614,1,2,0.039,0,1614,-291.0
rx_trial_009.csv,U,1627,2,8,0.014,0,1627,-291.0
rx_trial_009.csv,U,1678,8,1,0.071,0,1679,-291.0
rx_trial_009.csv,U,1697,1,2,0.055,0,1698,-291.0
rx_trial_009.csv,U,1701,2,1,0.304,0,1704,-291.0
rx_trial_009.csv,U,1766,1,3,0.289,0,1769,-291.0
rx_trial_012.csv,P,13,1,0,0.224,0,15,-268.0
rx_trial_012.csv,P,88,0,6,0.072,0,89,-268.0
rx_trial_012.csv,P,91,6,7,0.298,0,94,-268.0
rx_trial_012.csv,P,97,7,11,0.008,0,97,-268.0
