ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=4, cond_id_raw=4, tag=s4_ablation_ccs_off, subject=uccs_d4b_scan70
# meta, ablation=ccs_off policy=U_only actions{100,500} u_mid=0.20 u_high=0.35 hyst=0.02 ema_alpha=0.20
2121,3292,55100,181.4
2131,3292,56100,184.7
2141,3292,55000,181.1
2151,3292,56100,184.7
2161,3288,55300,181.8
2171,3288,55800,183.5
2181,3292,55600,183.0
2191,3292,55500,182.7
2201,3292,55600,183.0
2211,3196,217200,694.2
2221,3292,55900,184.0
2231,3292,55100,181.4
2241,3288,56100,184.5
2251,3292,55100,181.4
2261,3292,56100,184.7
2271,3292,55100,181.4
2281,3292,56000,184.4
2291,3288,55100,181.2
2301,3292,56100,184.7
2311,3184,144600,460.4
2321,3292,55700,183.4
2331,3288,55600,182.8
2341,3292,55500,182.7
2351,3292,55600,183.0
2361,3288,55300,181.8
2371,3292,55900,184.0
2381,3288,55100,181.2
2391,3288,56000,184.1
2401,3288,55000,180.8
2411,3292,56100,184.7
2421,3288,55200,181.5
2431,3288,56000,184.1
2441,3288,55100,181.2
2451,3292,56100,184.7
2461,3288,55500,182.5
2471,3292,55600,183.0
2481,3292,55600,183.0
2491,3292,55400,182.4
2501,3292,55600,183.0
2511,3292,55200,181.7
2521,3292,56000,184.4
2531,3284,55300,181.6
2541,3292,56000,184.4
2551,3288,55100,181.2
2561,3288,56000,184.1
2571,3288,55100,181.2
2581,3292,56100,184.7
2591,3292,55100,181.4
2601,3292,56000,184.4
2611,3288,55600,182.8
2621,3292,55500,182.7
2631,3160,135600,428.5
2641,3292,55400,182.4
2651,3288,55700,183.1
2661,3288,55300,181.8
2671,3288,56000,184.1
2681,3288,55000,180.8
2691,3292,56000,184.4
2701,3288,55100,181.2
2711,3292,56000,184.4
2721,3292,55100,181.4
2731,3188,143700,458.1
2741,3292,55000,181.1
2751,3292,56100,184.7
2761,3292,55600,183.0
2771,3292,55600,183.0
2781,3292,55600,183.0
2791,3292,55400,182.4
2801,3292,55700,183.4
2811,3292,55100,181.4
2821,3292,55900,184.0
2831,3184,142000,452.1
2841,3292,56000,184.4
2851,3288,55100,181.2
2861,3292,56100,184.7
2871,3292,55100,181.4
2881,3292,56100,184.7
2891,3288,55000,180.8
2901,3292,56000,184.4
2911,3292,55600,183.0
2921,3288,55500,182.5
2931,3288,55600,182.8
2941,3188,143200,456.5
2951,3292,55600,183.0
2961,3292,55100,181.4
2971,3292,56000,184.4
2981,3288,55000,180.8
2991,3292,56100,184.7
3001,3288,55100,181.2
3011,3292,56000,184.4
3021,3288,55100,181.2
3031,3292,56100,184.7
3041,3184,145500,463.3
3051,3292,56000,184.4
3061,3292,55600,183.0
3071,3292,55600,183.0
3081,3292,55600,183.0
3091,3292,55500,182.7
3101,3292,55700,183.4
3111,3288,55100,181.2
3121,3292,56000,184.4
3131,3288,55100,181.2
3141,3292,56100,184.7
3151,3292,55100,181.4
3161,3292,56100,184.7
3171,3292,55100,181.4
3181,3292,56100,184.7
3191,3292,55200,181.7
3201,3292,55900,184.0
3211,3292,55700,183.4
3221,3292,55500,182.7
3231,3292,55700,183.4
3241,3292,55500,182.7
3251,3196,136700,436.9
3261,3288,55000,180.8
3271,3292,56000,184.4
3281,3288,55100,181.2
3291,3292,56100,184.7
3301,3292,55100,181.4
3311,3292,56100,184.7
3321,3288,55100,181.2
3331,3292,56000,184.4
3341,3292,55400,182.4
3351,3288,55800,183.5
3361,3196,135200,432.1
3371,3288,55500,182.5
3381,3292,55700,183.4
3391,3288,55300,181.8
3401,3292,55900,184.0
3411,3288,55100,181.2
3421,3292,56100,184.7
3431,3292,55100,181.4
3441,3292,56100,184.7
3451,3292,55100,181.4
3461,3276,156900,514.0
3471,3288,55100,181.2
3481,3292,56100,184.7
3491,3292,55400,182.4
3501,3288,55700,183.1
3511,3292,55700,183.4
3521,3292,55500,182.7
3531,3288,55600,182.8
3541,3292,55300,182.0
3551,3288,56000,184.1
3561,3292,55100,181.4
3571,3192,136900,437.0
3581,3288,55200,181.5
3591,3292,56100,184.7
3601,3288,55100,181.2
3612,3292,56200,185.0
3621,3292,55000,181.1
3631,3292,56000,184.4
3641,3292,55500,182.7
3651,3288,55700,183.1
3661,3288,55700,183.1
3671,3292,55500,182.7
3681,3100,138000,427.8
3691,3292,55200,181.7
3701,3292,56000,184.4
3711,3288,55100,181.2
3721,3292,56100,184.7
3731,3292,55100,181.4
3741,3292,56000,184.4
3751,3288,55000,180.8
3761,3292,56000,184.4
3771,3292,55100,181.4
3781,3260,160100,521.9
3791,3292,55600,183.0
3801,3288,55600,182.8
3811,3292,55600,183.0
3821,3292,55500,182.7
3831,3292,55600,183.0
3841,3292,55100,181.4
3851,3292,56000,184.4
3861,3292,55100,181.4
3871,3292,56000,184.4
3881,3292,55100,181.4
3891,3184,57500,183.1
3901,3288,55100,181.2
3911,3288,56100,184.5
3921,3288,55100,181.2
3931,3292,56000,184.4
3941,3292,55600,183.0
3951,3288,55500,182.5
3961,3292,55700,183.4
3971,3288,55500,182.5
3981,3292,55700,183.4
3991,3264,55400,180.8
4001,3288,56000,184.1
4011,3292,55100,181.4
4021,3292,56000,184.4
4031,3292,55100,181.4
4041,3292,56100,184.7
4051,3288,55100,181.2
4061,3292,56000,184.4
4071,3288,55000,180.8
4081,3292,56000,184.4
4091,3288,55600,182.8
4101,3228,56000,180.8
4111,3292,55700,183.4
4121,3292,55500,182.7
4131,3292,55700,183.4
4141,3288,55100,181.2
4151,3292,56000,184.4
4161,3288,55100,181.2
4171,3292,56000,184.4
4181,3292,55100,181.4
4191,3292,56000,184.4
4201,3108,138800,431.4
4211,3292,56000,184.4
4221,3288,55000,180.8
4231,3292,56000,184.4
4241,3288,55600,182.8
4251,3288,55500,182.5
4261,3288,55600,182.8
4271,3292,55500,182.7
4281,3292,55700,183.4
4291,3292,55100,181.4
4301,3292,56000,184.4
4311,3284,55300,181.6
4321,3292,56000,184.4
4331,3292,55100,181.4
4341,3292,56100,184.7
4351,3288,55100,181.2
4361,3292,56000,184.4
4371,3292,55200,181.7
4381,3292,55900,184.0
4391,3288,55600,182.8
4401,3292,55500,182.7
4411,3196,201800,645.0
4421,3292,55500,182.7
4431,3292,55800,183.7
4441,3288,55100,181.2
4451,3292,56000,184.4
4461,3288,55100,181.2
4471,3292,56000,184.4
4481,3288,55100,181.2
4491,3292,56000,184.4
4501,3288,55000,180.8
4511,3188,142600,454.6
4521,3288,55400,182.2
4531,3288,55800,183.5
4541,3292,55600,183.0
4551,3292,55500,182.7
4561,3292,55700,183.4
4571,3292,55400,182.4
4581,3292,55900,184.0
4591,3288,55100,181.2
4601,3292,56000,184.4
4611,3288,55100,181.2
4621,3180,58300,185.4
4631,3288,55100,181.2
4641,3292,56100,184.7
4651,3288,55100,181.2
4661,3292,56100,184.7
4671,3292,55400,182.4
4681,3292,55700,183.4
4691,3292,55600,183.0
4701,3288,55500,182.5
4711,3292,55600,183.0
4721,3196,213000,680.7
4731,3292,55900,184.0
4741,3288,55100,181.2
4751,3292,56100,184.7
4761,3292,55100,181.4
4771,3292,56000,184.4
4781,3292,55100,181.4
4791,3292,56000,184.4
4801,3292,55100,181.4
4811,3292,56000,184.4
4821,3104,148900,462.2
4831,3292,55600,183.0
4841,3292,55600,183.0
4851,3288,55400,182.2
4861,3288,55700,183.1
4871,3292,55300,182.0
4881,3288,56000,184.1
4891,3292,55100,181.4
4901,3292,56100,184.7
4911,3288,55100,181.2
4921,3292,56000,184.4
4931,3288,55300,181.8
4941,3292,56100,184.7
4951,3288,55100,181.2
4961,3292,56100,184.7
4971,3288,55600,182.8
4981,3292,55600,183.0
4991,3292,55600,183.0
5001,3288,55500,182.5
5011,3292,55700,183.4
5021,3292,55200,181.7
5031,3288,56000,184.1
5041,3292,55100,181.4
5051,3292,56000,184.4
5061,3288,55000,180.8
5071,3288,56000,184.1
5081,3292,55100,181.4
5091,3292,56000,184.4
5101,3288,55000,180.8
5111,3292,56000,184.4
5121,3292,55600,183.0
5131,3292,55600,183.0
5141,3108,139900,434.8
5151,3288,55500,182.5
5161,3292,55600,183.0
5171,3288,55200,181.5
5181,3292,56000,184.4
5191,3292,55000,181.1
5201,3292,56000,184.4
5211,3288,55100,181.2
5221,3292,56000,184.4
5231,3288,55000,180.8
5241,3292,57700,189.9
5251,3288,55000,180.8
5261,3292,56000,184.4
5271,3288,55600,182.8
5281,3292,55500,182.7
5291,3292,55700,183.4
5301,3292,55500,182.7
5311,3292,55700,183.4
5321,3288,55100,181.2
5331,3288,56100,184.5
5341,3292,55100,181.4
5351,3192,149400,476.9
5361,3288,55100,181.2
5371,3292,56000,184.4
5381,3292,55100,181.4
5392,3292,56200,185.0
5401,3288,55100,181.2
5411,3292,56000,184.4
5421,3292,55600,183.0
5431,3292,55500,182.7
5441,3292,55700,183.4
5451,3228,155700,502.6
5461,3288,55700,183.1
5471,3292,55100,181.4
5481,3292,56000,184.4
5491,3288,55000,180.8
5501,3292,56000,184.4
5511,3292,55100,181.4
5521,3292,56000,184.4
5531,3292,55000,181.1
5541,3292,56100,184.7
5551,3292,55100,181.4
5561,3196,212600,679.5
5571,3292,55600,183.0
5581,3292,55500,182.7
5591,3292,55600,183.0
5601,3288,55500,182.5
5611,3292,55800,183.7
5621,3292,55100,181.4
5631,3292,56000,184.4
5641,3288,55000,180.8
5651,3292,56000,184.4
5661,3292,55000,181.1
5671,3188,176400,562.4
5681,3288,55100,181.2
5691,3292,56100,184.7
5701,3288,55200,181.5
5711,3292,55900,184.0
5721,3292,55600,183.0
5731,3292,55500,182.7
5741,3292,55600,183.0
5751,3292,55400,182.4
5761,3292,55900,184.0
5771,3204,150500,482.2
5781,3292,56100,184.7
5791,3292,55100,181.4
5801,3292,56100,184.7
5811,3292,55100,181.4
5821,3292,56100,184.7
5831,3288,55100,181.2
5841,3292,56000,184.4
5851,3292,55300,182.0
5861,3292,55800,183.7
5871,3292,55700,183.4
5881,3228,56000,180.8
5891,3288,55600,182.8
5901,3292,55400,182.4
5911,3292,56000,184.4
5921,3288,55100,181.2
5931,3292,56000,184.4
5941,3292,55000,181.1
5951,3292,56000,184.4
5961,3288,55000,180.8
5971,3292,56000,184.4
5981,3288,55400,182.2
5991,3292,56000,184.4
6001,3292,55500,182.7
6011,3292,55600,183.0
6021,3176,146200,464.3
6031,3292,55500,182.7
6041,3292,55600,183.0
6051,3292,55300,182.0
6061,3288,55900,183.8
6071,3292,55100,181.4
6081,3292,56000,184.4
6091,3292,55100,181.4
6101,3292,56100,184.7
6111,3288,55100,181.2
6121,3292,56100,184.7
6131,3288,55000,180.8
6141,3292,56000,184.4
6151,3292,55500,182.7
6161,3292,55600,183.0
6171,3292,55600,183.0
6181,3292,55500,182.7
6191,3292,55700,183.4
6201,3292,55200,181.7
