ms,mV,uA,p_mW
# meta, firmware=TXSD_UCCS_D4B_SCAN70, cond_id=3, cond_id_raw=3, tag=s4_policy, subject=uccs_d4b_scan70
# meta, policy=U+CCS actions{100,500} u_mid=0.20 u_high=0.35 c_mid=0.20 c_high=0.35 hyst=0.02 ema_alpha=0.20 ccs_inverted=true
2421,3180,141900,451.2
2431,3292,56000,184.4
2441,3288,55100,181.2
2451,3292,55900,184.0
2461,3288,55300,181.8
2471,3292,55400,182.4
2481,3288,55600,182.8
2491,3292,55400,182.4
2501,3292,55800,183.7
2511,3288,85200,280.1
2521,3184,143200,455.9
2531,3292,55000,181.1
2541,3292,56000,184.4
2551,3288,55000,180.8
2561,3292,55900,184.0
2571,3288,55100,181.2
2581,3292,56000,184.4
2591,3288,55000,180.8
2601,3288,55800,183.5
2611,3264,66100,215.8
2621,3288,61000,200.6
2631,3288,55700,183.1
2641,3292,55300,182.0
2651,3288,55900,183.8
2661,3288,55500,182.5
2671,3288,56000,184.1
2681,3292,55000,181.1
2691,3292,56000,184.4
2701,3288,55000,180.8
2711,3264,56200,183.4
2721,3288,55100,181.2
2731,3196,137100,438.2
2741,3288,55000,180.8
2751,3292,55700,183.4
2761,3288,55500,182.5
2771,3292,55400,182.4
2781,3292,55600,183.0
2791,3288,55200,181.5
2801,3292,55800,183.7
2811,3288,85400,280.8
2821,3292,55900,184.0
2831,3288,55000,180.8
2841,3284,56200,184.6
2851,3288,55000,180.8
2861,3288,56000,184.1
2871,3288,55000,180.8
2881,3292,56000,184.4
2891,3288,55100,181.2
2901,3292,55600,183.0
2911,3264,65000,212.2
2921,3292,55400,182.4
2931,3288,55600,182.8
2941,3288,55300,181.8
2951,3288,55900,183.8
2961,3292,55300,182.0
2971,3288,56000,184.1
2981,3288,55100,181.2
2991,3292,56000,184.4
3001,3288,55000,180.8
3011,3264,56200,183.4
3021,3288,55100,181.2
3031,3288,56000,184.1
3041,3192,210100,670.6
3051,3288,55500,182.5
3061,3288,55500,182.5
3071,3292,55400,182.4
3081,3288,55600,182.8
3091,3292,55100,181.4
3101,3292,55900,184.0
3111,3288,85400,280.8
3121,3292,56000,184.4
3131,3288,55000,180.8
3141,3292,58200,191.6
3151,3292,55100,181.4
3161,3292,56000,184.4
3171,3288,55000,180.8
3181,3292,56100,184.7
3191,3288,55100,181.2
3201,3292,55500,182.7
3211,3260,63900,208.3
3221,3288,55400,182.2
3231,3292,55600,183.0
3241,3292,56000,184.4
3251,3140,159500,500.8
3261,3288,55200,181.5
3271,3288,56000,184.1
3281,3288,55100,181.2
3291,3292,56000,184.4
3301,3288,55000,180.8
3311,3264,56300,183.8
3321,3288,55100,181.2
3331,3292,56000,184.4
3341,3288,55000,180.8
3351,3184,145300,462.6
3361,3288,55600,182.8
3371,3292,55400,182.4
3381,3288,55500,182.5
3391,3292,55900,184.0
3401,3292,56000,184.4
3411,3288,85200,280.1
3421,3292,56000,184.4
3431,3288,55000,180.8
3441,3292,56000,184.4
3451,3288,55000,180.8
3461,3292,56100,184.7
3471,3288,55000,180.8
3481,3292,56000,184.4
3491,3288,55200,181.5
3501,3292,55400,182.4
3511,3260,62900,205.1
3521,3292,55400,182.4
3531,3292,55600,183.0
3541,3288,56000,184.1
3551,3292,56000,184.4
3561,3192,138500,442.1
3571,3292,56000,184.4
3581,3288,55100,181.2
3591,3292,56000,184.4
3601,3288,55000,180.8
3612,3212,116800,375.2
3621,3288,54900,180.5
3631,3292,55900,184.0
3641,3292,55300,182.0
3651,3292,55400,182.4
3661,3288,55500,182.5
3671,3104,143000,443.9
3681,3288,55800,183.5
3691,3292,55900,184.0
3701,3288,56000,184.1
3711,3288,84600,278.2
3721,3292,56000,184.4
3731,3288,55000,180.8
3741,3292,56000,184.4
3751,3288,55000,180.8
3761,3292,55900,184.0
3771,3184,141300,449.9
3781,3292,55900,184.0
3791,3292,55400,182.4
3801,3292,55400,182.4
3811,3260,62100,202.4
3821,3288,55300,181.8
3831,3292,55800,183.7
3841,3288,55700,183.1
3851,3292,55900,184.0
3861,3288,55100,181.2
3871,3292,56000,184.4
3881,3172,62300,197.6
3891,3292,56000,184.4
3901,3288,55000,180.8
3911,3268,56200,183.7
3921,3288,55000,180.8
3931,3292,55700,183.4
3941,3288,55400,182.2
3951,3288,55400,182.2
3961,3288,55600,182.8
3971,3292,55300,182.0
3981,3112,133900,416.7
3991,3292,55600,183.0
4001,3292,56000,184.4
4011,3288,84100,276.5
4021,3292,55900,184.0
4031,3288,55100,181.2
4041,3288,55900,183.8
4051,3292,55000,181.1
4061,3292,56000,184.4
4071,3288,55000,180.8
4081,3288,56000,184.1
4091,3292,55600,183.0
4101,3292,55500,182.7
4111,3260,61300,199.8
4121,3288,55300,181.8
4131,3288,55900,183.8
4141,3292,55300,182.0
4151,3292,55900,184.0
4161,3292,55000,181.1
4171,3292,55900,184.0
4181,3288,55000,180.8
4191,3168,194200,615.2
4201,3288,55000,180.8
4211,3272,56200,183.9
4221,3288,55000,180.8
4231,3292,55500,182.7
4241,3292,55500,182.7
4251,3292,55400,182.4
4261,3292,55600,183.0
4271,3288,55100,181.2
4281,3288,55900,183.8
4291,3288,55300,181.8
4301,3292,56000,184.4
4311,3288,83400,274.2
4321,3292,56100,184.7
4331,3288,55000,180.8
4341,3292,55900,184.0
4351,3288,55000,180.8
4361,3288,56000,184.1
4371,3288,55100,181.2
4381,3288,55500,182.5
4391,3288,55500,182.5
4401,3100,147200,456.3
4411,3260,60600,197.6
4421,3292,55100,181.4
4431,3292,55900,184.0
4441,3288,55200,181.5
4451,3292,56000,184.4
4461,3288,55100,181.2
4471,3292,56000,184.4
4481,3288,55000,180.8
4491,3292,56000,184.4
4501,3280,150600,494.0
4511,3272,56200,183.9
4521,3288,55100,181.2
4531,3292,55500,182.7
4541,3292,55500,182.7
4551,3292,55400,182.4
4561,3292,55500,182.7
4571,3292,55000,181.1
4581,3292,55900,184.0
4591,3292,55100,181.4
4601,3292,55900,184.0
4611,3184,173300,551.8
4621,3292,56000,184.4
4631,3288,55000,180.8
4641,3292,56000,184.4
4651,3288,55100,181.2
4661,3292,55900,184.0
4671,3288,55100,181.2
4681,3292,55500,182.7
4691,3288,55600,182.8
4701,3292,55400,182.4
4711,3256,58700,191.1
4721,3148,163900,516.0
4731,3288,56000,184.1
4741,3288,55100,181.2
4751,3288,56000,184.1
4761,3288,55100,181.2
4771,3288,56000,184.1
4781,3288,55000,180.8
4791,3292,56000,184.4
4801,3288,55000,180.8
4811,3272,56200,183.9
4821,3136,147300,461.9
4831,3292,55500,182.7
4841,3288,55500,182.5
4851,3292,55400,182.4
4861,3292,55600,183.0
4871,3288,56000,184.1
4881,3292,56000,184.4
4891,3292,55100,181.4
4901,3292,56000,184.4
4911,3284,81700,268.3
4921,3292,56000,184.4
4931,3192,207700,663.0
4941,3292,56100,184.7
4951,3292,55000,181.1
4961,3292,56000,184.4
4971,3288,55200,181.5
4981,3292,55400,182.4
4991,3292,55600,183.0
5001,3288,55400,182.2
5011,3256,59200,192.8
5021,3292,55900,184.0
5031,3292,56000,184.4
5041,3100,133700,414.5
5051,3292,56100,184.7
5061,3288,55100,181.2
5071,3292,56000,184.4
5081,3288,55100,181.2
5091,3292,56000,184.4
5101,3288,55100,181.2
5111,3276,56100,183.8
5121,3288,55400,182.2
5131,3288,55400,182.2
5141,3188,204300,651.3
5151,3288,55400,182.2
5161,3288,55800,183.5
5171,3288,55700,183.1
5181,3288,56000,184.1
5191,3292,55100,181.4
5201,3292,55900,184.0
5211,3280,81300,266.7
5221,3292,56000,184.4
5231,3292,55000,181.1
5241,3176,144500,458.9
5251,3292,55000,181.1
5261,3292,55800,183.7
5271,3288,55300,181.8
5281,3292,55400,182.4
5291,3288,55500,182.5
5301,3288,55300,181.8
5311,3256,58800,191.5
5321,3292,55500,182.7
5331,3292,55900,184.0
5341,3288,55000,180.8
5351,3292,56000,184.4
5361,3288,55000,180.8
5371,3292,56000,184.4
5381,3288,55000,180.8
5392,3292,55900,184.0
5401,3288,55000,180.8
5411,3276,55900,183.1
5421,3288,55400,182.2
5431,3288,55400,182.2
5441,3288,55500,182.5
5451,3196,56000,179.0
5461,3292,55900,184.0
5471,3288,55500,182.5
5481,3288,56000,184.1
5491,3288,55000,180.8
5501,3288,55900,183.8
5511,3280,80300,263.4
5521,3292,56000,184.4
5531,3288,55100,181.2
5541,3292,56000,184.4
5551,3184,143000,455.3
5561,3292,55600,183.0
5571,3292,55500,182.7
5581,3292,55400,182.4
5591,3288,55600,182.8
5601,3292,55200,181.7
5611,3256,58300,189.8
5621,3288,55400,182.2
5631,3288,56000,184.1
5641,3288,55000,180.8
5651,3292,56000,184.4
5661,3192,136100,434.4
5671,3288,56000,184.1
5681,3288,55000,180.8
5691,3292,56000,184.4
5701,3288,55000,180.8
5711,3280,55700,182.7
5721,3288,55500,182.5
5731,3288,55400,182.2
5741,3288,55600,182.8
5751,3288,55200,181.5
5761,3292,55800,183.7
5771,3220,192800,620.8
5781,3288,56000,184.1
5791,3288,55000,180.8
5801,3292,56000,184.4
5811,3284,79400,260.7
5821,3292,56000,184.4
5831,3292,55000,181.1
5841,3292,56000,184.4
5851,3288,55000,180.8
5861,3292,55500,182.7
5871,3192,213000,679.9
5881,3292,55400,182.4
5891,3288,55600,182.8
5901,3288,55900,183.8
5911,3256,57800,188.2
5921,3292,55100,181.4
5931,3292,56000,184.4
5941,3292,55000,181.1
5951,3292,55900,184.0
5961,3288,55100,181.2
5971,3292,56000,184.4
5981,3144,165500,520.3
5991,3292,56000,184.4
6001,3288,55000,180.8
6011,3276,55800,182.8
6021,3272,58100,190.1
6031,3180,160600,510.7
6041,3288,55600,182.8
6051,3288,56000,184.1
6061,3292,56000,184.4
6071,3292,55100,181.4
6081,3292,56000,184.4
6091,3288,55000,180.8
6101,3292,56000,184.4
6111,3280,72400,237.5
6121,3288,56000,184.1
6131,3288,55000,180.8
6141,3292,56000,184.4
6151,3288,55100,181.2
6161,3292,55500,182.7
6171,3288,55500,182.5
6181,3292,55400,182.4
6191,3292,55500,182.7
6201,3288,55900,183.8
6211,3256,56700,184.6
6221,3288,55100,181.2
6231,3288,56000,184.1
6241,3288,55100,181.2
6251,3292,56000,184.4
6261,3288,55000,180.8
6271,3288,55900,183.8
6281,3292,55000,181.1
6291,3292,56000,184.4
6301,3288,55200,181.5
6311,3284,55800,183.2
