ms,mv,uA,p_mW
2098,3304,72!00,238,0.2
2108,3304,77#00,255,0.3
2118,3304,70$00,233,0.2
2128,3304,77#00,255,0.3
2138,3304,76800,254,253.7
2148,3304,75$00,249,0.2
2158,3304,76'00,253,0.3
2168,3304,74#00,245,0.2
2178,3304,76'00,253,0.3
2188,3304,71#00,236,0.2
2198,3304,77#00,255,0.3
2208,3304,70!00,232,0.2
2218,3304,77"00,255,0.3
2228,3304,76700,253,253.4
2238,3304,75 00,248,0.2
2248,3304,76'00,253,0.3
2258,3304,74$00,246,0.2
2268,3304,77!00,255,0.3
2278,3304,70800,234,233.9
2288,3304,77$00,256,0.3
2298,3304,76'00,253,0.3
2308,3304,76'00,253,0.3
2318,3304,76800,254,253.7
2328,3304,74&00,246,0.2
2338,3304,76'00,253,0.3
2348,3304,74"00,245,0.2
2358,3304,77"00,255,0.3
2368,3304,70&00,233,0.2
2378,3304,77#00,255,0.3
2388,3304,76800,254,253.7
2398,3304,76$00,252,0.3
2408,3304,76800,254,253.7
2418,3304,74%00,246,0.2
2428,3304,76'00,253,0.3
2438,3304,73"00,242,0.2
2448,3304,77#00,255,0.3
2458,3304,70&00,233,0.2
2468,3304,77#00,255,0.3
2478,3304,76800,254,253.7
2488,3304,76"00,252,0.3
2498,3304,76800,254,253.7
2508,3304,74$00,246,0.2
2518,3304,76'00,253,0.3
2528,3304,72#00,239,0.2
2538,3304,77#00,255,0.3
2548,3304,70%00,233,0.2
2558,3304,77#00,255,0.3
2568,3304,76'00,253,0.3
2578,3304,75&00,250,0.2
2588,3304,76'00,253,0.3
2598,3304,74$00,246,0.2
2608,3304,76'00,253,0.3
2618,3304,71#00,236,0.2
2628,3304,77$00,256,0.3
2638,3304,70!00,232,0.2
2648,3304,77#00,255,0.3
2658,3304,76800,254,253.7
2668,3304,75!00,248,0.2
2678,3304,76800,254,253.7
2688,3304,74$00,246,0.2
2698,3304,77000,254,254.4
2708,3304,70900,234,234.3
2718,3304,77$00,256,0.3
2728,3304,76800,254,253.7
2738,3304,76800,254,253.7
2748,3304,76800,254,253.7
2758,3304,74800,247,247.1
2768,3304,76'00,253,0.3
2778,3304,74"00,245,0.2
2788,3304,77#00,255,0.3
2798,3304,70&00,233,0.2
2808,3304,77#00,255,0.3
2818,3304,76800,254,253.7
2828,3304,76$00,252,0.3
2838,3304,76800,254,253.7
2848,3304,74$00,246,0.2
2858,3304,76'00,253,0.3
2868,3304,73$00,243,0.2
2878,3304,77#00,255,0.3
2888,3304,70&00,233,0.2
2898,3304,77#00,255,0.3
2908,3304,76800,254,253.7
2918,3304,76"00,252,0.3
2928,3304,76'00,253,0.3
2938,3304,74#00,245,0.2
2948,3304,76'00,253,0.3
2958,3304,72#00,239,0.2
2968,3304,77#00,255,0.3
2978,3304,70&00,233,0.2
2988,3304,77$00,256,0.3
2998,3304,76800,254,253.7
3008,3304,75'00,250,0.2
3018,3304,76'00,253,0.3
3028,3304,74$00,246,0.2
3038,3304,76800,254,253.7
3048,3300,71$00,236,0.2
3058,3304,77#00,255,0.3
3068,3304,70"00,232,0.2
3078,3304,77#00,255,0.3
3088,3304,76800,254,253.7
3098,3304,75!00,248,0.2
3108,3304,76'00,253,0.3
3118,3304,74$00,246,0.2
3128,3304,77 00,254,0.3
3138,3304,70900,234,234.3
3148,3304,77#00,255,0.3
3158,3304,76700,253,253.4
3168,3304,76800,254,253.7
3178,3304,76'00,253,0.3
3188,3304,74800,247,247.1
3198,3304,76'00,253,0.3
3208,3304,74#00,245,0.2
3218,3304,77"00,255,0.3
3228,3304,70'00,234,0.2
3238,3304,77#00,255,0.3
3248,3304,76'00,253,0.3
3258,3304,76$00,252,0.3
3268,3304,76'00,253,0.3
3278,3304,74%00,246,0.2
3288,3304,76800,254,253.7
3298,3304,73%00,243,0.2
3308,3304,77#00,255,0.3
3318,3304,70&00,233,0.2
3328,3304,77#00,255,0.3
3338,3304,76800,254,253.7
3348,3304,76"00,252,0.3
3358,3304,76'00,253,0.3
3368,3304,74$00,246,0.2
3378,3304,76'00,253,0.3
3388,3304,72%00,240,0.2
3398,3304,77#00,255,0.3
3408,3304,70&00,233,0.2
3418,3304,77#00,255,0.3
3428,3304,76'00,253,0.3
3438,3304,75'00,250,0.2
3448,3304,76800,254,253.7
3458,3304,74$00,246,0.2
3468,3300,76'00,253,0.3
3478,3304,71&00,237,0.2
3488,3304,77$00,256,0.3
3498,3304,70"00,232,0.2
3508,3304,77#00,255,0.3
3518,3304,76'00,253,0.3
3528,3304,75!00,248,0.2
3538,3304,76800,254,253.7
3548,3304,74$00,246,0.2
3558,3304,76800,254,253.7
3568,3304,70900,234,234.3
3578,3304,77#00,255,0.3
3588,3304,76800,254,253.7
3598,3304,77 00,254,0.3
3608,3304,76800,254,253.7
3618,3304,74800,247,247.1
3628,3304,76700,253,253.4
3638,3304,74#00,245,0.2
