ms,mv,uA,p_mW
8848,3304,77"00,255,0.3
8858,3304,76'00,253,0.3
8868,3304,75#00,249,0.2
8878,3304,76800,254,253.7
8888,3304,74#00,245,0.2
8898,3304,76800,254,253.7
8908,3304,71!00,235,0.2
8918,3304,77#00,255,0.3
8928,3304,69900,231,230.9
8938,3304,77!00,255,0.3
8948,3304,76'00,253,0.3
8958,3304,75 00,248,0.2
8968,3304,76'00,253,0.3
8978,3304,74$00,246,0.2
8988,3304,77!00,255,0.3
8998,3304,70800,234,233.9
9008,3304,77#00,255,0.3
9018,3304,76800,254,253.7
9028,3304,76&00,253,0.3
9038,3304,76'00,253,0.3
9048,3304,74&00,246,0.2
9058,3304,76'00,253,0.3
9068,3304,74 00,244,0.2
9078,3304,77"00,255,0.3
9088,3304,70&00,233,0.2
9098,3304,77#00,255,0.3
9108,3304,76'00,253,0.3
9118,3304,76$00,252,0.3
9128,3304,76'00,253,0.3
9138,3304,74$00,246,0.2
9148,3304,76800,254,253.7
9158,3304,73!00,242,0.2
9168,3304,77#00,255,0.3
9178,3304,70&00,233,0.2
9188,3304,77#00,255,0.3
9198,3304,76700,253,253.4
9208,3304,76!00,251,0.3
9218,3304,76800,254,253.7
9228,3304,74$00,246,0.2
9238,3304,76800,254,253.7
9248,3304,72!00,238,0.2
9258,3304,77#00,255,0.3
9268,3304,70&00,233,0.2
9278,3304,77#00,255,0.3
9288,3304,76'00,253,0.3
9298,3304,75%00,249,0.2
9308,3304,76800,254,253.7
9318,3304,74#00,245,0.2
9328,3304,76'00,253,0.3
9338,3304,71"00,235,0.2
9348,3304,77#00,255,0.3
9358,3304,70 00,231,0.2
9368,3304,77"00,255,0.3
9378,3304,76'00,253,0.3
9388,3304,75 00,248,0.2
9398,3304,76'00,253,0.3
9408,3304,74$00,246,0.2
9418,3304,77 00,254,0.3
9428,3304,70800,234,233.9
9438,3304,77#00,255,0.3
9448,3304,76'00,253,0.3
9458,3304,76'00,253,0.3
9468,3304,76800,254,253.7
9478,3304,74&00,246,0.2
9488,3304,76'00,253,0.3
9498,3304,74#00,245,0.2
9508,3304,77"00,255,0.3
9518,3304,70&00,233,0.2
9528,3304,77#00,255,0.3
9538,3304,76'00,253,0.3
9548,3304,76$00,252,0.3
9558,3304,76800,254,253.7
9568,3304,74$00,246,0.2
9578,3304,76'00,253,0.3
9588,3304,73#00,242,0.2
9598,3304,77#00,255,0.3
9608,3304,70&00,233,0.2
9618,3304,77#00,255,0.3
9628,3304,76800,254,253.7
9638,3304,76"00,252,0.3
9648,3304,76'00,253,0.3
9658,3304,74400,246,245.8
9668,3304,76'00,253,0.3
9678,3304,72$00,239,0.2
9688,3304,77#00,255,0.3
9698,3304,70&00,233,0.2
9708,3304,77$00,256,0.3
9718,3304,76'00,253,0.3
9728,3304,75'00,250,0.2
9738,3304,76'00,253,0.3
9748,3304,74$00,246,0.2
9758,3304,76'00,253,0.3
9768,3304,71$00,236,0.2
9778,3304,77#00,255,0.3
9788,3304,70"00,232,0.2
9798,3304,77#00,255,0.3
9808,3304,76'00,253,0.3
9818,3304,75!00,248,0.2
9828,3304,76'00,253,0.3
9838,3304,74$00,246,0.2
9848,3304,77 00,254,0.3
9858,3304,70900,234,234.3
9868,3304,77#00,255,0.3
9878,3304,76800,254,253.7
9888,3304,76900,254,254.1
9898,3304,76'00,253,0.3
9908,3304,74'00,247,0.2
9918,3304,76'00,253,0.3
9928,3304,74#00,245,0.2
9938,3304,77"00,255,0.3
9948,3304,70'00,234,0.2
9958,3304,77#00,255,0.3
9968,3304,76800,254,253.7
9978,3304,76%00,253,0.3
9988,3304,76'00,253,0.3
9998,3304,74%00,246,0.2
10008,3304,76800,254,253.7
10018,3304,73&00,243,0.2
10028,3304,77"00,255,0.3
10038,3304,70%00,233,0.2
10048,3304,77#00,255,0.3
10058,3304,76'00,253,0.3
10068,3304,76#00,252,0.3
10078,3304,76'00,253,0.3
10088,3304,74$00,246,0.2
10098,3304,76800,254,253.7
10108,3304,72&00,240,0.2
10118,3304,77#00,255,0.3
10128,3304,70%00,233,0.2
10138,3304,77#00,255,0.3
10148,3304,76'00,253,0.3
10158,3304,75'00,250,0.2
10168,3304,76'00,253,0.3
10178,3304,74$00,246,0.2
10188,3304,76800,254,253.7
10198,3304,71'00,237,0.2
10208,3304,77#00,255,0.3
10218,3304,70#00,232,0.2
10228,3304,77#00,255,0.3
10238,3304,76800,254,253.7
10248,3304,75"00,248,0.2
10258,3304,76800,254,253.7
10268,3304,74$00,246,0.2
10278,3304,76900,254,254.1
10288,3304,70900,234,234.3
10298,3304,77#00,255,0.3
10308,3304,69800,231,230.6
10318,3304,77 00,254,0.3
10328,3304,76'00,253,0.3
10338,3304,74900,247,247.5
10348,3304,76800,254,253.7
10358,3304,74$00,246,0.2
10368,3304,77!00,255,0.3
10378,3304,70'00,234,0.2
10388,3304,77#00,255,0.3
10398,3304,76'00,253,0.3
10408,3304,76%00,253,0.3
10418,3304,76800,254,253.7
10428,3304,74&00,246,0.2
10438,3304,76'00,253,0.3
10448,3304,73800,244,243.8
10458,3304,77"00,255,0.3
10468,3304,70&00,233,0.2
10478,3304,77#00,255,0.3
10488,3304,76800,254,253.7
10498,3304,76#00,252,0.3
10508,3304,76800,254,253.7
10518,3304,74$00,246,0.2
10528,3304,76'00,253,0.3
10538,3304,72800,241,240.5
10548,3304,77$00,256,0.3
10558,3304,70%00,233,0.2
10568,3304,77#00,255,0.3
10578,3304,76800,254,253.7
10588,3304,76 00,251,0.3
10598,3304,76800,254,253.7
10608,3304,74#00,245,0.2
10618,3304,76'00,253,0.3
10628,3304,71900,238,237.6
10638,3304,77#00,255,0.3
10648,3304,70$00,233,0.2
10658,3304,77#00,255,0.3
10668,3304,76'00,253,0.3
10678,3304,75#00,249,0.2
10688,3304,76'00,253,0.3
10698,3304,74#00,245,0.2
10708,3304,76800,254,253.7
10718,3304,71!00,235,0.2
10728,3304,77#00,255,0.3
10738,3304,69900,231,230.9
10748,3304,77"00,255,0.3
10758,3304,76'00,253,0.3
10768,3304,74900,247,247.5
10778,3304,76800,254,253.7
10788,3304,74%00,246,0.2
10798,3304,77!00,255,0.3
10808,3304,70'00,234,0.2
10818,3304,77#00,255,0.3
10828,3304,76'00,253,0.3
10838,3304,76'00,253,0.3
10848,3304,76800,254,253.7
10858,3304,74&00,246,0.2
10868,3304,76800,254,253.7
10878,3304,74 00,244,0.2
10888,3304,77"00,255,0.3
10898,3304,70&00,233,0.2
10908,3308,77#00,256,0.3
10918,3304,76'00,253,0.3
10928,3304,76#00,252,0.3
10938,3304,76800,254,253.7
10948,3304,74$00,246,0.2
10958,3304,76'00,253,0.3
10968,3304,73!00,242,0.2
10978,3304,77#00,255,0.3
10988,3304,70&00,233,0.2
10998,3304,77#00,255,0.3
11008,3304,76'00,253,0.3
11018,3304,76 00,251,0.3
11028,3304,76'00,253,0.3
11038,3304,74$00,246,0.2
11048,3304,76800,254,253.7
11058,3304,72!00,238,0.2
11068,3304,77#00,255,0.3
11078,3304,70%00,233,0.2
11088,3304,77#00,255,0.3
11098,3304,76'00,253,0.3
11108,3304,75%00,249,0.2
11118,3304,76800,254,253.7
11128,3304,74$00,246,0.2
11138,3304,76'00,253,0.3
11148,3304,71"00,235,0.2
11158,3304,77#00,255,0.3
11168,3304,70 00,231,0.2
11178,3304,77"00,255,0.3
11188,3304,76800,254,253.7
11198,3304,74900,247,247.5
11208,3304,76'00,253,0.3
11218,3304,74$00,246,0.2
11228,3304,77 00,254,0.3
11238,3304,70800,234,233.9
11248,3304,77#00,255,0.3
11258,3304,76'00,253,0.3
11268,3304,76'00,253,0.3
11278,3304,76800,254,253.7
11288,3304,74'00,247,0.2
11298,3300,76'00,253,0.3
11308,3304,74!00,245,0.2
11318,3304,77"00,255,0.3
11328,3304,70'00,234,0.2
11338,3304,77#00,255,0.3
11348,3304,76800,254,253.7
11358,3304,76#00,252,0.3
11368,3304,76800,254,253.7
11378,3304,74%00,246,0.2
11388,3304,76'00,253,0.3
11398,3304,73$00,243,0.2
11408,3304,77#00,255,0.3
11418,3304,70%00,233,0.2
11428,3304,77#00,255,0.3
11438,3304,76'00,253,0.3
11448,3304,76"00,252,0.3
11458,3304,76800,254,253.7
11468,3304,74$00,246,0.2
11478,3304,76'00,253,0.3
11488,3304,72$00,239,0.2
11498,3304,77#00,255,0.3
11508,3304,70600,233,233.3
11518,3304,77#00,255,0.3
11528,3304,76'00,253,0.3
11538,3304,75&00,250,0.2
11548,3304,76800,254,253.7
11558,3304,74$00,246,0.2
11568,3304,76800,254,253.7
11578,3304,71$00,236,0.2
11588,3304,77#00,255,0.3
11598,3304,70!00,232,0.2
11608,3304,77#00,255,0.3
11618,3304,76'00,253,0.3
11628,3304,75 00,248,0.2
11638,3304,76&00,253,0.3
11648,3304,74$00,246,0.2
11658,3304,76900,254,254.1
11668,3304,70900,234,234.3
11678,3304,77#00,255,0.3
11688,3304,76800,254,253.7
11698,3304,76900,254,254.1
11708,3304,76'00,253,0.3
11718,3304,74800,247,247.1
11728,3304,76'00,253,0.3
11738,3304,74"00,245,0.2
11748,3304,77"00,255,0.3
11758,3304,70'00,234,0.2
11768,3304,77#00,255,0.3
11778,3304,76'00,253,0.3
11788,3304,76#00,252,0.3
11798,3304,76800,254,253.7
11808,3304,74%00,246,0.2
11818,3304,76'00,253,0.3
11828,3304,73%00,243,0.2
11838,3304,77#00,255,0.3
11848,3304,70&00,233,0.2
11858,3304,77#00,255,0.3
11868,3304,76800,254,253.7
11878,3304,76"00,252,0.3
11888,3304,76'00,253,0.3
11898,3304,74#00,245,0.2
11908,3304,76800,254,253.7
11918,3304,72%00,240,0.2
11928,3304,77#00,255,0.3
11938,3304,70&00,233,0.2
11948,3304,77#00,255,0.3
11958,3304,76800,254,253.7
11968,3304,75900,251,250.8
11978,3304,76800,254,253.7
11988,3304,74#00,245,0.2
11998,3304,76'00,253,0.3
12008,3304,71%00,236,0.2
12018,3304,77#00,255,0.3
12028,3304,70$00,233,0.2
12038,3304,77$00,256,0.3
12048,3304,76800,254,253.7
12058,3304,75"00,248,0.2
12068,3304,76'00,253,0.3
12078,3304,74$00,246,0.2
12088,3304,76900,254,254.1
12098,3304,70900,234,234.3
12108,3304,77#00,255,0.3
12118,3304,69800,231,230.6
12128,3304,77 00,254,0.3
12138,3304,76'00,253,0.3
12148,3304,74900,247,247.5
12158,3304,76800,254,253.7
12168,3304,74#00,245,0.2
12178,3304,77!00,255,0.3
12188,3304,70&00,233,0.2
12198,3304,77#00,255,0.3
12208,3304,76800,254,253.7
12218,3304,76%00,253,0.3
12228,3304,76'00,253,0.3
12238,3304,74%00,246,0.2
12248,3304,76&00,253,0.3
12258,3304,73'00,244,0.2
12268,3304,77#00,255,0.3
12278,3304,70&00,233,0.2
12288,3304,77#00,255,0.3
12298,3304,76'00,253,0.3
12308,3304,76#00,252,0.3
12318,3304,76'00,253,0.3
12328,3304,74$00,246,0.2
12338,3304,76'00,253,0.3
12348,3304,72800,241,240.5
12358,3304,77#00,255,0.3
12368,3304,70&00,233,0.2
12378,3304,77#00,255,0.3
12388,3304,76'00,253,0.3
12398,3304,76 00,251,0.3
12408,3304,76'00,253,0.3
12418,3304,74#00,245,0.2
12428,3304,76800,254,253.7
12438,3304,71800,237,237.2
12448,3304,77#00,255,0.3
12458,3304,70$00,233,0.2
12468,3304,77#00,255,0.3
12478,3304,76800,254,253.7
12488,3304,75"00,248,0.2
12498,3304,76'00,253,0.3
12508,3304,74$00,246,0.2
12518,3304,76800,254,253.7
12528,3304,71 00,235,0.2
12538,3304,77$00,256,0.3
12548,3304,69900,231,230.9
12558,3304,77"00,255,0.3
12568,3304,76800,254,253.7
12578,3304,74900,247,247.5
12588,3304,76800,254,253.7
12598,3304,74%00,246,0.2
12608,3304,77!00,255,0.3
12618,3304,70'00,234,0.2
12628,3304,77#00,255,0.3
12638,3304,76800,254,253.7
12648,3304,76&00,253,0.3
12658,3304,76'00,253,0.3
12668,3304,74&00,246,0.2
12678,3304,76800,254,253.7
12688,3304,74 00,244,0.2
12698,3304,77"00,255,0.3
12708,3304,70'00,234,0.2
12718,3304,77#00,255,0.3
12728,3304,76'00,253,0.3
12766,3304,76#00,252,0.3
12767,3304,76'00,253,0.3
12767,3304,74%00,246,0.2
12768,3304,76800,254,253.7
12778,3304,73!00,242,0.2
12788,3304,77#00,255,0.3
12798,3304,70'00,234,0.2
12808,3304,77$00,256,0.3
12818,3304,76800,254,253.7
12828,3304,76"00,252,0.3
12838,3304,76'00,253,0.3
12848,3304,74$00,246,0.2
12858,3304,76800,254,253.7
12868,3304,72!00,238,0.2
12878,3304,77"00,255,0.3
12888,3304,70%00,233,0.2
12898,3304,77300,255,255.4
12908,3304,76800,254,253.7
12918,3304,75%00,249,0.2
12928,3304,76'00,253,0.3
12938,3304,74$00,246,0.2
12948,3304,76800,254,253.7
12958,3304,71#00,236,0.2
12968,3304,77#00,255,0.3
12978,3304,70!00,232,0.2
12988,3304,77#00,255,0.3
12998,3304,76800,254,253.7
13008,3304,75 00,248,0.2
13018,3300,76'00,253,0.3
13028,3304,74$00,246,0.2
13038,3304,77 00,254,0.3
13048,3304,70900,234,234.3
13058,3304,77$00,256,0.3
13068,3304,76800,254,253.7
13078,3304,76'00,253,0.3
13088,3304,76'00,253,0.3
13098,3304,74800,247,247.1
13108,3304,76800,254,253.7
13118,3304,74#00,245,0.2
13128,3304,77"00,255,0.3
13138,3300,70'00,233,0.2
13148,3304,77$00,256,0.3
13158,3304,76800,254,253.7
13168,3304,76$00,252,0.3
13178,3304,76800,254,253.7
13188,3304,74%00,246,0.2
13198,3304,76'00,253,0.3
13208,3304,73$00,243,0.2
13218,3304,77#00,255,0.3
13228,3304,70&00,233,0.2
13238,3304,77#00,255,0.3
13248,3304,76800,254,253.7
13258,3304,76"00,252,0.3
13268,3304,76'00,253,0.3
13278,3304,74$00,246,0.2
13288,3304,76800,254,253.7
13298,3304,72%00,240,0.2
13308,3304,77#00,255,0.3
13318,3304,70&00,233,0.2
13328,3304,77#00,255,0.3
13338,3304,76'00,253,0.3
13348,3304,75'00,250,0.2
13358,3304,76800,254,253.7
13368,3304,74$00,246,0.2
13378,3304,76800,254,253.7
13388,3304,71%00,236,0.2
13398,3304,77#00,255,0.3
13408,3304,70!00,232,0.2
13418,3304,77"00,255,0.3
13428,3304,76'00,253,0.3
13438,3304,75!00,248,0.2
13448,3304,76800,254,253.7
13458,3304,74$00,246,0.2
13468,3304,77 00,254,0.3
13478,3304,71 00,235,0.2
13488,3304,77#00,255,0.3
13498,3304,76800,254,253.7
13508,3304,76900,254,254.1
13518,3304,76800,254,253.7
13528,3304,74800,247,247.1
13538,3304,76'00,253,0.3
13548,3304,74#00,245,0.2
13558,3304,77"00,255,0.3
13568,3304,70'00,234,0.2
13578,3304,77#00,255,0.3
13588,3304,76'00,253,0.3
13598,3304,76$00,252,0.3
13608,3304,76800,254,253.7
13618,3304,74%00,246,0.2
13628,3304,76'00,253,0.3
13638,3304,73&00,243,0.2
13648,3304,77"00,255,0.3
13658,3304,70&00,233,0.2
13668,3304,77#00,255,0.3
13678,3304,76'00,253,0.3
13688,3304,76#00,252,0.3
13698,3304,76800,254,253.7
13708,3304,74$00,246,0.2
13718,3304,76'00,253,0.3
13728,3304,72'00,240,0.2
13738,3304,77#00,255,0.3
13748,3304,70&00,233,0.2
13758,3304,77#00,255,0.3
13768,3304,76800,254,253.7
13778,3304,75900,251,250.8
13788,3304,76'00,253,0.3
13798,3304,74$00,246,0.2
13808,3304,76800,254,253.7
13818,3304,71600,237,236.6
13828,3304,77"00,255,0.3
13838,3304,70#00,232,0.2
13848,3304,77$00,256,0.3
13858,3304,76800,254,253.7
13868,3304,75"00,248,0.2
13878,3304,76'00,253,0.3
13888,3304,74%00,246,0.2
13898,3304,76900,254,254.1
13908,3304,71 00,235,0.2
13918,3304,77$00,256,0.3
13928,3300,69800,230,230.3
13938,3304,77!00,255,0.3
13948,3304,76'00,253,0.3
13958,3304,74800,247,247.1
13968,3304,76'00,253,0.3
13978,3304,74$00,246,0.2
13988,3304,77!00,255,0.3
13998,3304,70'00,234,0.2
14008,3304,77#00,255,0.3
14018,3304,76800,254,253.7
14028,3304,76&00,253,0.3
14038,3304,76'00,253,0.3
14048,3304,74&00,246,0.2
14058,3304,76800,254,253.7
14068,3304,73900,244,244.2
14078,3304,77#00,255,0.3
14088,3304,70'00,234,0.2
14098,3304,77$00,256,0.3
14108,3304,76800,254,253.7
14118,3304,76#00,252,0.3
14128,3304,76'00,253,0.3
14138,3304,74$00,246,0.2
14148,3304,76'00,253,0.3
14158,3304,72800,241,240.5
14168,3304,77#00,255,0.3
14178,3304,70&00,233,0.2
14188,3308,77$00,256,0.3
14198,3304,76800,254,253.7
14208,3304,76 00,251,0.3
14218,3304,76'00,253,0.3
14228,3304,74%00,246,0.2
14238,3304,76800,254,253.7
14248,3304,71900,238,237.6
14258,3304,77#00,255,0.3
14268,3304,70%00,233,0.2
14278,3304,77$00,256,0.3
14288,3304,76800,254,253.7
14298,3304,75$00,249,0.2
14308,3304,76800,254,253.7
14318,3304,74%00,246,0.2
14328,3304,76800,254,253.7
14338,3304,71"00,235,0.2
14348,3304,77$00,256,0.3
14358,3304,69900,231,230.9
14368,3304,77"00,255,0.3
14378,3304,76'00,253,0.3
14388,3304,75 00,248,0.2
14398,3304,76'00,253,0.3
14408,3304,74#00,245,0.2
14418,3300,77!00,254,0.3
14428,3304,70'00,234,0.2
14438,3304,77#00,255,0.3
14448,3304,76800,254,253.7
14458,3304,76'00,253,0.3
14468,3304,76800,254,253.7
14478,3304,74800,247,247.1
14488,3304,76800,254,253.7
14498,3304,74!00,245,0.2
14508,3304,77"00,255,0.3
14518,3304,70'00,234,0.2
14528,3304,77%00,256,0.3
14538,3304,76800,254,253.7
14548,3304,76#00,252,0.3
14558,3304,76800,254,253.7
14568,3304,74$00,246,0.2
14578,3304,76'00,253,0.3
14588,3304,73"00,242,0.2
14598,3304,77$00,256,0.3
14608,3304,70&00,233,0.2
14618,3304,77$00,256,0.3
14628,3304,76'00,253,0.3
14638,3304,76"00,252,0.3
14648,3304,76&00,253,0.3
14658,3304,74%00,246,0.2
14668,3304,76800,254,253.7
14678,3304,72#00,239,0.2
14688,3304,77#00,255,0.3
14698,3304,70%00,233,0.2
14708,3304,77$00,256,0.3
14718,3308,76'00,254,0.3
14728,3304,75%00,249,0.2
14738,3304,76800,254,253.7
14748,3304,74#00,245,0.2
14758,3304,76'00,253,0.3
14768,3304,71$00,236,0.2
14778,3304,77"00,255,0.3
14788,3304,70!00,232,0.2
14798,3304,77#00,255,0.3
14808,3304,76800,254,253.7
14818,3304,75 00,248,0.2
14828,3304,76800,254,253.7
14838,3304,74%00,246,0.2
14848,3304,77 00,254,0.3
14858,3304,70900,234,234.3
14868,3304,77$00,256,0.3
14878,3304,76800,254,253.7
14888,3304,76900,254,254.1
14898,3304,76'00,253,0.3
14908,3304,74'00,247,0.2
14918,3304,76800,254,253.7
14928,3304,74#00,245,0.2
14938,3300,77#00,255,0.3
14948,3304,70&00,233,0.2
14958,3304,77#00,255,0.3
14968,3304,76900,254,254.1
14978,3304,76$00,252,0.3
14988,3304,76'00,253,0.3
14998,3304,74%00,246,0.2
15008,3304,76'00,253,0.3
15018,3304,73%00,243,0.2
15028,3304,77#00,255,0.3
15038,3300,70%00,233,0.2
15048,3304,77#00,255,0.3
15058,3304,76800,254,253.7
15068,3304,76"00,252,0.3
15078,3304,76800,254,253.7
15088,3304,74$00,246,0.2
15098,3304,76800,254,253.7
15108,3304,72%00,240,0.2
15118,3304,77#00,255,0.3
15128,3304,70&00,233,0.2
15138,3304,77#00,255,0.3
15148,3304,76800,254,253.7
15158,3304,75800,250,250.4
15168,3304,76800,254,253.7
15178,3304,74#00,245,0.2
15188,3304,76'00,253,0.3
15198,3304,71%00,236,0.2
15208,3308,77#00,256,0.3
15218,3304,70#00,232,0.2
15228,3304,77$00,256,0.3
15238,3304,76800,254,253.7
15248,3304,75!00,248,0.2
15258,3304,76800,254,253.7
15268,3304,74$00,246,0.2
15278,3304,76900,254,254.1
15288,3304,70900,234,234.3
15298,3304,77#00,255,0.3
15308,3304,69'00,230,0.2
15318,3304,77 00,254,0.3
15328,3300,76800,253,253.4
15338,3304,74800,247,247.1
15348,3304,76'00,253,0.3
15358,3304,74$00,246,0.2
15368,3304,77!00,255,0.3
15378,3304,70800,234,233.9
15388,3304,77$00,256,0.3
15398,3304,76800,254,253.7
15408,3304,76%00,253,0.3
15418,3304,76800,254,253.7
15428,3300,74&00,246,0.2
15438,3304,76800,254,253.7
15448,3304,73800,244,243.8
15458,3304,77#00,255,0.3
15468,3304,70&00,233,0.2
15478,3304,77$00,256,0.3
15488,3304,76800,254,253.7
15498,3304,76#00,252,0.3
15508,3304,76'00,253,0.3
15518,3304,74&00,246,0.2
15528,3304,76'00,253,0.3
15538,3304,72'00,240,0.2
15548,3308,77#00,256,0.3
15558,3304,70&00,233,0.2
15568,3304,77#00,255,0.3
15578,3304,76800,254,253.7
15588,3304,75900,251,250.8
15598,3304,76'00,253,0.3
15608,3304,74#00,245,0.2
15618,3304,76'00,253,0.3
15628,3304,71800,237,237.2
15638,3304,77#00,255,0.3
15648,3304,70$00,233,0.2
15658,3304,77#00,255,0.3
15668,3304,76800,254,253.7
15678,3300,75$00,249,0.2
15688,3304,76900,254,254.1
15698,3304,74$00,246,0.2
15708,3304,76800,254,253.7
15718,3304,71!00,235,0.2
15728,3304,77$00,256,0.3
15738,3304,69900,231,230.9
15748,3304,77#00,255,0.3
15758,3304,76'00,253,0.3
15768,3304,74900,247,247.5
15778,3304,76800,254,253.7
15788,3300,74#00,245,0.2
15798,3304,77!00,255,0.3
15808,3304,70800,234,233.9
15818,3304,77#00,255,0.3
15828,3304,76'00,253,0.3
15838,3304,76'00,253,0.3
15848,3304,76800,254,253.7
15858,3308,74&00,247,0.2
15868,3304,76800,254,253.7
15878,3304,74 00,244,0.2
15888,3304,77#00,255,0.3
15898,3304,70&00,233,0.2
15908,3304,77#00,255,0.3
15918,3304,76'00,253,0.3
15928,3304,76#00,252,0.3
15938,3304,76800,254,253.7
15948,3304,74$00,246,0.2
15958,3304,76800,254,253.7
15968,3304,73!00,242,0.2
15978,3304,77#00,255,0.3
15988,3300,70&00,233,0.2
15998,3304,77%00,256,0.3
16008,3304,76'00,253,0.3
16018,3304,76!00,251,0.3
16028,3304,76800,254,253.7
16038,3304,74$00,246,0.2
16048,3304,76'00,253,0.3
16058,3304,72!00,238,0.2
16068,3304,77#00,255,0.3
16078,3304,70%00,233,0.2
16088,3304,77#00,255,0.3
16098,3304,76'00,253,0.3
16108,3304,75%00,249,0.2
16118,3304,76'00,253,0.3
16128,3304,74400,246,245.8
16138,3304,76800,254,253.7
16148,3304,71"00,235,0.2
16158,3304,77$00,256,0.3
16168,3304,70 00,231,0.2
16178,3304,77#00,255,0.3
16188,3304,76800,254,253.7
16198,3304,74900,247,247.5
16208,3304,76800,254,253.7
16218,3304,74$00,246,0.2
16228,3304,77 00,254,0.3
16238,3300,70900,234,234.0
16248,3304,77#00,255,0.3
16258,3304,76'00,253,0.3
16268,3304,76800,254,253.7
16278,3304,76'00,253,0.3
16288,3304,74'00,247,0.2
16298,3304,76800,254,253.7
16308,3304,74"00,245,0.2
16318,3304,77#00,255,0.3
16328,3304,70&00,233,0.2
16338,3304,77#00,255,0.3
16348,3304,76800,254,253.7
16358,3304,76$00,252,0.3
16368,3304,76800,254,253.7
16378,3304,74%00,246,0.2
16388,3304,76'00,253,0.3
16398,3304,73$00,243,0.2
16408,3304,77"00,255,0.3
16418,3304,70&00,233,0.2
16428,3304,77#00,255,0.3
16438,3304,76800,254,253.7
16448,3304,76"00,252,0.3
16458,3304,76'00,253,0.3
16468,3304,74#00,245,0.2
16478,3304,76800,254,253.7
16488,3304,72$00,239,0.2
16498,3304,77#00,255,0.3
16508,3300,70&00,233,0.2
16518,3304,77#00,255,0.3
16528,3304,76'00,253,0.3
16538,3304,75'00,250,0.2
16548,3304,76'00,253,0.3
16558,3304,74#00,245,0.2
16568,3304,76'00,253,0.3
16578,3300,71%00,236,0.2
16588,3304,77300,255,255.4
16598,3304,70"00,232,0.2
16608,3304,77"00,255,0.3
16618,3308,76900,254,254.4
16628,3304,75!00,248,0.2
16638,3304,76800,254,253.7
16648,3304,74#00,245,0.2
16658,3304,77 00,254,0.3
16668,3304,70900,234,234.3
16678,3304,77#00,255,0.3
16688,3304,76800,254,253.7
16698,3304,76900,254,254.1
16708,3304,76'00,253,0.3
16718,3304,74900,247,247.5
16728,3304,76'00,253,0.3
16738,3304,74#00,245,0.2
16748,3304,77!00,255,0.3
16758,3304,70'00,234,0.2
16768,3304,77#00,255,0.3
16778,3300,76'00,253,0.3
16788,3304,76$00,252,0.3
16798,3304,76800,254,253.7
16808,3304,74%00,246,0.2
16818,3304,76800,254,253.7
16828,3304,73'00,244,0.2
16838,3304,77#00,255,0.3
16848,3304,70&00,233,0.2
16858,3304,77#00,255,0.3
16868,3304,76'00,253,0.3
16878,3304,76"00,252,0.3
16888,3304,76'00,253,0.3
16898,3304,74$00,246,0.2
16908,3304,76800,254,253.7
16918,3304,72'00,240,0.2
16928,3304,77#00,255,0.3
16938,3304,70&00,233,0.2
16948,3304,77#00,255,0.3
16958,3304,76'00,253,0.3
16968,3304,75900,251,250.8
16978,3304,76800,254,253.7
16988,3304,74$00,246,0.2
16998,3304,76800,254,253.7
17008,3304,71800,237,237.2
17018,3304,77#00,255,0.3
17028,3304,70$00,233,0.2
17038,3304,77#00,255,0.3
17048,3304,76800,254,253.7
17058,3304,75"00,248,0.2
17068,3304,76800,254,253.7
17078,3304,74$00,246,0.2
17088,3304,76800,254,253.7
17098,3304,71 00,235,0.2
17108,3304,77$00,256,0.3
17118,3304,69800,231,230.6
17128,3304,77!00,255,0.3
17138,3304,76800,254,253.7
17148,3304,74900,247,247.5
17158,3304,76'00,253,0.3
17168,3304,74$00,246,0.2
17178,3304,77 00,254,0.3
17188,3304,70800,234,233.9
17198,3304,77#00,255,0.3
17208,3304,76800,254,253.7
17218,3304,76&00,253,0.3
17228,3300,76'00,253,0.3
17238,3304,74&00,246,0.2
17248,3304,76800,254,253.7
17258,3304,74 00,244,0.2
17268,3304,77"00,255,0.3
17278,3304,70'00,234,0.2
17288,3304,77$00,256,0.3
17298,3304,76800,254,253.7
17308,3304,76#00,252,0.3
17318,3304,76800,254,253.7
17328,3304,74$00,246,0.2
17338,3304,76800,254,253.7
17348,3304,73!00,242,0.2
17358,3304,77#00,255,0.3
17368,3304,70&00,233,0.2
17378,3304,77#00,255,0.3
17388,3304,76800,254,253.7
17398,3304,76!00,251,0.3
17408,3304,76800,254,253.7
17418,3304,74$00,246,0.2
17428,3304,76800,254,253.7
17438,3304,72!00,238,0.2
17448,3304,77$00,256,0.3
17458,3304,70%00,233,0.2
17468,3304,77#00,255,0.3
17478,3304,76'00,253,0.3
17488,3304,75$00,249,0.2
17498,3304,76'00,253,0.3
17508,3304,74400,246,245.8
17518,3304,76'00,253,0.3
17528,3304,71"00,235,0.2
17538,3304,77#00,255,0.3
17548,3304,70 00,231,0.2
17558,3304,77"00,255,0.3
17568,3304,76'00,253,0.3
17578,3304,75 00,248,0.2
17588,3304,76'00,253,0.3
17598,3304,74$00,246,0.2
17608,3304,77 00,254,0.3
17618,3304,70800,234,233.9
17628,3304,77#00,255,0.3
17638,3304,76800,254,253.7
17648,3304,76'00,253,0.3
17658,3304,76800,254,253.7
17668,3304,74'00,247,0.2
17678,3304,76800,254,253.7
17688,3304,74"00,245,0.2
17698,3304,77"00,255,0.3
17708,3304,70&00,233,0.2
17718,3304,77#00,255,0.3
