ms,mv,uA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2
494,3328,69$00,0.2
496,3324,71%00,0.2
498,3324,56900,1891.4
500,3320,56&00,0.2
503,3264,148700,485.4
504,3252,16 300,0.1
506,3264,219400,716.1
508,3224,14"000,0.0
510,3316,66$00,0.2
512,3328,69$00,0.2
514,3324,72$00,0.2
516,3324,56'00,0.2
518,3320,56&00,0.2
520,3324,56&00,0.2
522,3328,57"00,0.2
524,3328,58&00,0.2
526,3328,62"00,0.2
528,3328,65%00,0.2
530,3328,69$00,0.2
532,3328,72 00,0.2
534,3324,56800,1888.0
536,3308,69%00,0.2
538,3296,57!00,0.2
540,3328,57"00,0.2
542,3328,58!00,0.2
544,3328,61900,2060.0
546,3328,65"00,0.2
548,3328,69#00,0.2
550,3328,71%00,0.2
552,3324,56800,1888.0
554,3320,56'00,0.2
556,3324,56'00,0.2
558,3328,57!00,0.2
560,3328,57&00,0.2
562,3328,61#00,0.2
564,3328,64%00,0.2
566,3328,69"00,0.2
568,3328,70800,2356.2
570,3328,57 00,0.2
572,3320,56&00,0.2
574,3320,56&00,0.2
576,3324,57 00,0.2
578,3324,57#00,0.2
580,3328,60800,2023.4
582,3328,64 00,0.2
584,3328,68'00,0.2
586,3328,70"00,0.2
588,3324,72 00,0.2
590,3320,56'00,0.2
592,3324,56'00,0.2
594,3328,56900,1893.6
596,3324,57"00,0.2
598,3328,60%00,0.2
600,3328,63%00,0.2
602,3324,68 00,0.2
604,3328,69'00,0.2
606,3328,72#00,0.2
608,3320,56'00,0.2
610,3324,56&00,0.2
613,3256,14"800,0.0
614,3252,159600,519.0
616,3260,208600,680.0
618,3236,14'800,0.0
620,3324,69$00,0.2
622,3328,70'00,0.2
624,3324,57!00,0.2
626,3320,56'00,0.2
628,3324,56'00,0.2
630,3324,57 00,0.2
632,3328,57#00,0.2
634,3328,60'00,0.2
637,3320,68 00,0.2
637,3248,10&800,0.0
640,3328,70"00,0.2
642,3324,71900,2390.0
644,3320,56'00,0.2
646,3324,56&00,0.2
648,3324,57 00,0.2
650,3328,57"00,0.2
652,3328,60%00,0.2
654,3328,63500,2113.3
656,3328,68100,2266.4
658,3328,69800,2322.9
660,3328,72#00,0.2
662,3320,56'00,0.2
664,3320,56&00,0.2
666,3328,56'00,0.2
668,3328,57"00,0.2
670,3328,60"00,0.2
672,3328,63 00,0.2
674,3328,67$00,0.2
676,3328,69%00,0.2
678,3324,72&00,0.2
680,3324,56'00,0.2
682,3320,56'00,0.2
684,3324,56%00,0.2
686,3328,57"00,0.2
688,3328,59%00,0.2
690,3328,62800,2090.0
692,3328,66'00,0.2
694,3328,69$00,0.2
696,3324,72%00,0.2
698,3324,56'00,0.2
700,3320,56&00,0.2
702,3324,56&00,0.2
704,3328,57"00,0.2
706,3328,58900,1960.2
708,3328,62$00,0.2
710,3328,65900,2193.2
712,3328,69#00,0.2
714,3328,72"00,0.2
716,3324,56'00,0.2
718,3320,56'00,0.2
720,3324,56'00,0.2
722,3256,138400,450.6
724,3260,14&400,0.0
726,3252,22$600,0.1
728,3196,12'000,0.0
730,3328,69%00,0.2
732,3324,72&00,0.2
734,3324,56'00,0.2
737,3304,66&00,0.2
737,3316,16"400,0.1
740,3324,57!00,0.2
742,3328,59&00,0.2
744,3328,62'00,0.2
746,3328,66800,2223.1
748,3328,69%00,0.2
750,3328,72&00,0.2
752,3324,56800,1888.0
754,3320,56&00,0.2
756,3324,56&00,0.2
758,3328,57"00,0.2
760,3328,59 00,0.2
762,3328,62%00,0.2
764,3328,66!00,0.2
766,3324,69$00,0.2
768,3328,72#00,0.2
770,3324,56'00,0.2
772,3320,56&00,0.2
774,3324,56&00,0.2
776,3328,57"00,0.2
778,3328,58#00,0.2
780,3328,62!00,0.2
782,3328,65$00,0.2
784,3328,69$00,0.2
786,3328,71800,2389.5
788,3324,56800,1888.0
790,3320,56&00,0.2
792,3324,56&00,0.2
794,3328,57"00,0.2
796,3328,57800,1923.6
798,3328,61%00,0.2
800,3328,64'00,0.2
802,3328,69#00,0.2
804,3328,71!00,0.2
806,3324,56900,1891.4
808,3320,56&00,0.2
810,3324,56'00,0.2
812,3324,57!00,0.2
814,3328,57$00,0.2
816,3328,60900,2026.8
818,3328,64!00,0.2
820,3328,69 00,0.2
822,3328,70$00,0.2
824,3324,71900,2390.0
826,3316,64!00,0.2
828,3256,14#800,0.0
830,3248,19"200,0.1
832,3244,14 000,0.0
834,3228,77#00,0.2
837,3320,73!00,0.2
837,3244,98900,3208.3
840,3328,71900,2392.8
842,3324,56'00,0.2
844,3320,56'00,0.2
846,3324,56&00,0.2
848,3324,57!00,0.2
850,3328,58 00,0.2
852,3328,61&00,0.2
854,3328,64900,2159.9
856,3328,69#00,0.2
858,3328,71#00,0.2
860,3324,56900,1891.4
862,3320,56&00,0.2
864,3324,56&00,0.2
866,3328,57!00,0.2
868,3328,57%00,0.2
870,3328,61!00,0.2
872,3328,64#00,0.2
874,3328,69"00,0.2
876,3328,70&00,0.2
878,3324,57!00,0.2
880,3320,56'00,0.2
882,3324,56&00,0.2
884,3324,57 00,0.2
886,3328,57"00,0.2
888,3328,60'00,0.2
890,3328,63800,2123.3
892,3328,68&00,0.2
894,3328,70!00,0.2
896,3324,72"00,0.2
898,3320,56'00,0.2
900,3320,56'00,0.2
902,3324,56800,1888.0
904,3328,57"00,0.2
906,3328,60$00,0.2
908,3328,63#00,0.2
910,3328,67900,2259.7
912,3328,69&00,0.2
914,3324,72$00,0.2
916,3320,56'00,0.2
918,3320,56&00,0.2
920,3324,56'00,0.2
922,3324,57#00,0.2
924,3328,60 00,0.2
926,3328,62800,2090.0
928,3324,93"00,0.3
930,3264,15&900,0.0
932,3212,158200,508.1
934,3260,22 600,0.1
937,3180,20 900,0.1
938,3324,57!00,0.2
940,3324,57#00,0.2
942,3328,60'00,0.2
944,3328,63900,2126.6
946,3328,68&00,0.2
948,3324,70"00,0.2
950,3328,72!00,0.2
952,3320,56'00,0.2
954,3324,56&00,0.2
956,3324,56800,1888.0
958,3328,57"00,0.2
960,3328,60$00,0.2
962,3328,63#00,0.2
964,3328,68 00,0.2
966,3328,69&00,0.2
968,3328,72$00,0.2
970,3320,56'00,0.2
972,3320,56&00,0.2
974,3324,56'00,0.2
976,3328,57"00,0.2
978,3328,60 00,0.2
980,3328,62900,2093.3
982,3328,67!00,0.2
984,3324,69%00,0.2
986,3328,72&00,0.2
988,3324,56&00,0.2
990,3320,56&00,0.2
992,3324,56%00,0.2
994,3328,57"00,0.2
996,3328,59#00,0.2
998,3328,62'00,0.2
1000,3328,66%00,0.2
1002,3328,69$00,0.2
1004,3328,72$00,0.2
1006,3324,56'00,0.2
1008,3320,56'00,0.2
1010,3324,56'00,0.2
1012,3328,57"00,0.2
1014,3328,58&00,0.2
1016,3328,62$00,0.2
1018,3328,65'00,0.2
1020,3328,69$00,0.2
1022,3328,72!00,0.2
1024,3324,56800,1888.0
1026,3320,56&00,0.2
1028,3324,56'00,0.2
1030,3320,14'600,0.0
1032,3268,14"300,0.0
1034,3224,14"100,0.0
1036,3216,23!800,0.1
1038,3328,69%00,0.2
1040,3328,72&00,0.2
1042,3324,56'00,0.2
1044,3324,56'00,0.2
1046,3324,56&00,0.2
1048,3328,57"00,0.2
1050,3328,59"00,0.2
1052,3328,62&00,0.2
1054,3328,66$00,0.2
1056,3328,69$00,0.2
1058,3328,72$00,0.2
1060,3324,56'00,0.2
1062,3320,56&00,0.2
1064,3324,56&00,0.2
1066,3328,57"00,0.2
1068,3328,58&00,0.2
1070,3328,62"00,0.2
1072,3328,65&00,0.2
1074,3328,69#00,0.2
1076,3328,72 00,0.2
1078,3324,56800,1888.0
1080,3320,56'00,0.2
1082,3324,56800,1888.0
1084,3328,57!00,0.2
1086,3328,58!00,0.2
1088,3328,61'00,0.2
1090,3328,65 00,0.2
1092,3328,69#00,0.2
1094,3328,71$00,0.2
1096,3324,56900,1891.4
1098,3320,56'00,0.2
1100,3324,56&00,0.2
1102,3328,57"00,0.2
1104,3328,57&00,0.2
1106,3328,61!00,0.2
1108,3328,64$00,0.2
1110,3328,69!00,0.2
1112,3328,70'00,0.2
1114,3324,57!00,0.2
1116,3320,56'00,0.2
1118,3324,56&00,0.2
1120,3324,57 00,0.2
1122,3328,57"00,0.2
1124,3328,60'00,0.2
1126,3328,63900,2126.6
1128,3328,68&00,0.2
1130,3324,70!00,0.2
1132,3324,72 00,0.2
1134,3320,56&00,0.2
1136,3300,80#00,0.3
1138,3260,138100,450.2
1140,3228,16!700,0.1
1142,3256,169000,550.3
1143,3188,15 900,0.0
1146,3328,69#00,0.2
1148,3328,71#00,0.2
1150,3324,56900,1891.4
1152,3320,56&00,0.2
1154,3324,56600,1881.4
1156,3328,57100,1900.3
1158,3328,57500,1913.6
1160,3328,61!00,0.2
1162,3328,64#00,0.2
1164,3328,69!00,0.2
1166,3328,70&00,0.2
1168,3324,57!00,0.2
1170,3320,56'00,0.2
1172,3324,56&00,0.2
1174,3324,57 00,0.2
1176,3328,57"00,0.2
1178,3328,60'00,0.2
1180,3328,63900,2126.6
1182,3328,68%00,0.2
1184,3328,70 00,0.2
