timestamp_ms,interval_ms,ccs,u,s
0,100,0.6733,0.4668,1.0
1000,100,0.6887,0.4447,1.0
2000,100,0.6887,0.4447,1.0
3000,100,0.6677,0.4747,1.0
4000,100,0.6401,0.5142,1.0
5000,100,0.6499,0.5001,1.0
6000,100,0.6621,0.4827,1.0
7000,100,0.6601,0.4855,1.0
8000,100,0.6499,0.5002,1.0
9000,100,0.6679,0.4745,1.0
10000,100,0.6891,0.4441,1.0
11000,100,0.7058,0.4203,1.0
12000,100,0.6944,0.4366,1.0
13000,100,0.6783,0.4596,1.0
14000,100,0.6667,0.4762,1.0
15000,100,0.6599,0.4859,1.0
16000,100,0.6705,0.4708,1.0
17000,100,0.6765,0.4621,1.0
18000,100,0.6834,0.4522,1.0
19000,100,0.6532,0.4955,1.0
20000,100,0.6147,0.5505,1.0
21000,100,0.689,0.4443,1.0
22000,100,0.6491,0.5013,1.0
23000,100,0.5806,0.5992,1.0
24000,100,0.6052,0.564,1.0
25000,100,0.5977,0.5748,1.0
26000,100,0.6303,0.5281,1.0
27000,100,0.6571,0.4898,1.0
28000,100,0.7171,0.4041,1.0
29000,100,0.7161,0.4055,1.0
30000,100,0.6073,0.561,1.0
31000,100,0.5147,0.6933,1.0
32000,100,0.4958,0.7203,1.0
33000,100,0.5473,0.6467,1.0
34000,100,0.6244,0.5365,1.0
35000,100,0.6949,0.4359,1.0
36000,100,0.7207,0.399,1.0
37000,100,0.6607,0.4847,1.0
38000,100,0.5561,0.6342,1.0
39000,100,0.5879,0.5888,1.0
40000,100,0.6679,0.4745,1.0
41000,100,0.6435,0.5092,1.0
42000,100,0.5266,0.6763,1.0
43000,100,0.4521,0.7828,1.0
44000,100,0.5479,0.6458,1.0
45000,100,0.6492,0.5011,1.0
46000,100,0.628,0.5315,1.0
47000,100,0.5467,0.6476,1.0
48000,100,0.5552,0.6354,1.0
49000,100,0.643,0.5099,1.0
50000,100,0.6529,0.4959,1.0
51000,100,0.6039,0.5659,1.0
52000,100,0.5529,0.6387,1.0
53000,100,0.6356,0.5205,1.0
54000,100,0.6303,0.5282,1.0
55000,100,0.5782,0.6026,1.0
56000,100,0.5466,0.6477,1.0
57000,100,0.4777,0.7462,1.0
58000,100,0.459,0.7728,1.0
59000,100,0.4938,0.7231,1.0
60000,100,0.4942,0.7226,1.0
61000,2000,0.9287,0.0162,0.8
62000,2000,0.9291,0.0155,0.8
63000,2000,0.9288,0.016,0.8
64000,2000,0.926,0.02,0.8
65000,2000,0.9837,0.0233,1.0
66000,2000,0.9824,0.0252,1.0
67000,2000,0.9801,0.0284,1.0
68000,2000,0.9793,0.0296,1.0
69000,2000,0.9846,0.0221,1.0
70000,2000,0.983,0.0243,1.0
71000,2000,0.983,0.0243,1.0
72000,2000,0.9828,0.0245,1.0
73000,2000,0.9782,0.0312,1.0
74000,2000,0.9761,0.0341,1.0
75000,2000,0.9796,0.0292,1.0
76000,2000,0.9794,0.0294,1.0
77000,2000,0.9775,0.0321,1.0
78000,2000,0.9764,0.0337,1.0
79000,2000,0.9745,0.0364,1.0
80000,2000,0.9761,0.0342,1.0
81000,2000,0.9776,0.032,1.0
82000,2000,0.9704,0.0423,1.0
83000,2000,0.9626,0.0534,1.0
84000,2000,0.9687,0.0447,1.0
85000,2000,0.9735,0.0378,1.0
86000,2000,0.9602,0.0568,1.0
87000,2000,0.9243,0.1082,1.0
88000,2000,0.9245,0.1078,1.0
89000,2000,0.9581,0.0598,1.0
90000,2000,0.9594,0.058,1.0
91000,2000,0.9668,0.0474,1.0
92000,2000,0.9733,0.0382,1.0
93000,2000,0.9674,0.0466,1.0
94000,2000,0.9632,0.0526,1.0
95000,2000,0.9542,0.0654,1.0
96000,2000,0.9507,0.0705,1.0
97000,2000,0.9596,0.0577,1.0
98000,2000,0.9787,0.0305,1.0
99000,2000,0.9824,0.0252,1.0
100000,2000,0.9823,0.0253,1.0
101000,2000,0.9839,0.0231,1.0
102000,2000,0.9863,0.0196,1.0
103000,2000,0.9855,0.0208,1.0
104000,2000,0.988,0.0172,1.0
105000,2000,0.9867,0.019,1.0
106000,2000,0.9872,0.0182,1.0
107000,2000,0.9889,0.0158,1.0
108000,2000,0.9891,0.0156,1.0
109000,2000,0.9888,0.016,1.0
110000,2000,0.987,0.0186,1.0
111000,2000,0.9862,0.0198,1.0
112000,2000,0.9852,0.0211,1.0
113000,2000,0.9873,0.0181,1.0
114000,2000,0.9864,0.0194,1.0
115000,2000,0.9862,0.0196,1.0
116000,2000,0.9842,0.0226,1.0
117000,2000,0.9815,0.0264,1.0
118000,2000,0.9847,0.0218,1.0
119000,2000,0.9873,0.0182,1.0
120000,2000,0.9858,0.0202,1.0
121000,2000,0.9893,0.0153,1.0
122000,2000,0.9893,0.0152,1.0
123000,2000,0.9887,0.0161,1.0
124000,2000,0.9898,0.0146,1.0
125000,2000,0.9887,0.0162,1.0
126000,2000,0.9884,0.0165,1.0
127000,2000,0.9881,0.017,1.0
128000,2000,0.9891,0.0156,1.0
129000,2000,0.9882,0.0169,1.0
130000,2000,0.9887,0.0162,1.0
131000,2000,0.9897,0.0147,1.0
132000,2000,0.9898,0.0146,1.0
133000,2000,0.9899,0.0145,1.0
134000,2000,0.9893,0.0153,1.0
135000,2000,0.9893,0.0152,1.0
136000,2000,0.9894,0.0151,1.0
137000,2000,0.9894,0.0152,1.0
138000,2000,0.9892,0.0154,1.0
139000,2000,0.9892,0.0155,1.0
140000,2000,0.9892,0.0154,1.0
141000,2000,0.9898,0.0146,1.0
142000,2000,0.9892,0.0155,1.0
143000,2000,0.9892,0.0155,1.0
144000,2000,0.9892,0.0155,1.0
145000,2000,0.9881,0.017,1.0
146000,2000,0.9893,0.0153,1.0
147000,2000,0.9893,0.0153,1.0
148000,2000,0.9892,0.0154,1.0
149000,2000,0.9892,0.0155,1.0
150000,2000,0.9892,0.0155,1.0
151000,2000,0.9892,0.0154,1.0
152000,2000,0.9881,0.017,1.0
153000,2000,0.9881,0.017,1.0
154000,2000,0.9892,0.0154,1.0
155000,2000,0.9892,0.0154,1.0
156000,2000,0.9892,0.0154,1.0
157000,2000,0.988,0.0171,1.0
158000,2000,0.988,0.0171,1.0
159000,2000,0.988,0.0171,1.0
160000,2000,0.9888,0.016,1.0
161000,2000,0.9892,0.0155,1.0
162000,2000,0.9892,0.0154,1.0
163000,2000,0.9892,0.0155,1.0
164000,2000,0.9893,0.0152,1.0
165000,2000,0.9891,0.0155,1.0
166000,2000,0.9892,0.0154,1.0
167000,2000,0.9891,0.0156,1.0
168000,2000,0.9892,0.0154,1.0
169000,2000,0.9891,0.0156,1.0
170000,2000,0.9891,0.0156,1.0
171000,2000,0.9882,0.0169,1.0
172000,2000,0.9882,0.0169,1.0
173000,2000,0.9882,0.0169,1.0
174000,2000,0.9888,0.016,1.0
175000,2000,0.9892,0.0154,1.0
176000,2000,0.9893,0.0153,1.0
177000,2000,0.9892,0.0154,1.0
178000,2000,0.9888,0.016,1.0
179000,2000,0.9887,0.0162,1.0
180000,2000,0.9886,0.0163,1.0
181000,2000,0.9919,0.0116,1.0
182000,2000,0.9965,0.0051,1.0
183000,2000,0.9971,0.0041,1.0
184000,2000,0.9939,0.0087,1.0
185000,2000,0.9925,0.0107,1.0
186000,2000,0.9951,0.0069,1.0
187000,2000,0.9946,0.0077,1.0
188000,2000,0.9925,0.0108,1.0
189000,2000,0.9963,0.0053,1.0
190000,2000,0.9953,0.0067,1.0
191000,2000,0.9906,0.0134,1.0
192000,2000,0.9944,0.008,1.0
193000,2000,0.9955,0.0064,1.0
194000,2000,0.9959,0.0058,1.0
195000,2000,0.9936,0.0091,1.0
196000,2000,0.9934,0.0095,1.0
197000,2000,0.9956,0.0062,1.0
198000,2000,0.9955,0.0064,1.0
199000,2000,0.9955,0.0065,1.0
200000,2000,0.9941,0.0084,1.0
201000,2000,0.9954,0.0065,1.0
202000,2000,0.9962,0.0054,1.0
203000,2000,0.996,0.0057,1.0
204000,2000,0.9962,0.0055,1.0
205000,2000,0.9938,0.0089,1.0
206000,2000,0.9942,0.0083,1.0
207000,2000,0.9957,0.0061,1.0
208000,2000,0.9965,0.005,1.0
209000,2000,0.996,0.0058,1.0
210000,2000,0.9945,0.0078,1.0
211000,2000,0.9879,0.0173,1.0
212000,2000,0.9825,0.025,1.0
213000,2000,0.9931,0.0099,1.0
214000,2000,0.9955,0.0064,1.0
215000,2000,0.9905,0.0136,1.0
216000,2000,0.9926,0.0105,1.0
217000,2000,0.9866,0.0192,1.0
218000,2000,0.9825,0.0251,1.0
219000,2000,0.9899,0.0145,1.0
220000,2000,0.9941,0.0085,1.0
221000,2000,0.9895,0.015,1.0
222000,2000,0.9877,0.0176,1.0
223000,2000,0.9924,0.0109,1.0
224000,2000,0.994,0.0085,1.0
225000,2000,0.9952,0.0069,1.0
226000,2000,0.9963,0.0053,1.0
227000,2000,0.99,0.0143,1.0
228000,2000,0.9857,0.0205,1.0
229000,2000,0.9893,0.0153,1.0
230000,2000,0.9904,0.0138,1.0
231000,2000,0.9835,0.0236,1.0
232000,2000,0.9866,0.0192,1.0
233000,2000,0.9879,0.0172,1.0
234000,2000,0.9925,0.0107,1.0
235000,2000,0.9959,0.0058,1.0
236000,2000,0.9952,0.0068,1.0
237000,2000,0.9954,0.0065,1.0
238000,2000,0.9912,0.0125,1.0
239000,2000,0.9951,0.007,1.0
240000,2000,0.9896,0.0148,1.0
241000,2000,0.99,0.0143,1.0
242000,100,0.6048,0.4789,0.8
243000,100,0.858,0.0314,0.6
244000,500,0.8657,0.0204,0.6
245000,500,0.4732,0.4955,0.4
246000,500,0.7912,0.0412,0.4
247000,500,0.8535,0.0379,0.6
248000,100,0.5014,0.4551,0.4
249000,100,0.7975,0.0321,0.4
250000,500,0.8712,0.0125,0.6
251000,500,0.6408,0.3417,0.6
252000,100,0.7372,0.2897,0.8
253000,100,0.9659,0.0487,1.0
254000,2000,0.9453,0.0782,1.0
255000,2000,0.6392,0.5155,1.0
256000,2000,0.8836,0.1663,1.0
257000,2000,0.9341,0.0942,1.0
258000,100,0.6539,0.4944,1.0
259000,100,0.9939,0.0086,1.0
260000,2000,0.9924,0.0108,1.0
261000,2000,0.5237,0.5948,0.8
262000,500,0.8108,0.0989,0.6
263000,500,0.8487,0.0447,0.6
264000,100,0.5864,0.4195,0.6
265000,100,0.8213,0.1695,0.8
266000,2000,0.9738,0.0374,1.0
267000,2000,0.9121,0.1256,1.0
268000,100,0.725,0.3928,1.0
269000,100,0.9862,0.0198,1.0
270000,2000,0.9822,0.0254,1.0
271000,2000,0.5709,0.5274,0.8
272000,2000,0.8672,0.0183,0.6
273000,2000,0.8739,0.0087,0.6
274000,100,0.5062,0.534,0.6
275000,100,0.8943,0.0652,0.8
276000,2000,0.9884,0.0165,1.0
277000,2000,0.7809,0.3131,1.0
278000,500,0.8277,0.2461,1.0
279000,500,0.9627,0.0532,1.0
280000,2000,0.9057,0.1347,1.0
281000,2000,0.7084,0.4166,1.0
282000,2000,0.9818,0.026,1.0
283000,2000,0.9785,0.0308,1.0
284000,100,0.5706,0.5277,0.8
285000,100,0.8673,0.0182,0.6
286000,500,0.8692,0.0155,0.6
287000,500,0.4405,0.5422,0.4
288000,500,0.7707,0.0704,0.4
289000,500,0.8634,0.0238,0.6
290000,100,0.6839,0.2802,0.6
291000,100,0.7063,0.3339,0.8
292000,2000,0.9818,0.026,1.0
293000,2000,0.9672,0.0469,1.0
294000,100,0.5962,0.4911,0.8
295000,100,0.8672,0.0182,0.6
296000,500,0.8733,0.0096,0.6
297000,500,0.4648,0.5075,0.4
298000,500,0.7907,0.0418,0.4
