timestamp_ms,interval_ms,ccs,u,s
0,100,0.441,0.7986,1.0
1000,100,0.5186,0.6877,1.0
2000,100,0.6344,0.5223,1.0
3000,100,0.6158,0.5489,1.0
4000,100,0.6072,0.5611,1.0
5000,100,0.6593,0.4867,1.0
6000,100,0.609,0.5585,1.0
7000,100,0.5836,0.5949,1.0
8000,100,0.6102,0.5568,1.0
9000,100,0.52,0.6857,1.0
10000,100,0.5354,0.6638,1.0
11000,100,0.5516,0.6406,1.0
12000,100,0.5766,0.6048,1.0
13000,100,0.5121,0.697,1.0
14000,100,0.4429,0.7102,0.8
15000,100,0.4869,0.6473,0.8
16000,100,0.4439,0.7088,0.8
17000,100,0.4202,0.7426,0.8
18000,100,0.4868,0.7331,1.0
19000,100,0.4718,0.7546,1.0
20000,100,0.437,0.8042,1.0
21000,100,0.4508,0.7846,1.0
22000,100,0.4596,0.772,1.0
23000,100,0.4376,0.8035,1.0
24000,100,0.4634,0.7666,1.0
25000,100,0.4806,0.742,1.0
26000,100,0.4372,0.8039,1.0
27000,100,0.4372,0.8039,1.0
28000,100,0.4466,0.7906,1.0
29000,100,0.386,0.7915,0.8
30000,100,0.386,0.7915,0.8
31000,100,0.3583,0.7453,0.6
32000,100,0.3385,0.7736,0.6
33000,100,0.3764,0.8051,0.8
34000,100,0.3806,0.7991,0.8
35000,100,0.4642,0.7654,1.0
36000,100,0.4806,0.742,1.0
37000,100,0.4641,0.7656,1.0
38000,100,0.4722,0.754,1.0
39000,100,0.4644,0.7651,1.0
40000,100,0.4438,0.7946,1.0
41000,100,0.3758,0.806,0.8
42000,100,0.3752,0.8069,0.8
43000,100,0.3201,0.7999,0.6
44000,100,0.339,0.7729,0.6
45000,100,0.3834,0.7951,0.8
46000,100,0.3801,0.7998,0.8
47000,100,0.4578,0.7746,1.0
48000,100,0.439,0.8014,1.0
49000,100,0.4104,0.7565,0.8
50000,100,0.421,0.7414,0.8
51000,100,0.3161,0.8055,0.6
52000,100,0.3167,0.8047,0.6
53000,100,0.3296,0.7863,0.6
54000,100,0.263,0.7957,0.4
55000,100,0.2649,0.793,0.4
56000,100,0.2048,0.7932,0.2
57000,100,0.2761,0.777,0.4
58000,100,0.3165,0.805,0.6
59000,100,0.3279,0.7887,0.6
60000,100,0.3927,0.7818,0.8
61000,500,0.8686,0.0163,0.6
62000,500,0.8678,0.0174,0.6
63000,2000,0.9285,0.0164,0.8
64000,2000,0.9286,0.0163,0.8
65000,2000,0.988,0.0172,1.0
66000,2000,0.988,0.0172,1.0
67000,2000,0.9879,0.0173,1.0
68000,2000,0.988,0.0172,1.0
69000,2000,0.9879,0.0172,1.0
70000,2000,0.988,0.0172,1.0
71000,2000,0.9879,0.0172,1.0
72000,2000,0.9879,0.0173,1.0
73000,2000,0.9879,0.0173,1.0
74000,2000,0.9879,0.0173,1.0
75000,2000,0.988,0.0172,1.0
76000,2000,0.988,0.0172,1.0
77000,2000,0.9879,0.0173,1.0
78000,2000,0.9879,0.0173,1.0
79000,2000,0.9879,0.0173,1.0
80000,2000,0.9879,0.0173,1.0
81000,2000,0.9879,0.0173,1.0
82000,2000,0.9879,0.0173,1.0
83000,2000,0.9886,0.0163,1.0
84000,2000,0.988,0.0172,1.0
85000,2000,0.988,0.0172,1.0
86000,2000,0.9886,0.0163,1.0
87000,2000,0.9891,0.0156,1.0
88000,2000,0.9885,0.0164,1.0
