ms,mv,uA,p_mW
# meta, firmware=TXSD_PowerLogger_PASS_THRU_ON_v2
15,3316,76#00,253,0.3
25,3316,73900,245,245.1
35,3316,76"00,253,0.3
45,3316,71!00,236,0.2
55,3316,76900,255,255.0
65,3316,70!00,232,0.2
75,3316,76900,255,255.0
85,3312,76#00,253,0.3
95,3316,75800,251,251.4
105,3316,76#00,253,0.3
115,3316,74 00,245,0.2
125,3316,76#00,253,0.3
135,3316,73900,245,245.1
145,3316,76'00,254,0.3
155,3316,70#00,233,0.2
165,3316,76900,255,255.0
175,3316,69400,230,230.1
185,3316,76800,255,254.7
195,3316,76#00,253,0.3
205,3316,75!00,249,0.2
215,3316,76#00,253,0.3
225,3316,73900,245,245.1
235,3316,76"00,253,0.3
245,3316,72%00,240,0.2
255,3316,76900,255,255.0
265,3316,70!00,232,0.2
275,3316,76900,255,255.0
285,3316,76#00,253,0.3
295,3316,76!00,252,0.3
305,3316,76#00,253,0.3
315,3316,74#00,246,0.2
325,3316,76"00,253,0.3
335,3316,73900,245,245.1
345,3316,76#00,253,0.3
355,3316,70800,235,234.8
365,3316,76900,255,255.0
375,3316,70!00,232,0.2
385,3316,76900,255,255.0
395,3316,76#00,253,0.3
405,3316,75'00,251,0.2
415,3316,76$00,253,0.3
425,3316,73900,245,245.1
435,3316,76#00,253,0.3
445,3316,73&00,244,0.2
455,3316,76'00,254,0.3
465,3316,70"00,233,0.2
475,3316,76900,255,255.0
485,3316,69#00,230,0.2
495,3316,76800,255,254.7
505,3316,76$00,253,0.3
515,3316,74800,248,248.0
525,3316,76$00,253,0.3
535,3316,74 00,245,0.2
545,3316,76#00,253,0.3
555,3316,71900,238,238.4
565,3316,76800,255,254.7
575,3316,70!00,232,0.2
585,3312,76900,255,254.7
595,3316,76#00,253,0.3
605,3316,75900,252,251.7
615,3316,76#00,253,0.3
625,3316,74"00,246,0.2
635,3312,76#00,253,0.3
645,3316,73900,245,245.1
655,3316,76%00,254,0.3
665,3316,70%00,234,0.2
675,3316,76900,255,255.0
685,3316,69900,232,231.8
695,3316,76900,255,255.0
705,3316,76#00,253,0.3
715,3316,75%00,250,0.2
725,3316,76#00,253,0.3
735,3316,73900,245,245.1
745,3312,76#00,253,0.3
755,3316,73!00,242,0.2
765,3316,76900,255,255.0
775,3312,70"00,233,0.2
785,3316,76900,255,255.0
795,3316,76#00,253,0.3
805,3316,76%00,254,0.3
815,3316,76#00,253,0.3
825,3316,74&00,247,0.2
835,3316,76#00,253,0.3
845,3320,73900,245,245.3
855,3316,76#00,253,0.3
865,3316,71$00,237,0.2
875,3316,76900,255,255.0
885,3316,70!00,232,0.2
895,3316,76800,255,254.7
905,3316,76#00,253,0.3
915,3316,75800,251,251.4
925,3316,76#00,253,0.3
935,3316,74!00,246,0.2
945,3316,76#00,253,0.3
955,3316,73900,245,245.1
965,3316,76&00,254,0.3
975,3316,70#00,233,0.2
985,3316,76900,255,255.0
995,3316,69'00,231,0.2
1005,3316,76900,255,255.0
1015,3316,76#00,253,0.3
1025,3316,75$00,250,0.2
1035,3316,76#00,253,0.3
1045,3316,74 00,245,0.2
1055,3316,76#00,253,0.3
1065,3316,72'00,241,0.2
1075,3316,76800,255,254.7
1085,3316,70"00,233,0.2
1095,3316,77 00,255,0.3
1105,3316,76#00,253,0.3
1115,3316,76$00,253,0.3
1125,3316,76#00,253,0.3
1135,3316,74$00,247,0.2
