ms,voltage,current,power
624,3.296,6.0,0.0
627,3.296,6.0,0.0
630,3.304,6.0,0.0
633,3.300,6.0,0.0
636,3.300,6.0,0.0
639,3.228,1.0,0.0
642,3.200,1.0,0.0
645,3.224,6.0,0.0
648,3.300,6.0,0.0
651,3.300,6.0,0.0
654,3.300,6.0,0.0
657,3.296,6.0,0.0
660,3.296,6.0,0.0
663,3.300,6.0,0.0
666,3.300,6.0,0.0
669,3.300,6.0,0.0
672,3.300,6.0,0.0
675,3.292,6.0,0.0
678,3.296,6.0,0.0
681,3.300,6.0,0.0
684,3.300,6.0,0.0
687,3.300,69.0,211.0
690,3.296,6.0,0.0
693,3.296,6.0,0.0
696,3.300,6.0,0.0
699,3.300,6.0,0.0
702,3.304,6.0,0.0
705,3.296,6.0,0.0
708,3.292,6.0,0.0
711,3.300,6.0,0.0
714,3.276,6.0,0.0
717,3.296,6.0,0.0
720,3.300,6.0,0.0
723,3.300,6.0,0.0
726,3.300,6.0,0.0
729,3.300,6.0,0.0
732,3.296,6.0,0.0
735,3.296,6.0,0.0
738,3.300,6.0,0.0
741,3.300,6.0,0.0
744,3.300,1.0,0.0
747,3.224,1.0,0.0
750,3.232,1.0,0.0
753,3.300,6.0,0.0
756,3.300,6.0,0.0
759,3.300,6.0,0.0
762,3.300,6.0,0.0
765,3.292,6.0,0.0
768,3.296,6.0,0.0
771,3.300,6.0,0.0
774,3.300,6.0,0.0
777,3.300,6.0,0.0
780,3.296,6.0,0.0
783,3.296,6.0,0.0
786,3.300,6.0,0.0
789,3.300,6.0,0.0
792,3.300,6.0,0.0
795,3.300,6.0,0.0
798,3.292,6.0,0.0
801,3.292,6.0,0.0
804,3.300,6.0,0.0
807,3.300,6.0,0.0
810,3.300,69.6,224.0
813,3.300,6.0,0.0
816,3.300,6.0,0.0
819,3.300,6.0,0.0
822,3.292,6.0,0.0
825,3.292,6.0,0.0
828,3.304,6.0,0.0
831,3.300,6.0,0.0
834,3.300,6.0,0.0
837,3.296,6.0,0.0
840,3.292,6.0,0.0
843,3.300,6.0,0.0
846,3.300,6.0,0.0
849,3.300,6.0,0.0
852,3.300,68.6,470.0
855,3.224,1.0,0.0
858,3.216,2.0,0.0
861,3.204,6.0,0.0
864,3.300,6.0,0.0
867,3.300,6.0,0.0
870,3.296,6.0,0.0
873,3.292,6.0,0.0
876,3.296,6.0,0.0
879,3.300,6.0,0.0
882,3.300,6.0,0.0
885,3.300,68.6,213.0
888,3.292,6.0,0.0
891,3.292,6.0,0.0
894,3.300,6.0,0.0
897,3.300,6.0,0.0
900,3.304,6.0,0.0
903,3.296,6.0,0.0
906,3.288,7.0,0.0
909,3.300,6.0,0.0
912,3.296,6.0,0.0
915,3.296,6.0,0.0
918,3.304,6.0,0.0
921,3.300,6.0,0.0
924,3.300,6.0,0.0
927,3.296,6.0,0.0
930,3.292,6.0,0.0
933,3.296,6.0,0.0
936,3.300,6.0,0.0
939,3.300,6.0,0.0
942,3.300,68.6,211.0
945,3.292,6.0,0.0
948,3.292,6.0,0.0
951,3.300,6.0,0.0
954,3.232,1.0,0.0
957,3.232,1.0,0.0
960,3.192,186.4,213.0
963,3.292,6.0,0.0
966,3.296,6.0,0.0
969,3.300,6.0,0.0
972,3.300,6.0,0.0
975,3.300,69.4,213.0
978,3.296,6.0,0.0
981,3.292,6.0,0.0
984,3.300,6.0,0.0
987,3.300,6.0,0.0
990,3.304,6.0,0.0
992,3.296,6.0,0.0
995,3.292,6.0,0.0
998,3.300,6.0,0.0
1002,3.276,6.0,0.0
1005,3.292,6.0,0.0
1008,3.300,6.0,0.0
1011,3.300,6.0,0.0
1014,3.300,6.0,0.0
1017,3.300,6.0,0.0
1020,3.292,6.0,0.0
1023,3.292,6.0,0.0
1026,3.304,6.0,0.0
1029,3.300,6.0,0.0
1032,3.300,6.0,0.0
1035,3.296,6.0,0.0
1038,3.292,6.0,0.0
1041,3.300,6.0,0.0
1044,3.300,6.0,0.0
1047,3.300,6.0,0.0
1050,3.296,6.0,0.0
1053,3.296,6.0,0.0
